Camera1_START->Braking_FINISH,Camera1_START->Camera1_FINISH,Camera1_FINISH->Perception_CameraPerception_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_Fusion_START->Perception_Fusion_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_BrakingDecision_FINISH->Braking_START,Braking_START->Braking_FINISH,Perception_CameraPerception_START,Perception_Fusion_START,SemanticExtraction_ObjectDetection_START,SemanticExtraction_Prediction_START,CollisionDetection_TimeToCollision_START,CollisionDetection_BrakingDecision_START,Braking_START
0.418082,0.005617,0.087380,0.009890,0.012668,0.025652,0.000000,0.048915,0.025363,0.009491,0.152884,0.027726,0.000000,0.002369,0.000000,0.010127,0,1,1,1,1,1,1
0.446446,0.005400,0.081432,0.006768,0.022971,0.029657,0.000000,0.057802,0.006897,0.009461,0.171021,0.029047,0.010334,0.006694,0.000000,0.008962,0,1,1,2,1,2,2
0.432835,0.002569,0.094772,0.008034,0.014154,0.020251,0.000000,0.054508,0.028524,0.010334,0.152618,0.028982,0.000000,0.006585,0.000000,0.011504,0,1,1,2,1,2,2
0.437113,0.002926,0.090217,0.012920,0.004654,0.024797,0.000000,0.055271,0.032160,0.009003,0.146650,0.032058,0.010488,0.004213,0.000000,0.011756,0,1,1,2,1,2,2
0.435161,0.003513,0.073511,0.007873,0.040735,0.023754,0.000000,0.043937,0.019679,0.010488,0.166349,0.030248,0.000000,0.006419,0.000000,0.008655,0,1,1,2,1,2,2
0.442298,0.005217,0.098123,0.004086,0.018639,0.026582,0.000000,0.052186,0.022758,0.008481,0.159234,0.035602,0.000000,0.004194,0.000000,0.007196,0,1,1,2,1,2,2
0.385651,0.005534,0.073821,0.015487,0.096012,0.025576,0.000000,0.040249,0.000000,0.011388,0.074438,0.025359,0.000000,0.007277,0.000000,0.010510,0,1,2,2,1,1,1
0.514608,0.005601,0.079092,0.011712,0.095665,0.017150,0.000000,0.042978,0.026368,0.009028,0.180994,0.028802,0.000000,0.006538,0.000000,0.010680,0,1,2,2,2,2,2
0.318745,0.005654,0.067892,0.013021,0.015202,0.027546,0.000000,0.044872,0.000000,0.010654,0.083041,0.035082,0.000000,0.005020,0.000000,0.010761,0,0,1,1,1,1,1
0.321867,0.002305,0.072879,0.011772,0.006405,0.024079,0.000000,0.064327,0.000000,0.011452,0.089254,0.025748,0.000000,0.003205,0.000000,0.010441,0,1,1,1,1,1,1
