Assistance_BlindSpot_SPAWN->Assistance_BlindSpot_START,Assistance_BlindSpot_SPAWN->Assistance_BlindSpot_START
0.003449,0.003449
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.034539,0.034539
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.021835,0.021835
0.016823,0.016823
0.001085,0.001085
0.000000,0.000000
0.000000,0.000000
0.002497,0.002497
0.000465,0.000465
0.008540,0.008540
0.003355,0.003355
0.000000,0.000000
0.016238,0.016238
0.000000,0.000000
0.008682,0.008682
0.000000,0.000000
0.021635,0.021635
0.000000,0.000000
0.033626,0.033626
0.000000,0.000000
0.000000,0.000000
0.007755,0.007755
0.006259,0.006259
0.001434,0.001434
0.014969,0.014969
0.000000,0.000000
0.000000,0.000000
0.038579,0.038579
0.006976,0.006976
0.000000,0.000000
0.020892,0.020892
0.000000,0.000000
0.006644,0.006644
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.013523,0.013523
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.019065,0.019065
0.054621,0.054621
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.064188,0.064188
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.015535,0.015535
0.001971,0.001971
0.007333,0.007333
0.000000,0.000000
0.000000,0.000000
0.007509,0.007509
0.027559,0.027559
0.046836,0.046836
0.006274,0.006274
0.006793,0.006793
0.000000,0.000000
0.019323,0.019323
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.024358,0.024358
0.000000,0.000000
0.025463,0.025463
0.018347,0.018347
0.000000,0.000000
0.012261,0.012261
0.000000,0.000000
0.002093,0.002093
0.000000,0.000000
0.021385,0.021385
0.008947,0.008947
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.029604,0.029604
0.000000,0.000000
0.001010,0.001010
0.002352,0.002352
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.020469,0.020469
0.003438,0.003438
0.000000,0.000000
0.000000,0.000000
0.020680,0.020680
0.032208,0.032208
0.049836,0.049836
0.000000,0.000000
0.008562,0.008562
0.018048,0.018048
0.000000,0.000000
0.000000,0.000000
0.020319,0.020319
0.012921,0.012921
0.004381,0.004381
0.004535,0.004535
0.034458,0.034458
0.005677,0.005677
0.000000,0.000000
0.006806,0.006806
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.003029,0.003029
0.000000,0.000000
0.000000,0.000000
0.019719,0.019719
0.000000,0.000000
0.000000,0.000000
0.008713,0.008713
0.000000,0.000000
0.010598,0.010598
0.030847,0.030847
0.094296,0.094296
0.023830,0.023830
0.007485,0.007485
0.008229,0.008229
0.027420,0.027420
0.003452,0.003452
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.006095,0.006095
0.015493,0.015493
0.025609,0.025609
0.000000,0.000000
0.016066,0.016066
0.000000,0.000000
0.000000,0.000000
0.042393,0.042393
0.052281,0.052281
0.000000,0.000000
0.000000,0.000000
0.006964,0.006964
0.003267,0.003267
0.022689,0.022689
0.000000,0.000000
0.029159,0.029159
0.000000,0.000000
0.000955,0.000955
0.040115,0.040115
0.000000,0.000000
0.001253,0.001253
0.013075,0.013075
0.006543,0.006543
0.025067,0.025067
0.008633,0.008633
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.041591,0.041591
0.053107,0.053107
0.000000,0.000000
0.003169,0.003169
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.001605,0.001605
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.005273,0.005273
0.000000,0.000000
0.033489,0.033489
0.000000,0.000000
0.006551,0.006551
0.000972,0.000972
0.000000,0.000000
0.042089,0.042089
0.000000,0.000000
0.000000,0.000000
0.001278,0.001278
0.038261,0.038261
0.001894,0.001894
0.022128,0.022128
0.000000,0.000000
0.045316,0.045316
0.003799,0.003799
0.000000,0.000000
0.029154,0.029154
0.051451,0.051451
0.005486,0.005486
0.000000,0.000000
0.002468,0.002468
0.006434,0.006434
0.007609,0.007609
0.006853,0.006853
0.000000,0.000000
0.050347,0.050347
0.000000,0.000000
0.003553,0.003553
0.013568,0.013568
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.001569,0.001569
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.015120,0.015120
0.004901,0.004901
0.001538,0.001538
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.003699,0.003699
0.046808,0.046808
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.024921,0.024921
0.013479,0.013479
0.077726,0.077726
0.005820,0.005820
0.009704,0.009704
0.024350,0.024350
0.001871,0.001871
0.008586,0.008586
0.000000,0.000000
0.002804,0.002804
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.055948,0.055948
0.000000,0.000000
0.000127,0.000127
0.000000,0.000000
0.092059,0.092059
0.000914,0.000914
0.000000,0.000000
0.034021,0.034021
0.002848,0.002848
0.046378,0.046378
0.020039,0.020039
0.000000,0.000000
0.018296,0.018296
0.000000,0.000000
0.000000,0.000000
0.025819,0.025819
0.024316,0.024316
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.011209,0.011209
0.000000,0.000000
0.047333,0.047333
0.000000,0.000000
0.017182,0.017182
0.007797,0.007797
0.002727,0.002727
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.001176,0.001176
0.000000,0.000000
0.034974,0.034974
0.000000,0.000000
0.000000,0.000000
0.019641,0.019641
0.036088,0.036088
0.000000,0.000000
0.000000,0.000000
0.038519,0.038519
0.000000,0.000000
0.019648,0.019648
0.004990,0.004990
0.005484,0.005484
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.002398,0.002398
0.000295,0.000295
0.002074,0.002074
0.000000,0.000000
0.090179,0.090179
0.019752,0.019752
0.007044,0.007044
0.002482,0.002482
0.000000,0.000000
0.000000,0.000000
0.006513,0.006513
0.002619,0.002619
0.019146,0.019146
0.000000,0.000000
0.000000,0.000000
0.005234,0.005234
0.011471,0.011471
0.020634,0.020634
0.009761,0.009761
0.004868,0.004868
0.000000,0.000000
0.046355,0.046355
0.046563,0.046563
0.000000,0.000000
0.046330,0.046330
0.000000,0.000000
0.000624,0.000624
0.041642,0.041642
0.031394,0.031394
0.000000,0.000000
0.010538,0.010538
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.020054,0.020054
0.000000,0.000000
0.009431,0.009431
0.000000,0.000000
0.016605,0.016605
0.000000,0.000000
0.008780,0.008780
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.004712,0.004712
0.000000,0.000000
0.000000,0.000000
0.052088,0.052088
0.040560,0.040560
0.020637,0.020637
0.033588,0.033588
0.042643,0.042643
0.031078,0.031078
0.009861,0.009861
0.037777,0.037777
0.000000,0.000000
0.026257,0.026257
0.000484,0.000484
0.049089,0.049089
0.037541,0.037541
0.000963,0.000963
0.038490,0.038490
0.027100,0.027100
0.028177,0.028177
0.002720,0.002720
0.000000,0.000000
0.038443,0.038443
0.023180,0.023180
0.038306,0.038306
0.023666,0.023666
0.069088,0.069088
0.005215,0.005215
0.025720,0.025720
0.026544,0.026544
0.017559,0.017559
0.000000,0.000000
0.089091,0.089091
0.028949,0.028949
0.027558,0.027558
0.000000,0.000000
0.000000,0.000000
0.033335,0.033335
0.000000,0.000000
0.001104,0.001104
0.010263,0.010263
0.013295,0.013295
0.060062,0.060062
0.002295,0.002295
0.028465,0.028465
0.042043,0.042043
0.024696,0.024696
0.039678,0.039678
0.060114,0.060114
0.000000,0.000000
0.028679,0.028679
0.010859,0.010859
0.026393,0.026393
0.050762,0.050762
0.027959,0.027959
0.033533,0.033533
0.013777,0.013777
0.000000,0.000000
0.017151,0.017151
0.043020,0.043020
0.037905,0.037905
0.018667,0.018667
0.008550,0.008550
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.039891,0.039891
0.036192,0.036192
0.000000,0.000000
0.009969,0.009969
0.000000,0.000000
0.027358,0.027358
0.037005,0.037005
0.018908,0.018908
0.039866,0.039866
0.023372,0.023372
0.017770,0.017770
0.004929,0.004929
0.039697,0.039697
0.016602,0.016602
0.029750,0.029750
0.020900,0.020900
0.034858,0.034858
0.040838,0.040838
0.038575,0.038575
0.048593,0.048593
0.020702,0.020702
0.021396,0.021396
0.011098,0.011098
0.015279,0.015279
0.032156,0.032156
0.000000,0.000000
0.000000,0.000000
0.045601,0.045601
0.038422,0.038422
0.038402,0.038402
0.015631,0.015631
0.000000,0.000000
0.012827,0.012827
0.000000,0.000000
0.035056,0.035056
0.057942,0.057942
0.052240,0.052240
0.000000,0.000000
0.024056,0.024056
0.022267,0.022267
0.010128,0.010128
0.012570,0.012570
0.002965,0.002965
0.034676,0.034676
0.008339,0.008339
0.001870,0.001870
0.001839,0.001839
0.027740,0.027740
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.007232,0.007232
0.000000,0.000000
0.000000,0.000000
0.046823,0.046823
0.014855,0.014855
0.000000,0.000000
0.035366,0.035366
0.000000,0.000000
0.024037,0.024037
0.028763,0.028763
0.004008,0.004008
0.039747,0.039747
0.035876,0.035876
0.011961,0.011961
0.000000,0.000000
0.008146,0.008146
0.027380,0.027380
0.063966,0.063966
0.025678,0.025678
0.037553,0.037553
0.025224,0.025224
0.037818,0.037818
0.036143,0.036143
0.036604,0.036604
0.021427,0.021427
0.028395,0.028395
0.018633,0.018633
0.006259,0.006259
0.036361,0.036361
0.034666,0.034666
0.039320,0.039320
0.000000,0.000000
0.023304,0.023304
0.026045,0.026045
0.053368,0.053368
0.048360,0.048360
0.030288,0.030288
0.038873,0.038873
0.005605,0.005605
0.000000,0.000000
0.033979,0.033979
0.006214,0.006214
0.030181,0.030181
0.028611,0.028611
0.000000,0.000000
0.000000,0.000000
0.017086,0.017086
0.034308,0.034308
0.012361,0.012361
0.021000,0.021000
0.001175,0.001175
0.031834,0.031834
0.036716,0.036716
0.003106,0.003106
0.035257,0.035257
0.010885,0.010885
0.043424,0.043424
0.012531,0.012531
0.000000,0.000000
0.033904,0.033904
0.027127,0.027127
0.046365,0.046365
0.037927,0.037927
0.051087,0.051087
0.036853,0.036853
0.000000,0.000000
0.013068,0.013068
0.032487,0.032487
0.025218,0.025218
0.021877,0.021877
0.003979,0.003979
0.024479,0.024479
0.026117,0.026117
0.000000,0.000000
0.034943,0.034943
0.047038,0.047038
0.004227,0.004227
0.014797,0.014797
0.016834,0.016834
0.043435,0.043435
0.033567,0.033567
0.000000,0.000000
0.016057,0.016057
0.000708,0.000708
0.049606,0.049606
0.013692,0.013692
0.000000,0.000000
0.063652,0.063652
0.000000,0.000000
0.018008,0.018008
0.045662,0.045662
0.037094,0.037094
0.036835,0.036835
0.023915,0.023915
0.020649,0.020649
0.002672,0.002672
0.043592,0.043592
0.021920,0.021920
0.028157,0.028157
0.027732,0.027732
0.024978,0.024978
0.057564,0.057564
0.041855,0.041855
0.000000,0.000000
0.029691,0.029691
0.003855,0.003855
0.021917,0.021917
0.040684,0.040684
0.036346,0.036346
0.020596,0.020596
0.031296,0.031296
0.000000,0.000000
0.041234,0.041234
0.040110,0.040110
0.015406,0.015406
0.016522,0.016522
0.000000,0.000000
0.000000,0.000000
0.019366,0.019366
0.037086,0.037086
0.039366,0.039366
0.028602,0.028602
0.022572,0.022572
0.000000,0.000000
0.000696,0.000696
0.004109,0.004109
0.000000,0.000000
0.042232,0.042232
0.071192,0.071192
0.000000,0.000000
0.037320,0.037320
0.034582,0.034582
0.020341,0.020341
0.024699,0.024699
0.024104,0.024104
0.042870,0.042870
0.012028,0.012028
0.015537,0.015537
0.000000,0.000000
0.025057,0.025057
0.015227,0.015227
0.036489,0.036489
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.061530,0.061530
0.041699,0.041699
0.000000,0.000000
0.019122,0.019122
0.027004,0.027004
0.010978,0.010978
0.012939,0.012939
0.035877,0.035877
0.000000,0.000000
0.020887,0.020887
0.011018,0.011018
0.036787,0.036787
0.002891,0.002891
0.000000,0.000000
0.057089,0.057089
0.039236,0.039236
0.019539,0.019539
0.000000,0.000000
0.010244,0.010244
0.026792,0.026792
0.039621,0.039621
0.035924,0.035924
0.030194,0.030194
0.051481,0.051481
0.024882,0.024882
0.037555,0.037555
0.033164,0.033164
0.028353,0.028353
0.024732,0.024732
0.004642,0.004642
0.040810,0.040810
0.016662,0.016662
0.055203,0.055203
0.007152,0.007152
0.038018,0.038018
0.031885,0.031885
0.047986,0.047986
0.011021,0.011021
0.003681,0.003681
0.029047,0.029047
0.046436,0.046436
0.047915,0.047915
0.000000,0.000000
0.021954,0.021954
0.050643,0.050643
0.059366,0.059366
0.023177,0.023177
0.005066,0.005066
0.050806,0.050806
0.021465,0.021465
0.044866,0.044866
0.029269,0.029269
0.019512,0.019512
0.025129,0.025129
0.012327,0.012327
0.000000,0.000000
0.037910,0.037910
0.000000,0.000000
0.047540,0.047540
0.007593,0.007593
0.018347,0.018347
0.013249,0.013249
0.050495,0.050495
0.000000,0.000000
0.048614,0.048614
0.030081,0.030081
0.031663,0.031663
0.023533,0.023533
0.054407,0.054407
0.036333,0.036333
0.044329,0.044329
0.022097,0.022097
0.000000,0.000000
0.003612,0.003612
0.058519,0.058519
0.029476,0.029476
0.016851,0.016851
0.000000,0.000000
0.047889,0.047889
0.021185,0.021185
0.046744,0.046744
0.020069,0.020069
0.000000,0.000000
0.035775,0.035775
0.009688,0.009688
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.019249,0.019249
0.002198,0.002198
0.016515,0.016515
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.015958,0.015958
0.001539,0.001539
0.054107,0.054107
0.000689,0.000689
0.000000,0.000000
0.000000,0.000000
0.016713,0.016713
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.052043,0.052043
0.000730,0.000730
0.003207,0.003207
0.000000,0.000000
0.000257,0.000257
0.005932,0.005932
0.000000,0.000000
0.006188,0.006188
0.000000,0.000000
0.020468,0.020468
0.005540,0.005540
0.006533,0.006533
0.039640,0.039640
0.000000,0.000000
0.000562,0.000562
0.000000,0.000000
0.008740,0.008740
0.012390,0.012390
0.004828,0.004828
0.007625,0.007625
0.047495,0.047495
0.002135,0.002135
0.028701,0.028701
0.000000,0.000000
0.013625,0.013625
0.000000,0.000000
0.000000,0.000000
0.022700,0.022700
0.032191,0.032191
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.002046,0.002046
0.000297,0.000297
0.024631,0.024631
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.012216,0.012216
0.000000,0.000000
0.000000,0.000000
0.005092,0.005092
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.013847,0.013847
0.082216,0.082216
0.000000,0.000000
0.011001,0.011001
0.048002,0.048002
0.016036,0.016036
0.000000,0.000000
0.061202,0.061202
0.019220,0.019220
0.000000,0.000000
0.032100,0.032100
0.004407,0.004407
0.000696,0.000696
0.013887,0.013887
0.000000,0.000000
0.000000,0.000000
0.011633,0.011633
0.004581,0.004581
0.031244,0.031244
0.005731,0.005731
0.032023,0.032023
0.032745,0.032745
0.020761,0.020761
0.000000,0.000000
0.000000,0.000000
0.024019,0.024019
0.000000,0.000000
0.000000,0.000000
0.029176,0.029176
0.025879,0.025879
0.000000,0.000000
0.012172,0.012172
0.000000,0.000000
0.000000,0.000000
0.024624,0.024624
0.012587,0.012587
0.011213,0.011213
0.011120,0.011120
0.015487,0.015487
0.020848,0.020848
0.000328,0.000328
0.027007,0.027007
0.000000,0.000000
0.035431,0.035431
0.030791,0.030791
0.022195,0.022195
0.014243,0.014243
0.000000,0.000000
0.004360,0.004360
0.009264,0.009264
0.006376,0.006376
0.000000,0.000000
0.033028,0.033028
0.012791,0.012791
0.000000,0.000000
0.053510,0.053510
0.000000,0.000000
0.028089,0.028089
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.078588,0.078588
0.000000,0.000000
0.040278,0.040278
0.000000,0.000000
0.005674,0.005674
0.033493,0.033493
0.022670,0.022670
0.000000,0.000000
0.012713,0.012713
0.000000,0.000000
0.002307,0.002307
0.013411,0.013411
0.013195,0.013195
0.000000,0.000000
0.000851,0.000851
0.000085,0.000085
0.002230,0.002230
0.000000,0.000000
0.005419,0.005419
0.012767,0.012767
0.027222,0.027222
0.000000,0.000000
0.026779,0.026779
0.000000,0.000000
0.015197,0.015197
0.028413,0.028413
0.000472,0.000472
0.000000,0.000000
0.000000,0.000000
0.000436,0.000436
0.007795,0.007795
0.008133,0.008133
0.000000,0.000000
0.001728,0.001728
0.018589,0.018589
0.017728,0.017728
0.016248,0.016248
0.038648,0.038648
0.000000,0.000000
0.000000,0.000000
0.000697,0.000697
0.000000,0.000000
0.000000,0.000000
0.003189,0.003189
0.004431,0.004431
0.000000,0.000000
0.000000,0.000000
0.050052,0.050052
0.017184,0.017184
0.005765,0.005765
0.000000,0.000000
0.033523,0.033523
0.000000,0.000000
0.027347,0.027347
0.006487,0.006487
0.000000,0.000000
0.001664,0.001664
0.000000,0.000000
0.000000,0.000000
0.000191,0.000191
0.000000,0.000000
0.000000,0.000000
0.007285,0.007285
0.022727,0.022727
0.000000,0.000000
0.000000,0.000000
0.000757,0.000757
0.000000,0.000000
0.030215,0.030215
0.000000,0.000000
0.011795,0.011795
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.014679,0.014679
0.010957,0.010957
0.003485,0.003485
0.001652,0.001652
0.030235,0.030235
0.000000,0.000000
0.004829,0.004829
0.000000,0.000000
0.021136,0.021136
0.001222,0.001222
0.000000,0.000000
0.010992,0.010992
0.000000,0.000000
0.000000,0.000000
0.015450,0.015450
0.002800,0.002800
0.000000,0.000000
0.000000,0.000000
0.009868,0.009868
0.030344,0.030344
0.015205,0.015205
0.089668,0.089668
0.014563,0.014563
0.004594,0.004594
0.004852,0.004852
0.000000,0.000000
0.005269,0.005269
0.025443,0.025443
0.012078,0.012078
0.003925,0.003925
0.009119,0.009119
0.034802,0.034802
0.043314,0.043314
0.000000,0.000000
0.000000,0.000000
0.024351,0.024351
0.009977,0.009977
0.015467,0.015467
0.002759,0.002759
0.001537,0.001537
0.000000,0.000000
0.004330,0.004330
0.003538,0.003538
0.000000,0.000000
0.009914,0.009914
0.003559,0.003559
0.044870,0.044870
0.004612,0.004612
0.003601,0.003601
0.000000,0.000000
0.024503,0.024503
0.031084,0.031084
0.000000,0.000000
0.000000,0.000000
0.015734,0.015734
0.029972,0.029972
0.020835,0.020835
0.003454,0.003454
0.000000,0.000000
0.003420,0.003420
0.000000,0.000000
0.013547,0.013547
0.000000,0.000000
0.012392,0.012392
0.026860,0.026860
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.030786,0.030786
0.000000,0.000000
0.013809,0.013809
0.017693,0.017693
0.000000,0.000000
0.024502,0.024502
0.028900,0.028900
0.000000,0.000000
0.000000,0.000000
0.014041,0.014041
0.012970,0.012970
0.009374,0.009374
0.000000,0.000000
0.032458,0.032458
0.013316,0.013316
0.007432,0.007432
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.011036,0.011036
0.034779,0.034779
0.000000,0.000000
0.004544,0.004544
0.007068,0.007068
0.000000,0.000000
0.026579,0.026579
0.000000,0.000000
0.001216,0.001216
0.000000,0.000000
0.006703,0.006703
0.015521,0.015521
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009094,0.009094
0.025716,0.025716
0.001571,0.001571
0.042883,0.042883
0.041651,0.041651
0.000000,0.000000
0.000000,0.000000
0.009354,0.009354
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.023237,0.023237
0.000000,0.000000
0.000000,0.000000
0.005994,0.005994
0.028586,0.028586
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.003393,0.003393
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.075233,0.075233
0.000000,0.000000
0.000000,0.000000
0.013362,0.013362
0.052954,0.052954
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.022066,0.022066
0.022420,0.022420
0.000000,0.000000
0.000000,0.000000
0.009006,0.009006
0.015495,0.015495
0.000000,0.000000
0.012588,0.012588
0.041161,0.041161
0.009118,0.009118
0.017910,0.017910
0.023768,0.023768
0.050380,0.050380
0.000000,0.000000
0.061421,0.061421
0.018492,0.018492
0.032124,0.032124
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.036675,0.036675
0.043799,0.043799
0.041887,0.041887
0.027856,0.027856
0.031212,0.031212
0.026485,0.026485
0.042652,0.042652
0.032198,0.032198
0.019829,0.019829
0.000000,0.000000
0.000000,0.000000
0.051108,0.051108
0.013339,0.013339
0.000000,0.000000
0.001673,0.001673
0.000000,0.000000
0.017867,0.017867
0.030659,0.030659
0.012133,0.012133
0.049422,0.049422
0.003080,0.003080
0.000000,0.000000
0.050053,0.050053
0.048303,0.048303
0.037166,0.037166
0.021527,0.021527
0.000000,0.000000
0.025305,0.025305
0.017718,0.017718
0.017040,0.017040
0.000000,0.000000
0.011770,0.011770
0.053415,0.053415
0.004015,0.004015
0.048271,0.048271
0.000000,0.000000
0.027425,0.027425
0.044931,0.044931
0.000000,0.000000
0.000000,0.000000
0.032642,0.032642
0.040497,0.040497
0.004127,0.004127
0.046126,0.046126
0.018478,0.018478
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.022270,0.022270
0.035486,0.035486
0.035518,0.035518
0.047148,0.047148
0.052911,0.052911
0.000000,0.000000
0.056650,0.056650
0.039017,0.039017
0.034592,0.034592
0.024554,0.024554
0.001238,0.001238
0.000000,0.000000
0.042400,0.042400
0.018832,0.018832
0.000000,0.000000
0.000000,0.000000
0.009394,0.009394
0.002480,0.002480
0.001239,0.001239
0.000000,0.000000
0.016178,0.016178
0.000000,0.000000
0.035433,0.035433
0.038902,0.038902
0.020188,0.020188
0.019358,0.019358
0.033661,0.033661
0.043164,0.043164
0.007962,0.007962
0.000000,0.000000
0.004728,0.004728
0.026100,0.026100
0.045724,0.045724
0.034514,0.034514
0.008114,0.008114
0.036208,0.036208
