bin,total,Assistance_BlindSpot_SPAWN->Assistance_BlindSpot_START
0.000000,0.024951,0.024951
0.001000,0.023331,0.023331
0.002000,0.018795,0.018795
0.003000,0.019767,0.019767
0.004000,0.018795,0.018795
0.005000,0.016202,0.016202
0.006000,0.013610,0.013610
0.007000,0.012638,0.012638
0.008000,0.009721,0.009721
0.009000,0.011990,0.011990
0.010000,0.010369,0.010369
0.011000,0.011666,0.011666
0.012000,0.014258,0.014258
0.013000,0.011342,0.011342
0.014000,0.009073,0.009073
0.015000,0.010045,0.010045
0.016000,0.006157,0.006157
0.017000,0.009073,0.009073
0.018000,0.009073,0.009073
0.019000,0.009397,0.009397
0.020000,0.013286,0.013286
0.021000,0.008425,0.008425
0.022000,0.010045,0.010045
0.023000,0.007453,0.007453
0.024000,0.011666,0.011666
0.025000,0.009721,0.009721
0.026000,0.008101,0.008101
0.027000,0.009721,0.009721
0.028000,0.010369,0.010369
0.029000,0.005509,0.005509
0.030000,0.008101,0.008101
0.031000,0.007777,0.007777
0.032000,0.006157,0.006157
0.033000,0.009073,0.009073
0.034000,0.007777,0.007777
0.035000,0.005509,0.005509
0.036000,0.007777,0.007777
0.037000,0.008749,0.008749
0.038000,0.007777,0.007777
0.039000,0.008425,0.008425
0.040000,0.005833,0.005833
0.041000,0.007777,0.007777
0.042000,0.010045,0.010045
0.043000,0.006157,0.006157
0.044000,0.004213,0.004213
0.045000,0.003564,0.003564
0.046000,0.006157,0.006157
0.047000,0.005509,0.005509
0.048000,0.003889,0.003889
0.049000,0.002268,0.002268
0.050000,0.005185,0.005185
0.051000,0.003564,0.003564
0.052000,0.003889,0.003889
0.053000,0.002592,0.002592
0.054000,0.002916,0.002916
0.055000,0.003889,0.003889
0.056000,0.000972,0.000972
0.057000,0.002268,0.002268
0.058000,0.001944,0.001944
0.059000,0.000972,0.000972
0.060000,0.001296,0.001296
0.061000,0.001296,0.001296
0.062000,0.000648,0.000648
0.063000,0.000972,0.000972
0.064000,0.000972,0.000972
0.065000,0.000324,0.000324
0.066000,0.001296,0.001296
0.067000,0.000648,0.000648
0.068000,0.000000,0.000000
0.069000,0.000648,0.000648
0.070000,0.000324,0.000324
0.071000,0.000648,0.000648
0.072000,0.000000,0.000000
0.073000,0.000000,0.000000
0.074000,0.000324,0.000324
0.075000,0.000324,0.000324
0.076000,0.000324,0.000324
0.077000,0.000648,0.000648
0.078000,0.000648,0.000648
0.079000,0.000000,0.000000
0.080000,0.000000,0.000000
0.081000,0.000324,0.000324
0.082000,0.000324,0.000324
0.083000,0.000000,0.000000
0.084000,0.000000,0.000000
0.085000,0.000000,0.000000
0.086000,0.000000,0.000000
0.087000,0.000324,0.000324
0.088000,0.000324,0.000324
0.089000,0.000648,0.000648
0.090000,0.000648,0.000648
0.091000,0.000324,0.000324
0.092000,0.000648,0.000648
0.093000,0.000000,0.000000
0.094000,0.000324,0.000324
0.095000,0.000324,0.000324
0.096000,0.000324,0.000324
0.097000,0.000000,0.000000
0.098000,0.000000,0.000000
0.099000,0.000000,0.000000
0.100000,0.000000,0.000000
0.101000,0.000000,0.000000
0.102000,0.000324,0.000324
0.103000,0.000648,0.000648
0.104000,0.000000,0.000000
0.105000,0.000000,0.000000
0.106000,0.000324,0.000324
0.107000,0.000000,0.000000
0.108000,0.000000,0.000000
0.109000,0.000000,0.000000
0.110000,0.000000,0.000000
0.111000,0.000000,0.000000
0.112000,0.000000,0.000000
0.113000,0.000000,0.000000
0.114000,0.000000,0.000000
0.115000,0.000000,0.000000
0.116000,0.000000,0.000000
0.117000,0.000000,0.000000
0.118000,0.000648,0.000648
