Assistance_LaneMonitoring_SPAWN->Assistance_LaneMonitoring_START,Assistance_LaneMonitoring_SPAWN->Assistance_LaneMonitoring_START
0.010209,0.010209
0.017406,0.017406
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.028281,0.028281
0.120892,0.120892
0.019548,0.019548
0.000000,0.000000
0.025737,0.025737
0.025568,0.025568
0.040792,0.040792
0.007345,0.007345
0.011856,0.011856
0.000000,0.000000
0.006166,0.006166
0.020922,0.020922
0.014051,0.014051
0.031382,0.031382
0.005066,0.005066
0.035219,0.035219
0.000000,0.000000
0.016147,0.016147
0.000000,0.000000
0.037016,0.037016
0.017588,0.017588
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.059500,0.059500
0.025129,0.025129
0.007858,0.007858
0.037887,0.037887
0.000000,0.000000
0.000153,0.000153
0.000000,0.000000
0.008430,0.008430
0.015655,0.015655
0.026877,0.026877
0.013109,0.013109
0.021852,0.021852
0.000000,0.000000
0.001864,0.001864
0.034817,0.034817
0.001135,0.001135
0.018815,0.018815
0.000000,0.000000
0.001850,0.001850
0.006322,0.006322
0.014760,0.014760
0.022434,0.022434
0.000000,0.000000
0.000000,0.000000
0.005044,0.005044
0.002748,0.002748
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.004656,0.004656
0.000000,0.000000
0.000000,0.000000
0.034487,0.034487
0.004329,0.004329
0.023413,0.023413
0.000000,0.000000
0.000149,0.000149
0.011273,0.011273
0.032030,0.032030
0.052592,0.052592
0.031833,0.031833
0.026346,0.026346
0.012156,0.012156
0.023749,0.023749
0.009642,0.009642
0.000000,0.000000
0.007983,0.007983
0.039241,0.039241
0.000000,0.000000
0.050664,0.050664
0.033243,0.033243
0.000000,0.000000
0.037549,0.037549
0.000000,0.000000
0.002365,0.002365
0.000000,0.000000
0.027942,0.027942
0.032148,0.032148
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.002423,0.002423
0.051313,0.051313
0.008731,0.008731
0.009072,0.009072
0.023157,0.023157
0.000982,0.000982
0.000000,0.000000
0.000000,0.000000
0.056536,0.056536
0.008072,0.008072
0.000000,0.000000
0.003881,0.003881
0.049047,0.049047
0.036336,0.036336
0.006293,0.006293
0.000000,0.000000
0.025375,0.025375
0.020975,0.020975
0.000000,0.000000
0.000000,0.000000
0.023848,0.023848
0.017974,0.017974
0.007636,0.007636
0.024350,0.024350
0.055380,0.055380
0.033908,0.033908
0.000000,0.000000
0.034008,0.034008
0.000000,0.000000
0.000535,0.000535
0.000000,0.000000
0.006284,0.006284
0.000000,0.000000
0.000000,0.000000
0.023815,0.023815
0.005253,0.005253
0.002695,0.002695
0.013536,0.013536
0.020255,0.020255
0.029400,0.029400
0.049276,0.049276
0.119409,0.119409
0.040428,0.040428
0.027601,0.027601
0.033792,0.033792
0.032441,0.032441
0.053267,0.053267
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.019239,0.019239
0.019474,0.019474
0.028393,0.028393
0.001491,0.001491
0.035408,0.035408
0.000000,0.000000
0.004576,0.004576
0.061601,0.061601
0.001514,0.001514
0.000000,0.000000
0.000000,0.000000
0.022422,0.022422
0.005971,0.005971
0.028331,0.028331
0.013362,0.013362
0.034218,0.034218
0.022027,0.022027
0.005987,0.005987
0.000000,0.000000
0.000000,0.000000
0.039335,0.039335
0.034376,0.034376
0.028313,0.028313
0.028910,0.028910
0.015783,0.015783
0.001985,0.001985
0.000000,0.000000
0.004161,0.004161
0.000000,0.000000
0.000000,0.000000
0.001081,0.001081
0.006703,0.006703
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.006400,0.006400
0.000996,0.000996
0.000000,0.000000
0.000000,0.000000
0.008733,0.008733
0.013158,0.013158
0.049177,0.049177
0.000000,0.000000
0.009321,0.009321
0.034190,0.034190
0.000000,0.000000
0.021148,0.021148
0.000000,0.000000
0.000000,0.000000
0.023465,0.023465
0.044478,0.044478
0.005809,0.005809
0.003272,0.003272
0.000000,0.000000
0.049023,0.049023
0.018934,0.018934
0.000000,0.000000
0.044411,0.044411
0.071398,0.071398
0.011394,0.011394
0.000000,0.000000
0.006212,0.006212
0.044924,0.044924
0.021131,0.021131
0.011938,0.011938
0.000000,0.000000
0.009182,0.009182
0.000000,0.000000
0.031973,0.031973
0.035351,0.035351
0.001266,0.001266
0.000859,0.000859
0.007079,0.007079
0.029044,0.029044
0.000000,0.000000
0.000000,0.000000
0.022020,0.022020
0.017664,0.017664
0.045340,0.045340
0.006700,0.006700
0.007825,0.007825
0.005542,0.005542
0.008662,0.008662
0.009400,0.009400
0.000000,0.000000
0.000000,0.000000
0.014453,0.014453
0.000000,0.000000
0.048787,0.048787
0.035416,0.035416
0.135505,0.135505
0.031223,0.031223
0.036671,0.036671
0.031056,0.031056
0.006827,0.006827
0.028892,0.028892
0.006518,0.006518
0.023934,0.023934
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.006504,0.006504
0.004511,0.004511
0.004422,0.004422
0.053809,0.053809
0.030667,0.030667
0.000000,0.000000
0.000000,0.000000
0.006196,0.006196
0.060408,0.060408
0.024103,0.024103
0.000000,0.000000
0.023000,0.023000
0.000000,0.000000
0.005083,0.005083
0.043114,0.043114
0.048842,0.048842
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.003456,0.003456
0.016284,0.016284
0.000000,0.000000
0.012258,0.012258
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.016045,0.016045
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.036291,0.036291
0.003898,0.003898
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.023430,0.023430
0.006189,0.006189
0.000000,0.000000
0.013350,0.013350
0.057492,0.057492
0.001199,0.001199
0.026464,0.026464
0.007128,0.007128
0.010093,0.010093
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.006800,0.006800
0.024779,0.024779
0.011742,0.011742
0.000000,0.000000
0.020919,0.020919
0.020555,0.020555
0.019487,0.019487
0.086849,0.086849
0.000139,0.000139
0.000000,0.000000
0.032077,0.032077
0.030487,0.030487
0.022741,0.022741
0.000000,0.000000
0.000000,0.000000
0.015797,0.015797
0.016122,0.016122
0.039983,0.039983
0.012753,0.012753
0.046748,0.046748
0.003632,0.003632
0.051110,0.051110
0.054200,0.054200
0.007257,0.007257
0.000000,0.000000
0.000000,0.000000
0.021560,0.021560
0.064535,0.064535
0.049083,0.049083
0.003106,0.003106
0.013658,0.013658
0.000000,0.000000
0.000000,0.000000
0.001333,0.001333
0.045264,0.045264
0.000000,0.000000
0.027826,0.027826
0.000000,0.000000
0.018799,0.018799
0.000000,0.000000
0.013773,0.013773
0.022694,0.022694
0.000000,0.000000
0.030223,0.030223
0.011291,0.011291
0.000000,0.000000
0.000000,0.000000
0.058151,0.058151
0.000000,0.000000
0.036627,0.036627
0.056527,0.056527
0.046574,0.046574
0.034385,0.034385
0.015163,0.015163
0.000000,0.000000
0.000000,0.000000
0.038972,0.038972
0.006300,0.006300
0.000000,0.000000
0.050038,0.050038
0.006210,0.006210
0.000000,0.000000
0.042154,0.042154
0.047720,0.047720
0.025188,0.025188
0.000000,0.000000
0.043872,0.043872
0.042323,0.042323
0.040868,0.040868
0.027021,0.027021
0.000000,0.000000
0.003098,0.003098
0.052411,0.052411
0.044685,0.044685
0.022806,0.022806
0.000000,0.000000
0.000000,0.000000
0.034102,0.034102
0.034194,0.034194
0.000000,0.000000
0.000000,0.000000
0.039184,0.039184
0.000000,0.000000
0.002753,0.002753
0.014943,0.014943
0.018561,0.018561
0.000000,0.000000
0.026537,0.026537
0.048148,0.048148
0.000000,0.000000
0.050159,0.050159
0.064891,0.064891
0.000000,0.000000
0.000000,0.000000
0.049068,0.049068
0.014154,0.014154
0.032626,0.032626
0.055732,0.055732
0.049669,0.049669
0.059285,0.059285
0.017127,0.017127
0.000000,0.000000
0.049007,0.049007
0.058783,0.058783
0.043133,0.043133
0.025278,0.025278
0.034778,0.034778
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.057268,0.057268
0.057644,0.057644
0.000000,0.000000
0.029830,0.029830
0.000000,0.000000
0.000000,0.000000
0.041873,0.041873
0.044394,0.044394
0.058476,0.058476
0.049291,0.049291
0.023011,0.023011
0.029890,0.029890
0.047387,0.047387
0.020716,0.020716
0.034702,0.034702
0.040626,0.040626
0.000000,0.000000
0.045571,0.045571
0.000000,0.000000
0.052455,0.052455
0.025527,0.025527
0.042562,0.042562
0.016542,0.016542
0.019907,0.019907
0.037440,0.037440
0.000000,0.000000
0.004262,0.004262
0.049184,0.049184
0.043053,0.043053
0.045821,0.045821
0.019151,0.019151
0.000000,0.000000
0.019194,0.019194
0.000000,0.000000
0.041568,0.041568
0.060925,0.060925
0.000000,0.000000
0.000000,0.000000
0.028661,0.028661
0.027095,0.027095
0.016049,0.016049
0.003392,0.003392
0.008106,0.008106
0.051301,0.051301
0.033543,0.033543
0.018042,0.018042
0.004543,0.004543
0.054395,0.054395
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.011163,0.011163
0.000000,0.000000
0.000000,0.000000
0.053443,0.053443
0.020448,0.020448
0.000000,0.000000
0.051811,0.051811
0.000000,0.000000
0.030875,0.030875
0.000000,0.000000
0.008967,0.008967
0.044319,0.044319
0.039657,0.039657
0.017550,0.017550
0.000000,0.000000
0.027324,0.027324
0.043695,0.043695
0.000000,0.000000
0.033318,0.033318
0.041595,0.041595
0.050543,0.050543
0.041566,0.041566
0.000000,0.000000
0.044097,0.044097
0.027046,0.027046
0.032457,0.032457
0.039414,0.039414
0.035024,0.035024
