bin,total,Assistance_Navigation_SPAWN->Assistance_Navigation_START
0.000000,0.027481,0.027481
0.001000,0.025542,0.025542
0.002000,0.017782,0.017782
0.003000,0.022632,0.022632
0.004000,0.020692,0.020692
0.005000,0.011316,0.011316
0.006000,0.015196,0.015196
0.007000,0.006790,0.006790
0.008000,0.008406,0.008406
0.009000,0.007113,0.007113
0.010000,0.006143,0.006143
0.011000,0.006466,0.006466
0.012000,0.005496,0.005496
0.013000,0.005173,0.005173
0.014000,0.003556,0.003556
0.015000,0.002586,0.002586
0.016000,0.002586,0.002586
0.017000,0.000970,0.000970
0.018000,0.003233,0.003233
0.019000,0.000323,0.000323
0.020000,0.001940,0.001940
0.021000,0.000970,0.000970
0.022000,0.000323,0.000323
0.023000,0.000000,0.000000
0.024000,0.000323,0.000323
0.025000,0.000000,0.000000
0.026000,0.000647,0.000647
0.027000,0.000647,0.000647
0.028000,0.000000,0.000000
0.029000,0.000000,0.000000
0.030000,0.000000,0.000000
0.031000,0.000000,0.000000
0.032000,0.000647,0.000647
0.033000,0.000323,0.000323
0.034000,0.000000,0.000000
0.035000,0.000323,0.000323
0.036000,0.000000,0.000000
0.037000,0.000000,0.000000
0.038000,0.000000,0.000000
0.039000,0.000323,0.000323
0.040000,0.000000,0.000000
0.041000,0.000000,0.000000
0.042000,0.000000,0.000000
0.043000,0.000000,0.000000
0.044000,0.000000,0.000000
0.045000,0.000000,0.000000
0.046000,0.000323,0.000323
