Assistance_PedestrianNotification_SPAWN->Assistance_PedestrianNotification_START,Assistance_PedestrianNotification_SPAWN->Assistance_PedestrianNotification_START
0.025011,0.025011
0.000000,0.000000
0.027533,0.027533
0.000129,0.000129
0.003997,0.003997
0.000356,0.000356
0.057847,0.057847
0.030809,0.030809
0.015152,0.015152
0.002794,0.002794
0.000000,0.000000
0.000000,0.000000
0.018235,0.018235
0.016319,0.016319
0.000000,0.000000
0.043847,0.043847
0.040345,0.040345
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.041465,0.041465
0.000000,0.000000
0.000000,0.000000
0.038538,0.038538
0.000361,0.000361
0.000000,0.000000
0.032390,0.032390
0.000000,0.000000
0.000000,0.000000
0.028920,0.028920
0.034330,0.034330
0.000572,0.000572
0.001398,0.001398
0.029183,0.029183
0.040533,0.040533
0.000000,0.000000
0.057477,0.057477
0.000000,0.000000
0.018660,0.018660
0.014664,0.014664
0.005366,0.005366
0.023815,0.023815
0.013048,0.013048
0.004226,0.004226
0.046599,0.046599
0.000000,0.000000
0.042062,0.042062
0.057501,0.057501
0.053274,0.053274
0.004924,0.004924
0.041470,0.041470
0.000000,0.000000
0.051766,0.051766
0.000000,0.000000
0.010372,0.010372
0.000277,0.000277
0.051944,0.051944
0.003429,0.003429
0.000000,0.000000
0.000000,0.000000
0.046985,0.046985
0.016969,0.016969
0.000000,0.000000
0.015219,0.015219
0.023815,0.023815
0.062889,0.062889
0.047762,0.047762
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.003511,0.003511
0.000000,0.000000
0.037520,0.037520
0.031006,0.031006
0.000000,0.000000
0.042620,0.042620
0.000000,0.000000
0.052818,0.052818
0.028455,0.028455
0.039394,0.039394
0.002645,0.002645
0.008725,0.008725
0.000000,0.000000
0.046172,0.046172
0.027797,0.027797
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.041904,0.041904
0.024686,0.024686
0.000303,0.000303
0.031180,0.031180
0.038692,0.038692
0.031059,0.031059
0.000000,0.000000
0.000000,0.000000
0.003906,0.003906
0.027042,0.027042
0.058616,0.058616
0.000000,0.000000
0.000000,0.000000
0.019576,0.019576
0.000000,0.000000
0.002918,0.002918
0.000361,0.000361
0.026606,0.026606
0.019527,0.019527
0.005181,0.005181
0.000000,0.000000
0.000000,0.000000
0.028221,0.028221
0.028935,0.028935
0.011226,0.011226
0.000000,0.000000
0.000000,0.000000
0.053117,0.053117
0.042649,0.042649
0.073342,0.073342
0.025422,0.025422
0.005101,0.005101
0.024952,0.024952
0.048318,0.048318
0.062656,0.062656
0.000000,0.000000
0.026585,0.026585
0.010230,0.010230
0.000000,0.000000
0.020827,0.020827
0.000000,0.000000
0.000000,0.000000
0.023790,0.023790
0.078491,0.078491
0.022217,0.022217
0.000000,0.000000
0.025106,0.025106
0.040111,0.040111
0.000000,0.000000
0.000000,0.000000
0.009636,0.009636
0.066315,0.066315
0.000000,0.000000
0.018636,0.018636
0.003517,0.003517
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.050872,0.050872
0.000000,0.000000
0.006636,0.006636
0.004657,0.004657
0.001410,0.001410
0.038390,0.038390
0.045007,0.045007
0.003322,0.003322
0.011283,0.011283
0.002030,0.002030
0.000000,0.000000
0.000000,0.000000
0.099841,0.099841
0.003390,0.003390
0.021549,0.021549
0.008341,0.008341
0.108946,0.108946
0.030891,0.030891
0.002541,0.002541
0.000000,0.000000
0.003324,0.003324
0.000788,0.000788
0.000000,0.000000
0.048442,0.048442
0.011218,0.011218
0.077874,0.077874
0.061166,0.061166
