Assistance_Speeding_SPAWN->Assistance_Speeding_START,Assistance_Speeding_SPAWN->Assistance_Speeding_START
0.000000,0.000000
0.054261,0.054261
0.041981,0.041981
0.039298,0.039298
0.050338,0.050338
0.000000,0.000000
0.000000,0.000000
0.057349,0.057349
0.033768,0.033768
0.000000,0.000000
0.015837,0.015837
0.028721,0.028721
0.000000,0.000000
0.004372,0.004372
0.000000,0.000000
0.032348,0.032348
0.022936,0.022936
0.001640,0.001640
0.000000,0.000000
0.017613,0.017613
0.001418,0.001418
0.000000,0.000000
0.008209,0.008209
0.002752,0.002752
0.032022,0.032022
0.016843,0.016843
0.000000,0.000000
0.066352,0.066352
0.041171,0.041171
0.000000,0.000000
0.000000,0.000000
0.013433,0.013433
0.000000,0.000000
0.008796,0.008796
0.070521,0.070521
0.000959,0.000959
0.000000,0.000000
0.028043,0.028043
0.000000,0.000000
0.007962,0.007962
0.006797,0.006797
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.043190,0.043190
0.000000,0.000000
0.002580,0.002580
0.002248,0.002248
0.061014,0.061014
0.001359,0.001359
0.000000,0.000000
0.001169,0.001169
0.023814,0.023814
0.038914,0.038914
0.033349,0.033349
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.003663,0.003663
0.040119,0.040119
0.003317,0.003317
0.031903,0.031903
0.000000,0.000000
0.049629,0.049629
0.042029,0.042029
0.004967,0.004967
0.048102,0.048102
0.015601,0.015601
0.000000,0.000000
0.042513,0.042513
0.000000,0.000000
0.025579,0.025579
0.000000,0.000000
0.122689,0.122689
0.000000,0.000000
0.000000,0.000000
0.009487,0.009487
0.006041,0.006041
0.010160,0.010160
0.011608,0.011608
0.032270,0.032270
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.038863,0.038863
0.025289,0.025289
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.002304,0.002304
0.025333,0.025333
0.048381,0.048381
0.000000,0.000000
0.000000,0.000000
0.007741,0.007741
0.024468,0.024468
0.063079,0.063079
0.055111,0.055111
0.000000,0.000000
0.014264,0.014264
0.008324,0.008324
0.001429,0.001429
0.020091,0.020091
0.000000,0.000000
0.044883,0.044883
0.000000,0.000000
0.005540,0.005540
0.000000,0.000000
0.030435,0.030435
0.033160,0.033160
0.006970,0.006970
0.000000,0.000000
0.018188,0.018188
0.012105,0.012105
0.060629,0.060629
0.000000,0.000000
0.029922,0.029922
0.037948,0.037948
0.019367,0.019367
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
