CollisionDetection_BrakingDecision_SPAWN->CollisionDetection_BrakingDecision_START,CollisionDetection_BrakingDecision_SPAWN->CollisionDetection_BrakingDecision_START
0.000000,0.000000
0.000000,0.000000
0.010334,0.010334
0.000000,0.000000
0.010488,0.010488
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.010045,0.010045
0.011248,0.011248
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.011820,0.011820
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.010731,0.010731
0.009804,0.009804
0.000000,0.000000
0.009685,0.009685
0.010726,0.010726
0.010229,0.010229
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.010676,0.010676
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009734,0.009734
0.008548,0.008548
0.009539,0.009539
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009354,0.009354
0.008697,0.008697
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009941,0.009941
0.009851,0.009851
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009636,0.009636
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.010263,0.010263
0.009595,0.009595
0.000000,0.000000
0.010283,0.010283
0.000000,0.000000
0.010612,0.010612
0.010042,0.010042
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009755,0.009755
0.009816,0.009816
0.000000,0.000000
0.009608,0.009608
0.010490,0.010490
0.008975,0.008975
0.010910,0.010910
0.008592,0.008592
0.000000,0.000000
0.008477,0.008477
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.011401,0.011401
0.009199,0.009199
0.000000,0.000000
0.009500,0.009500
0.009650,0.009650
0.008123,0.008123
0.010543,0.010543
0.010242,0.010242
0.000000,0.000000
0.010604,0.010604
0.010020,0.010020
0.010798,0.010798
0.000000,0.000000
0.009454,0.009454
0.000000,0.000000
0.000000,0.000000
0.009807,0.009807
0.000000,0.000000
0.008201,0.008201
0.000000,0.000000
0.009438,0.009438
0.000000,0.000000
0.011072,0.011072
0.010267,0.010267
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.010533,0.010533
0.010273,0.010273
0.000000,0.000000
0.010301,0.010301
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009064,0.009064
0.000000,0.000000
0.009693,0.009693
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009116,0.009116
0.009214,0.009214
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.011006,0.011006
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009622,0.009622
0.009540,0.009540
0.000000,0.000000
0.000000,0.000000
0.010935,0.010935
0.000000,0.000000
0.009946,0.009946
0.000000,0.000000
0.000000,0.000000
0.008786,0.008786
0.010901,0.010901
0.000000,0.000000
0.009696,0.009696
0.009821,0.009821
0.000000,0.000000
0.000000,0.000000
0.010510,0.010510
0.000000,0.000000
0.010967,0.010967
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009023,0.009023
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009682,0.009682
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
