Perception_CameraPerception_SPAWN->Perception_CameraPerception_START,Perception_CameraPerception_SPAWN->Perception_CameraPerception_START
0.000000,0.000000
0.000000,0.000000
0.018035,0.018035
0.000000,0.000000
0.007441,0.007441
0.020863,0.020863
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.003006,0.003006
0.000000,0.000000
0.019889,0.019889
0.023095,0.023095
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.016492,0.016492
0.004876,0.004876
0.025221,0.025221
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.004260,0.004260
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.010475,0.010475
0.003861,0.003861
0.003690,0.003690
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.013566,0.013566
0.007810,0.007810
0.017257,0.017257
0.000000,0.000000
0.000000,0.000000
0.000700,0.000700
0.000000,0.000000
0.000000,0.000000
0.014768,0.014768
0.006513,0.006513
0.015213,0.015213
0.003312,0.003312
0.000000,0.000000
0.000000,0.000000
0.001843,0.001843
0.007401,0.007401
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.026985,0.026985
0.007579,0.007579
0.005552,0.005552
0.000000,0.000000
0.005329,0.005329
0.000000,0.000000
0.027383,0.027383
0.000000,0.000000
0.000000,0.000000
0.001175,0.001175
0.014644,0.014644
0.000000,0.000000
0.009266,0.009266
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000930,0.000930
0.000000,0.000000
0.011837,0.011837
0.002409,0.002409
0.007404,0.007404
0.002688,0.002688
0.000000,0.000000
0.000000,0.000000
0.008501,0.008501
0.003636,0.003636
0.014521,0.014521
0.000000,0.000000
0.000000,0.000000
0.014217,0.014217
0.000000,0.000000
0.000000,0.000000
0.021129,0.021129
0.000000,0.000000
0.000907,0.000907
0.014245,0.014245
0.000000,0.000000
0.000000,0.000000
0.004014,0.004014
0.014055,0.014055
0.012486,0.012486
0.002169,0.002169
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.012609,0.012609
0.001833,0.001833
0.029010,0.029010
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.003222,0.003222
0.000000,0.000000
0.010775,0.010775
0.000000,0.000000
0.000000,0.000000
0.016035,0.016035
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.012478,0.012478
0.000000,0.000000
0.000882,0.000882
0.025913,0.025913
0.012894,0.012894
0.012406,0.012406
0.000000,0.000000
0.000000,0.000000
0.009938,0.009938
0.003136,0.003136
0.006280,0.006280
0.000000,0.000000
0.007788,0.007788
0.004540,0.004540
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.004428,0.004428
0.000000,0.000000
0.007161,0.007161
0.001934,0.001934
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.006030,0.006030
0.000000,0.000000
0.009304,0.009304
0.003340,0.003340
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.006247,0.006247
0.010516,0.010516
0.000000,0.000000
0.006231,0.006231
0.009508,0.009508
0.000000,0.000000
0.000000,0.000000
0.000513,0.000513
0.010117,0.010117
0.006932,0.006932
0.000000,0.000000
0.011822,0.011822
0.007908,0.007908
0.000000,0.000000
0.016716,0.016716
0.000000,0.000000
0.017556,0.017556
0.005088,0.005088
0.011311,0.011311
0.000000,0.000000
0.015750,0.015750
0.000000,0.000000
0.003249,0.003249
0.007725,0.007725
0.000000,0.000000
0.003953,0.003953
0.000000,0.000000
0.000000,0.000000
0.003106,0.003106
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.013195,0.013195
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.011262,0.011262
0.001568,0.001568
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.025515,0.025515
0.017002,0.017002
0.012477,0.012477
0.003390,0.003390
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.008709,0.008709
0.000000,0.000000
0.000000,0.000000
0.003335,0.003335
0.019193,0.019193
0.000000,0.000000
0.012351,0.012351
0.013500,0.013500
0.000000,0.000000
0.017420,0.017420
0.002829,0.002829
0.014526,0.014526
0.000000,0.000000
0.000000,0.000000
0.001592,0.001592
0.009905,0.009905
0.010020,0.010020
0.000000,0.000000
0.000169,0.000169
0.011934,0.011934
0.005935,0.005935
0.000000,0.000000
0.012654,0.012654
0.002204,0.002204
0.000000,0.000000
0.020203,0.020203
0.016627,0.016627
0.004889,0.004889
0.000000,0.000000
0.000000,0.000000
0.006080,0.006080
0.005359,0.005359
0.021620,0.021620
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.005535,0.005535
0.000000,0.000000
0.003596,0.003596
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.004724,0.004724
0.000000,0.000000
0.001205,0.001205
0.003849,0.003849
0.005715,0.005715
0.031148,0.031148
0.010186,0.010186
0.018321,0.018321
0.000000,0.000000
0.009507,0.009507
0.015425,0.015425
0.000000,0.000000
0.022187,0.022187
0.000000,0.000000
0.000000,0.000000
0.012862,0.012862
0.009026,0.009026
0.000000,0.000000
0.004050,0.004050
0.016931,0.016931
0.000000,0.000000
0.006730,0.006730
0.012266,0.012266
0.000598,0.000598
0.007109,0.007109
0.000179,0.000179
0.000258,0.000258
0.000000,0.000000
0.015717,0.015717
0.000000,0.000000
0.005102,0.005102
0.000000,0.000000
0.011759,0.011759
0.000000,0.000000
0.007103,0.007103
0.002700,0.002700
0.000053,0.000053
0.001159,0.001159
0.000865,0.000865
0.010519,0.010519
0.006614,0.006614
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.006953,0.006953
0.000000,0.000000
0.016737,0.016737
0.000000,0.000000
0.000000,0.000000
0.003053,0.003053
0.000000,0.000000
0.000922,0.000922
0.004932,0.004932
0.000272,0.000272
