bin,total,
0.000000,0.645672,0.645672
0.001000,0.011305,0.011305
0.002000,0.015181,0.015181
0.003000,0.016150,0.016150
0.004000,0.012274,0.012274
0.005000,0.014212,0.014212
0.006000,0.010659,0.010659
0.007000,0.013243,0.013243
0.008000,0.015504,0.015504
0.009000,0.009690,0.009690
0.010000,0.016150,0.016150
0.011000,0.016473,0.016473
0.012000,0.011628,0.011628
0.013000,0.012597,0.012597
0.014000,0.010982,0.010982
0.015000,0.009367,0.009367
0.016000,0.011628,0.011628
0.017000,0.013566,0.013566
0.018000,0.007429,0.007429
0.019000,0.008398,0.008398
0.020000,0.008398,0.008398
0.021000,0.008398,0.008398
0.022000,0.006460,0.006460
0.023000,0.007752,0.007752
0.024000,0.005491,0.005491
0.025000,0.007429,0.007429
0.026000,0.008075,0.008075
0.027000,0.006137,0.006137
0.028000,0.007429,0.007429
0.029000,0.006137,0.006137
0.030000,0.004199,0.004199
0.031000,0.003876,0.003876
0.032000,0.007106,0.007106
0.033000,0.003230,0.003230
0.034000,0.005814,0.005814
0.035000,0.003876,0.003876
0.036000,0.002584,0.002584
0.037000,0.002261,0.002261
0.038000,0.001615,0.001615
0.039000,0.002584,0.002584
0.040000,0.001938,0.001938
0.041000,0.001938,0.001938
0.042000,0.001292,0.001292
0.043000,0.000646,0.000646
0.044000,0.000646,0.000646
0.045000,0.000646,0.000646
0.046000,0.000646,0.000646
0.047000,0.000000,0.000000
0.048000,0.000646,0.000646
0.049000,0.000000,0.000000
0.050000,0.000000,0.000000
0.051000,0.000000,0.000000
0.052000,0.000000,0.000000
0.053000,0.000323,0.000323
0.054000,0.000000,0.000000
0.055000,0.000000,0.000000
0.056000,0.000000,0.000000
0.057000,0.000323,0.000323
