bin,total,
0.000000,0.899483,0.899483
0.001000,0.009373,0.009373
0.002000,0.016160,0.016160
0.003000,0.009696,0.009696
0.004000,0.006787,0.006787
0.005000,0.005818,0.005818
0.006000,0.010989,0.010989
0.007000,0.010989,0.010989
0.008000,0.006787,0.006787
0.009000,0.004848,0.004848
0.010000,0.004848,0.004848
0.011000,0.002909,0.002909
0.012000,0.003878,0.003878
0.013000,0.001939,0.001939
0.014000,0.002262,0.002262
0.015000,0.000646,0.000646
0.016000,0.000970,0.000970
0.017000,0.000970,0.000970
0.018000,0.000323,0.000323
0.019000,0.000000,0.000000
0.020000,0.000000,0.000000
0.021000,0.000000,0.000000
0.022000,0.000000,0.000000
0.023000,0.000323,0.000323
