bin,total,Perception_LiDARPerception_SPAWN->Perception_LiDARPerception_START
0.000000,0.013247,0.013247
0.001000,0.013893,0.013893
0.002000,0.011955,0.011955
0.003000,0.009693,0.009693
0.004000,0.009693,0.009693
0.005000,0.010016,0.010016
0.006000,0.009370,0.009370
0.007000,0.008401,0.008401
0.008000,0.007431,0.007431
0.009000,0.006139,0.006139
0.010000,0.003877,0.003877
0.011000,0.003554,0.003554
0.012000,0.002262,0.002262
0.013000,0.001616,0.001616
0.014000,0.001939,0.001939
0.015000,0.000323,0.000323
0.016000,0.001292,0.001292
0.017000,0.000000,0.000000
0.018000,0.000323,0.000323
0.019000,0.000323,0.000323
0.020000,0.000323,0.000323
0.021000,0.000646,0.000646
0.022000,0.000323,0.000323
0.023000,0.000646,0.000646
0.024000,0.000000,0.000000
0.025000,0.000323,0.000323
