bin,total,Perception_RadarPerception_SPAWN->Perception_RadarPerception_START
0.000000,0.009370,0.009370
0.001000,0.012924,0.012924
0.002000,0.012601,0.012601
0.003000,0.010985,0.010985
0.004000,0.010016,0.010016
0.005000,0.009370,0.009370
0.006000,0.010339,0.010339
0.007000,0.011955,0.011955
0.008000,0.010662,0.010662
0.009000,0.010662,0.010662
0.010000,0.012601,0.012601
0.011000,0.013247,0.013247
0.012000,0.010662,0.010662
0.013000,0.011955,0.011955
0.014000,0.010985,0.010985
0.015000,0.008401,0.008401
0.016000,0.010985,0.010985
0.017000,0.010016,0.010016
0.018000,0.009370,0.009370
0.019000,0.009370,0.009370
0.020000,0.011632,0.011632
0.021000,0.010662,0.010662
0.022000,0.011955,0.011955
0.023000,0.010985,0.010985
0.024000,0.009370,0.009370
0.025000,0.010339,0.010339
0.026000,0.009693,0.009693
0.027000,0.008401,0.008401
0.028000,0.007108,0.007108
0.029000,0.008078,0.008078
0.030000,0.008401,0.008401
0.031000,0.010016,0.010016
0.032000,0.005493,0.005493
0.033000,0.006139,0.006139
0.034000,0.006462,0.006462
0.035000,0.002908,0.002908
0.036000,0.004847,0.004847
0.037000,0.004523,0.004523
0.038000,0.003554,0.003554
0.039000,0.006139,0.006139
0.040000,0.003231,0.003231
0.041000,0.001292,0.001292
0.042000,0.001616,0.001616
0.043000,0.001616,0.001616
0.044000,0.002262,0.002262
0.045000,0.002908,0.002908
0.046000,0.000969,0.000969
0.047000,0.002262,0.002262
0.048000,0.000969,0.000969
0.049000,0.000000,0.000000
0.050000,0.000000,0.000000
0.051000,0.000323,0.000323
0.052000,0.000646,0.000646
0.053000,0.000323,0.000323
0.054000,0.000323,0.000323
0.055000,0.000969,0.000969
0.056000,0.000000,0.000000
0.057000,0.000646,0.000646
0.058000,0.000646,0.000646
