bin,total,
0.000000,0.943726,0.943726
0.001000,0.001617,0.001617
0.002000,0.002264,0.002264
0.003000,0.001940,0.001940
0.004000,0.000970,0.000970
0.005000,0.003234,0.003234
0.006000,0.002911,0.002911
0.007000,0.004851,0.004851
0.008000,0.004528,0.004528
0.009000,0.005175,0.005175
0.010000,0.004528,0.004528
0.011000,0.004851,0.004851
0.012000,0.004204,0.004204
0.013000,0.002911,0.002911
0.014000,0.004851,0.004851
0.015000,0.003558,0.003558
0.016000,0.001617,0.001617
0.017000,0.000970,0.000970
0.018000,0.000647,0.000647
0.019000,0.000647,0.000647
