SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START,SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START
0.000000,0.000000
0.024559,0.024559
0.008692,0.008692
0.025535,0.025535
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.017666,0.017666
0.012415,0.012415
0.020656,0.020656
0.055949,0.055949
0.000000,0.000000
0.070146,0.070146
0.000000,0.000000
0.001243,0.001243
0.010257,0.010257
0.000000,0.000000
0.000000,0.000000
0.001926,0.001926
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.016887,0.016887
0.000000,0.000000
0.007314,0.007314
0.041846,0.041846
0.000000,0.000000
0.002004,0.002004
0.000000,0.000000
0.000000,0.000000
0.068931,0.068931
0.012994,0.012994
0.019746,0.019746
0.016569,0.016569
0.000000,0.000000
0.000000,0.000000
0.059161,0.059161
0.000000,0.000000
0.000000,0.000000
0.012254,0.012254
0.000000,0.000000
0.000231,0.000231
0.015010,0.015010
0.039806,0.039806
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.039005,0.039005
0.000000,0.000000
0.000000,0.000000
0.004036,0.004036
0.006087,0.006087
0.000000,0.000000
0.052443,0.052443
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.012977,0.012977
0.000000,0.000000
0.013647,0.013647
0.007804,0.007804
0.000000,0.000000
0.006570,0.006570
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.004640,0.004640
0.011970,0.011970
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.004814,0.004814
0.016586,0.016586
0.040028,0.040028
0.000000,0.000000
0.001950,0.001950
0.000000,0.000000
0.019440,0.019440
0.000000,0.000000
0.023149,0.023149
0.000000,0.000000
0.007132,0.007132
0.015535,0.015535
0.008037,0.008037
0.009749,0.009749
0.001625,0.001625
0.000000,0.000000
0.018105,0.018105
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.074614,0.074614
0.000000,0.000000
0.007710,0.007710
0.001878,0.001878
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.078800,0.078800
0.000000,0.000000
0.000185,0.000185
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.010752,0.010752
0.003812,0.003812
0.018477,0.018477
0.016561,0.016561
0.016491,0.016491
0.024500,0.024500
0.000000,0.000000
0.002628,0.002628
0.000000,0.000000
0.010584,0.010584
0.000000,0.000000
0.012935,0.012935
0.003609,0.003609
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.059544,0.059544
0.076183,0.076183
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.061324,0.061324
0.000000,0.000000
0.031632,0.031632
0.010667,0.010667
0.007655,0.007655
0.000000,0.000000
0.000000,0.000000
0.038609,0.038609
0.017579,0.017579
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.025104,0.025104
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.004612,0.004612
0.009589,0.009589
0.000000,0.000000
0.040543,0.040543
0.078400,0.078400
0.015813,0.015813
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.088862,0.088862
0.015960,0.015960
0.008883,0.008883
0.000000,0.000000
0.021290,0.021290
0.000000,0.000000
0.031196,0.031196
0.013344,0.013344
0.000000,0.000000
0.000000,0.000000
