bin,total,Braking_START->Braking_FINISH,Camera1_FINISH->Perception_CameraPerception_START,Camera1_START->Camera1_FINISH,CollisionDetection_BrakingDecision_FINISH->Braking_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,Perception_Fusion_START->Perception_Fusion_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH
0.242000,0.000593,0.000023,0.000229,0.000012,0.000000,0.000007,0.000000,0.000054,0.000049,0.000031,0.000000,0.000053,0.000000,0.000104,0.000008,0.000024
0.285000,0.000593,0.000025,0.000107,0.000011,0.000000,0.000006,0.000000,0.000063,0.000162,0.000026,0.000000,0.000051,0.000000,0.000080,0.000043,0.000019
0.300000,0.000593,0.000018,0.000118,0.000012,0.000000,0.000005,0.000000,0.000054,0.000006,0.000019,0.000000,0.000047,0.000000,0.000085,0.000210,0.000018
0.302000,0.001186,0.000039,0.000302,0.000022,0.000000,0.000019,0.000000,0.000104,0.000194,0.000033,0.000006,0.000089,0.000000,0.000195,0.000145,0.000038
0.304000,0.000593,0.000021,0.000167,0.000006,0.000000,0.000012,0.000000,0.000049,0.000149,0.000023,0.000000,0.000049,0.000000,0.000092,0.000008,0.000016
0.305000,0.000593,0.000019,0.000155,0.000017,0.000000,0.000011,0.000000,0.000053,0.000153,0.000026,0.000000,0.000055,0.000000,0.000075,0.000010,0.000018
0.309000,0.000593,0.000027,0.000133,0.000003,0.000000,0.000015,0.000000,0.000052,0.000029,0.000020,0.000007,0.000048,0.000000,0.000075,0.000164,0.000021
0.310000,0.000593,0.000021,0.000168,0.000003,0.000000,0.000002,0.000000,0.000063,0.000166,0.000019,0.000000,0.000054,0.000000,0.000074,0.000002,0.000021
0.312000,0.000593,0.000019,0.000132,0.000004,0.000000,0.000004,0.000000,0.000060,0.000033,0.000019,0.000000,0.000041,0.000000,0.000102,0.000160,0.000020
0.315000,0.001186,0.000040,0.000356,0.000026,0.000000,0.000027,0.000000,0.000098,0.000153,0.000032,0.000000,0.000077,0.000000,0.000174,0.000166,0.000038
0.316000,0.001186,0.000038,0.000392,0.000011,0.000000,0.000016,0.000000,0.000098,0.000274,0.000043,0.000000,0.000099,0.000000,0.000148,0.000032,0.000035
0.317000,0.001186,0.000040,0.000326,0.000022,0.000000,0.000013,0.000000,0.000116,0.000285,0.000042,0.000000,0.000101,0.000000,0.000202,0.000004,0.000035
0.318000,0.000593,0.000020,0.000123,0.000012,0.000000,0.000004,0.000000,0.000047,0.000029,0.000023,0.000000,0.000050,0.000000,0.000085,0.000181,0.000019
0.319000,0.001186,0.000032,0.000280,0.000020,0.000000,0.000019,0.000000,0.000099,0.000223,0.000042,0.000000,0.000088,0.000000,0.000177,0.000173,0.000034
0.320000,0.001186,0.000040,0.000430,0.000012,0.000000,0.000018,0.000000,0.000113,0.000261,0.000030,0.000000,0.000079,0.000000,0.000143,0.000027,0.000033
0.321000,0.000593,0.000014,0.000133,0.000010,0.000000,0.000005,0.000000,0.000050,0.000004,0.000020,0.000011,0.000050,0.000000,0.000107,0.000173,0.000017
0.322000,0.000593,0.000016,0.000137,0.000011,0.000000,0.000007,0.000000,0.000053,0.000021,0.000029,0.000021,0.000037,0.000000,0.000093,0.000150,0.000018
0.323000,0.001779,0.000046,0.000356,0.000015,0.000000,0.000031,0.000017,0.000191,0.000110,0.000057,0.000000,0.000123,0.000000,0.000300,0.000483,0.000051
0.324000,0.001779,0.000046,0.000462,0.000025,0.000000,0.000025,0.000000,0.000156,0.000214,0.000062,0.000000,0.000127,0.000000,0.000220,0.000386,0.000056
0.325000,0.003559,0.000097,0.000990,0.000036,0.000000,0.000053,0.000000,0.000310,0.000565,0.000113,0.000013,0.000287,0.000000,0.000534,0.000451,0.000110
