Camera1_START->CollisionAlert_FINISH,Camera1_START->Camera1_FINISH,Camera1_FINISH->Perception_CameraPerception_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_Fusion_START->Perception_Fusion_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_BrakingDecision_FINISH->CollisionAlert_START,CollisionAlert_START->CollisionAlert_FINISH,Perception_CameraPerception_START,Perception_Fusion_START,SemanticExtraction_ObjectDetection_START,SemanticExtraction_Prediction_START,CollisionDetection_TimeToCollision_START,CollisionDetection_BrakingDecision_START,CollisionAlert_START
0.390207,0.006805,0.014729,0.006444,0.088363,0.016310,0.000000,0.058082,0.005386,0.011175,0.143455,0.035729,0.000000,0.002203,0.000000,0.001526,0,1,1,1,1,1,1
0.476309,0.008310,0.068785,0.010367,0.096745,0.021659,0.000000,0.059983,0.000000,0.011456,0.153384,0.036493,0.000000,0.006601,0.000000,0.002526,0,1,2,2,2,2,2
0.471165,0.002745,0.082157,0.013480,0.098687,0.018484,0.000000,0.046612,0.015013,0.008261,0.144475,0.029529,0.000000,0.008523,0.000000,0.003199,0,1,2,2,2,2,2
0.467237,0.008198,0.088835,0.011610,0.078726,0.027556,0.000000,0.060199,0.000000,0.009818,0.146688,0.026285,0.000000,0.005460,0.000000,0.003862,0,1,2,2,2,2,2
0.464917,0.002413,0.111203,0.012156,0.072432,0.018877,0.000000,0.047438,0.002110,0.009385,0.147813,0.031589,0.000000,0.006836,0.000000,0.002665,0,1,2,2,2,2,2
0.497467,0.001801,0.104010,0.011198,0.077138,0.025534,0.000000,0.064472,0.000000,0.010328,0.152472,0.032420,0.009245,0.006793,0.000000,0.002056,0,1,2,2,2,2,2
0.485070,0.004412,0.097290,0.005835,0.092404,0.025464,0.000000,0.046629,0.008521,0.009245,0.158177,0.030032,0.000000,0.005961,0.000000,0.001100,0,1,2,2,2,2,2
0.485118,0.002976,0.098902,0.006937,0.090621,0.021543,0.000000,0.045828,0.020898,0.010544,0.149406,0.030803,0.000000,0.006171,0.000000,0.000489,1,2,2,2,2,2,2
0.453871,0.004574,0.065708,0.007702,0.092580,0.021837,0.000000,0.033742,0.026740,0.008944,0.157982,0.027191,0.000000,0.004997,0.000000,0.001874,0,1,1,2,2,2,2
0.391220,0.004372,0.101924,0.012197,0.085197,0.031347,0.000000,0.032415,0.000000,0.009659,0.075496,0.032713,0.000000,0.004332,0.000000,0.001568,1,2,2,2,1,1,1
0.452663,0.006091,0.083001,0.008684,0.067691,0.028862,0.000000,0.055160,0.005773,0.010667,0.149664,0.027562,0.000000,0.006500,0.000000,0.003008,0,1,1,2,2,2,2
0.450291,0.005471,0.070077,0.010839,0.087459,0.020424,0.000000,0.051608,0.006300,0.010001,0.147957,0.031945,0.000000,0.007081,0.000000,0.001129,0,1,1,2,2,2,2
0.511148,0.004107,0.116924,0.006660,0.090718,0.028726,0.000000,0.041276,0.000000,0.009941,0.158069,0.035989,0.010412,0.006321,0.000000,0.002005,0,2,2,2,2,2,2
0.484714,0.006674,0.067023,0.011028,0.087903,0.022017,0.000000,0.036457,0.029001,0.010412,0.166494,0.031484,0.010215,0.004258,0.000000,0.001748,0,1,2,2,2,2,2
0.460572,0.005266,0.074335,0.010313,0.092955,0.018680,0.000000,0.050055,0.017905,0.010215,0.148796,0.029095,0.000000,0.002236,0.000000,0.000721,0,1,1,2,2,2,2
0.456843,0.005902,0.069522,0.010507,0.105640,0.030198,0.000000,0.041267,0.000314,0.010074,0.152700,0.023089,0.000000,0.006356,0.000000,0.001274,0,1,2,2,2,2,2
0.450043,0.006865,0.089013,0.007585,0.076215,0.024195,0.006587,0.040744,0.004505,0.010972,0.145291,0.028963,0.000000,0.007647,0.000000,0.001461,0,1,2,2,2,2,2
0.459295,0.005247,0.081962,0.011630,0.084691,0.024822,0.015746,0.049879,0.000000,0.010618,0.138521,0.026702,0.000000,0.007194,0.000000,0.002283,0,1,2,2,2,2,2
0.452881,0.007668,0.084475,0.007737,0.086674,0.024145,0.000000,0.045130,0.002067,0.009921,0.152010,0.026577,0.000000,0.002882,0.000000,0.003595,0,1,2,2,2,2,2
0.490657,0.006812,0.080601,0.010205,0.092958,0.023819,0.015934,0.052360,0.000000,0.011469,0.151931,0.035575,0.000000,0.007391,0.000000,0.001602,0,1,2,2,2,2,2
0.380983,0.003596,0.089755,0.013712,0.088044,0.026038,0.000000,0.046403,0.000000,0.009346,0.061560,0.034396,0.000000,0.006181,0.000000,0.001952,0,1,2,2,1,1,1
0.460316,0.004470,0.096585,0.011042,0.087471,0.027891,0.000000,0.048991,0.003648,0.008865,0.131530,0.032986,0.000000,0.005332,0.000000,0.001505,0,1,2,2,2,2,2
0.381249,0.005230,0.129604,0.015771,0.049331,0.022560,0.000000,0.036017,0.000000,0.009737,0.073635,0.034073,0.000000,0.002617,0.000000,0.002674,0,2,2,2,1,1,1
0.407099,0.005991,0.137858,0.009221,0.044734,0.028172,0.000000,0.043362,0.000000,0.010328,0.079361,0.026252,0.010431,0.007459,0.000000,0.003930,0,2,2,2,1,1,1
