bin,total,Camera1_FINISH->Perception_CameraPerception_START,Camera1_START->Camera1_FINISH,CollisionAlert_START->CollisionAlert_FINISH,CollisionDetection_BrakingDecision_FINISH->CollisionAlert_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,Perception_Fusion_START->Perception_Fusion_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH
0.234000,0.000593,0.000237,0.000012,0.000002,0.000000,0.000007,0.000000,0.000056,0.000050,0.000032,0.000000,0.000055,0.000000,0.000107,0.000009,0.000025
0.277000,0.000593,0.000110,0.000012,0.000008,0.000000,0.000007,0.000000,0.000065,0.000167,0.000027,0.000000,0.000052,0.000000,0.000082,0.000044,0.000019
0.291000,0.000593,0.000122,0.000013,0.000001,0.000000,0.000006,0.000000,0.000055,0.000006,0.000019,0.000000,0.000049,0.000000,0.000088,0.000217,0.000018
0.293000,0.000593,0.000151,0.000011,0.000002,0.000000,0.000009,0.000000,0.000047,0.000022,0.000013,0.000006,0.000047,0.000000,0.000115,0.000149,0.000021
0.294000,0.000593,0.000159,0.000011,0.000004,0.000000,0.000011,0.000000,0.000060,0.000178,0.000021,0.000000,0.000044,0.000000,0.000086,0.000000,0.000019
0.295000,0.000593,0.000172,0.000007,0.000003,0.000000,0.000013,0.000000,0.000051,0.000154,0.000024,0.000000,0.000050,0.000000,0.000094,0.000008,0.000017
0.296000,0.000593,0.000139,0.000003,0.000001,0.000000,0.000016,0.000000,0.000054,0.000030,0.000020,0.000007,0.000050,0.000000,0.000079,0.000172,0.000022
0.297000,0.000593,0.000159,0.000017,0.000002,0.000000,0.000012,0.000000,0.000055,0.000157,0.000027,0.000000,0.000057,0.000000,0.000077,0.000010,0.000018
0.301000,0.000593,0.000173,0.000003,0.000004,0.000000,0.000002,0.000000,0.000065,0.000171,0.000020,0.000000,0.000056,0.000000,0.000076,0.000002,0.000022
0.305000,0.001186,0.000303,0.000014,0.000008,0.000000,0.000019,0.000000,0.000108,0.000045,0.000032,0.000000,0.000086,0.000000,0.000194,0.000335,0.000042
0.307000,0.000593,0.000198,0.000017,0.000003,0.000000,0.000014,0.000000,0.000054,0.000146,0.000020,0.000000,0.000036,0.000000,0.000090,0.000000,0.000017
0.308000,0.001186,0.000341,0.000015,0.000009,0.000000,0.000010,0.000000,0.000117,0.000304,0.000043,0.000000,0.000100,0.000000,0.000181,0.000032,0.000034
0.309000,0.001779,0.000522,0.000031,0.000012,0.000000,0.000023,0.000000,0.000152,0.000300,0.000068,0.000000,0.000157,0.000000,0.000265,0.000192,0.000057
0.311000,0.000593,0.000207,0.000007,0.000006,0.000000,0.000009,0.000000,0.000058,0.000146,0.000013,0.000000,0.000051,0.000000,0.000079,0.000000,0.000016
0.312000,0.000593,0.000235,0.000005,0.000005,0.000000,0.000010,0.000000,0.000058,0.000122,0.000017,0.000000,0.000030,0.000000,0.000067,0.000027,0.000017
0.314000,0.002372,0.000540,0.000037,0.000015,0.000000,0.000041,0.000000,0.000212,0.000318,0.000083,0.000022,0.000186,0.000000,0.000372,0.000477,0.000069
0.315000,0.000593,0.000100,0.000007,0.000002,0.000000,0.000007,0.000000,0.000063,0.000056,0.000013,0.000000,0.000039,0.000000,0.000101,0.000187,0.000017
0.316000,0.002372,0.000541,0.000032,0.000017,0.000000,0.000044,0.000000,0.000227,0.000064,0.000087,0.000024,0.000177,0.000000,0.000415,0.000677,0.000069
0.317000,0.002966,0.000748,0.000040,0.000020,0.000000,0.000038,0.000018,0.000293,0.000499,0.000085,0.000000,0.000246,0.000000,0.000484,0.000398,0.000097
0.318000,0.002372,0.000549,0.000025,0.000013,0.000000,0.000045,0.000017,0.000208,0.000241,0.000073,0.000000,0.000188,0.000000,0.000325,0.000617,0.000073
0.319000,0.001779,0.000451,0.000023,0.000016,0.000000,0.000027,0.000000,0.000155,0.000179,0.000060,0.000026,0.000132,0.000000,0.000242,0.000415,0.000054
0.320000,0.001186,0.000298,0.000017,0.000008,0.000000,0.000019,0.000000,0.000099,0.000224,0.000048,0.000000,0.000093,0.000000,0.000172,0.000173,0.000036
0.321000,0.001186,0.000315,0.000020,0.000010,0.000000,0.000023,0.000019,0.000113,0.000224,0.000024,0.000000,0.000088,0.000000,0.000169,0.000149,0.000033
