Assistance_BlindSpot_SPAWN->Assistance_BlindSpot_START,Assistance_BlindSpot_SPAWN->Assistance_BlindSpot_START
0.040293,0.040293
0.041679,0.041679
0.000000,0.000000
0.006924,0.006924
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.033595,0.033595
0.045300,0.045300
0.031098,0.031098
0.000000,0.000000
0.026385,0.026385
0.000000,0.000000
0.054543,0.054543
0.004614,0.004614
0.000000,0.000000
0.005517,0.005517
0.020541,0.020541
0.000000,0.000000
0.020158,0.020158
0.025473,0.025473
0.021420,0.021420
0.053429,0.053429
0.037518,0.037518
0.040116,0.040116
0.026533,0.026533
0.042726,0.042726
0.052833,0.052833
0.000000,0.000000
0.000000,0.000000
0.039890,0.039890
0.031098,0.031098
0.000000,0.000000
0.000000,0.000000
0.040191,0.040191
0.024820,0.024820
0.031195,0.031195
0.041030,0.041030
0.011014,0.011014
0.029222,0.029222
0.031501,0.031501
0.054711,0.054711
0.045074,0.045074
0.035428,0.035428
0.000000,0.000000
0.032684,0.032684
0.000000,0.000000
0.036128,0.036128
0.055049,0.055049
0.033686,0.033686
0.040131,0.040131
0.000000,0.000000
0.037455,0.037455
0.022752,0.022752
0.000000,0.000000
0.016991,0.016991
0.000000,0.000000
0.020959,0.020959
0.031771,0.031771
0.027162,0.027162
0.000000,0.000000
0.026319,0.026319
0.013908,0.013908
0.040932,0.040932
0.000000,0.000000
0.021371,0.021371
0.025643,0.025643
0.040804,0.040804
0.044962,0.044962
0.002895,0.002895
0.011329,0.011329
0.020867,0.020867
0.000000,0.000000
0.019511,0.019511
0.000000,0.000000
0.034772,0.034772
0.000000,0.000000
0.027590,0.027590
0.018099,0.018099
0.033396,0.033396
0.044407,0.044407
0.000000,0.000000
0.051482,0.051482
0.025273,0.025273
0.022936,0.022936
0.006476,0.006476
0.026563,0.026563
0.000000,0.000000
0.038292,0.038292
0.046222,0.046222
0.014671,0.014671
0.023420,0.023420
0.007981,0.007981
0.041153,0.041153
0.000000,0.000000
0.014685,0.014685
0.000000,0.000000
0.035139,0.035139
0.013279,0.013279
0.046813,0.046813
0.000000,0.000000
0.000000,0.000000
0.043354,0.043354
0.000000,0.000000
0.042903,0.042903
0.006208,0.006208
0.005777,0.005777
0.008262,0.008262
0.040678,0.040678
0.000000,0.000000
0.000000,0.000000
0.055103,0.055103
0.041841,0.041841
0.000000,0.000000
0.036929,0.036929
0.000000,0.000000
0.043697,0.043697
0.037738,0.037738
0.019935,0.019935
0.046179,0.046179
0.037639,0.037639
0.042004,0.042004
0.000000,0.000000
0.041174,0.041174
0.031590,0.031590
0.027865,0.027865
0.057815,0.057815
0.033641,0.033641
0.000000,0.000000
0.016489,0.016489
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.010274,0.010274
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.032212,0.032212
0.000000,0.000000
0.011965,0.011965
0.059365,0.059365
0.055790,0.055790
0.000000,0.000000
0.020282,0.020282
0.000000,0.000000
0.000000,0.000000
0.046908,0.046908
0.041173,0.041173
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.037089,0.037089
0.043848,0.043848
0.021051,0.021051
0.036688,0.036688
0.039062,0.039062
0.004201,0.004201
0.050051,0.050051
0.044282,0.044282
0.000000,0.000000
