bin,total,Assistance_BlindSpot_SPAWN->Assistance_BlindSpot_START
0.000000,0.012248,0.012248
0.001000,0.014873,0.014873
0.002000,0.014873,0.014873
0.003000,0.011374,0.011374
0.004000,0.013707,0.013707
0.005000,0.011082,0.011082
0.006000,0.011082,0.011082
0.007000,0.006999,0.006999
0.008000,0.010790,0.010790
0.009000,0.007582,0.007582
0.010000,0.011374,0.011374
0.011000,0.007874,0.007874
0.012000,0.009624,0.009624
0.013000,0.008457,0.008457
0.014000,0.009041,0.009041
0.015000,0.008749,0.008749
0.016000,0.011957,0.011957
0.017000,0.009332,0.009332
0.018000,0.011082,0.011082
0.019000,0.009332,0.009332
0.020000,0.008749,0.008749
0.021000,0.009624,0.009624
0.022000,0.009915,0.009915
0.023000,0.006707,0.006707
0.024000,0.009041,0.009041
0.025000,0.011082,0.011082
0.026000,0.010790,0.010790
0.027000,0.013123,0.013123
0.028000,0.008166,0.008166
0.029000,0.013415,0.013415
0.030000,0.010499,0.010499
0.031000,0.012248,0.012248
0.032000,0.009332,0.009332
0.033000,0.009624,0.009624
0.034000,0.013123,0.013123
0.035000,0.009332,0.009332
0.036000,0.010499,0.010499
0.037000,0.011082,0.011082
0.038000,0.010207,0.010207
0.039000,0.013415,0.013415
0.040000,0.014290,0.014290
0.041000,0.010207,0.010207
0.042000,0.010790,0.010790
0.043000,0.009041,0.009041
0.044000,0.010499,0.010499
0.045000,0.011082,0.011082
0.046000,0.007582,0.007582
0.047000,0.006999,0.006999
0.048000,0.006416,0.006416
0.049000,0.006707,0.006707
0.050000,0.007582,0.007582
0.051000,0.006416,0.006416
0.052000,0.007874,0.007874
0.053000,0.005249,0.005249
0.054000,0.004374,0.004374
0.055000,0.005833,0.005833
0.056000,0.003500,0.003500
0.057000,0.002333,0.002333
0.058000,0.003208,0.003208
0.059000,0.001750,0.001750
0.060000,0.002916,0.002916
0.061000,0.001750,0.001750
0.062000,0.003500,0.003500
0.063000,0.000875,0.000875
0.064000,0.001167,0.001167
0.065000,0.001458,0.001458
0.066000,0.000292,0.000292
0.067000,0.000875,0.000875
0.068000,0.001750,0.001750
0.071000,0.000583,0.000583
0.074000,0.000875,0.000875
0.075000,0.000292,0.000292
0.076000,0.000292,0.000292
0.077000,0.000292,0.000292
0.082000,0.000292,0.000292
0.083000,0.000292,0.000292
0.085000,0.000292,0.000292
0.090000,0.000583,0.000583
0.093000,0.000875,0.000875
0.099000,0.000292,0.000292
0.100000,0.000292,0.000292
0.103000,0.000875,0.000875
0.110000,0.000292,0.000292
0.111000,0.000292,0.000292
0.112000,0.000292,0.000292
0.113000,0.000292,0.000292
