Assistance_LaneMonitoring_SPAWN->Assistance_LaneMonitoring_START,Assistance_LaneMonitoring_SPAWN->Assistance_LaneMonitoring_START
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.012644,0.012644
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.019138,0.019138
0.000000,0.000000
0.000000,0.000000
0.009187,0.009187
0.020390,0.020390
0.009400,0.009400
0.000000,0.000000
0.000000,0.000000
0.035509,0.035509
0.046053,0.046053
0.057675,0.057675
0.005029,0.005029
0.000000,0.000000
0.044068,0.044068
0.031451,0.031451
0.047918,0.047918
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.036549,0.036549
0.052458,0.052458
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.054818,0.054818
0.035744,0.035744
0.063138,0.063138
0.033667,0.033667
0.057033,0.057033
0.051064,0.051064
0.000000,0.000000
0.069711,0.069711
0.043153,0.043153
0.000000,0.000000
0.038546,0.038546
0.000000,0.000000
0.038682,0.038682
0.076903,0.076903
0.000000,0.000000
0.045301,0.045301
0.000000,0.000000
0.042431,0.042431
0.027058,0.027058
0.000000,0.000000
0.044876,0.044876
0.000000,0.000000
0.024682,0.024682
0.035095,0.035095
0.067952,0.067952
0.000000,0.000000
0.032499,0.032499
0.020102,0.020102
0.044493,0.044493
0.000000,0.000000
0.000000,0.000000
0.029776,0.029776
0.046098,0.046098
0.060127,0.060127
0.023995,0.023995
0.033250,0.033250
0.030928,0.030928
0.000000,0.000000
0.038637,0.038637
0.000000,0.000000
0.059336,0.059336
0.000000,0.000000
0.043665,0.043665
0.024242,0.024242
0.059648,0.059648
0.049841,0.049841
0.000000,0.000000
0.055636,0.055636
0.031505,0.031505
0.041813,0.041813
0.027774,0.027774
0.041235,0.041235
0.000000,0.000000
0.004731,0.004731
0.000000,0.000000
0.018438,0.018438
0.029248,0.029248
0.012907,0.012907
0.064085,0.064085
0.000000,0.000000
0.030298,0.030298
0.000000,0.000000
0.039032,0.039032
0.019350,0.019350
0.001527,0.001527
0.000537,0.000537
0.000000,0.000000
0.064896,0.064896
0.000000,0.000000
0.000000,0.000000
0.010870,0.010870
0.012083,0.012083
0.039400,0.039400
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.042910,0.042910
0.000000,0.000000
0.000000,0.000000
0.048553,0.048553
0.024207,0.024207
0.000000,0.000000
0.055471,0.055471
0.000000,0.000000
0.000000,0.000000
0.045016,0.045016
0.035731,0.035731
0.000000,0.000000
0.000000,0.000000
0.060202,0.060202
0.000000,0.000000
0.021301,0.021301
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.024408,0.024408
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.055798,0.055798
0.000000,0.000000
0.032143,0.032143
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.051567,0.051567
0.000000,0.000000
0.002029,0.002029
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.066252,0.066252
0.036140,0.036140
0.041148,0.041148
0.000000,0.000000
0.027870,0.027870
0.000000,0.000000
0.049945,0.049945
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.001502,0.001502
0.012910,0.012910
0.045017,0.045017
0.002514,0.002514
0.000000,0.000000
0.049551,0.049551
0.033247,0.033247
0.078125,0.078125
0.043082,0.043082
0.028435,0.028435
0.046543,0.046543
0.000000,0.000000
0.059700,0.059700
0.000000,0.000000
0.055720,0.055720
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.030069,0.030069
0.055854,0.055854
0.027074,0.027074
0.039535,0.039535
0.000000,0.000000
0.001418,0.001418
0.046534,0.046534
0.028478,0.028478
0.040477,0.040477
0.052862,0.052862
0.000000,0.000000
0.000000,0.000000
0.012307,0.012307
0.038669,0.038669
0.000000,0.000000
0.058063,0.058063
0.075314,0.075314
0.000000,0.000000
0.000000,0.000000
0.041732,0.041732
0.072809,0.072809
0.018766,0.018766
0.042519,0.042519
0.001824,0.001824
0.052807,0.052807
0.000000,0.000000
0.000000,0.000000
0.052052,0.052052
0.000000,0.000000
0.000000,0.000000
0.035765,0.035765
0.000000,0.000000
0.005773,0.005773
0.006020,0.006020
0.013686,0.013686
0.031907,0.031907
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.051590,0.051590
0.034512,0.034512
0.070548,0.070548
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.051076,0.051076
0.000000,0.000000
0.058699,0.058699
0.065815,0.065815
0.058854,0.058854
0.000000,0.000000
0.059808,0.059808
0.024304,0.024304
0.043115,0.043115
0.029797,0.029797
0.000000,0.000000
0.003534,0.003534
0.031115,0.031115
0.000000,0.000000
0.000000,0.000000
0.041967,0.041967
0.000000,0.000000
0.000000,0.000000
0.039221,0.039221
0.068488,0.068488
0.000000,0.000000
0.040076,0.040076
0.024249,0.024249
0.028775,0.028775
0.068722,0.068722
0.037583,0.037583
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.046882,0.046882
0.036699,0.036699
0.000000,0.000000
0.000000,0.000000
0.041345,0.041345
0.000000,0.000000
0.048782,0.048782
0.031354,0.031354
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.028821,0.028821
0.003893,0.003893
0.040875,0.040875
0.046459,0.046459
0.044224,0.044224
0.000000,0.000000
0.000000,0.000000
0.005466,0.005466
0.000000,0.000000
0.000000,0.000000
0.035896,0.035896
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.005860,0.005860
0.026282,0.026282
0.030237,0.030237
0.000000,0.000000
0.032791,0.032791
0.000000,0.000000
0.000000,0.000000
0.033755,0.033755
0.035898,0.035898
0.068983,0.068983
0.053553,0.053553
0.000000,0.000000
0.008185,0.008185
0.018944,0.018944
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.041106,0.041106
0.000000,0.000000
0.042016,0.042016
0.000000,0.000000
0.012016,0.012016
0.040908,0.040908
0.056517,0.056517
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.040152,0.040152
0.058662,0.058662
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.035036,0.035036
0.044701,0.044701
0.001408,0.001408
