bin,total,Assistance_LaneMonitoring_SPAWN->Assistance_LaneMonitoring_START
0.000000,0.010490,0.010490
0.001000,0.011072,0.011072
0.002000,0.009324,0.009324
0.003000,0.015152,0.015152
0.004000,0.008741,0.008741
0.005000,0.009615,0.009615
0.006000,0.008159,0.008159
0.007000,0.012238,0.012238
0.008000,0.012529,0.012529
0.009000,0.007867,0.007867
0.010000,0.006702,0.006702
0.011000,0.006410,0.006410
0.012000,0.005828,0.005828
0.013000,0.005536,0.005536
0.014000,0.003788,0.003788
0.015000,0.006993,0.006993
0.016000,0.003205,0.003205
0.017000,0.008741,0.008741
0.018000,0.006410,0.006410
0.019000,0.006993,0.006993
0.020000,0.007284,0.007284
0.021000,0.007576,0.007576
0.022000,0.007576,0.007576
0.023000,0.008159,0.008159
0.024000,0.008741,0.008741
0.025000,0.007284,0.007284
0.026000,0.007576,0.007576
0.027000,0.007576,0.007576
0.028000,0.005828,0.005828
0.029000,0.009324,0.009324
0.030000,0.009033,0.009033
0.031000,0.007576,0.007576
0.032000,0.006702,0.006702
0.033000,0.010781,0.010781
0.034000,0.008741,0.008741
0.035000,0.009324,0.009324
0.036000,0.006702,0.006702
0.037000,0.008741,0.008741
0.038000,0.007284,0.007284
0.039000,0.008159,0.008159
0.040000,0.008741,0.008741
0.041000,0.008159,0.008159
0.042000,0.008741,0.008741
0.043000,0.008159,0.008159
0.044000,0.007284,0.007284
0.045000,0.008450,0.008450
0.046000,0.006410,0.006410
0.047000,0.008159,0.008159
0.048000,0.008741,0.008741
0.049000,0.006410,0.006410
0.050000,0.008159,0.008159
0.051000,0.005536,0.005536
0.052000,0.005245,0.005245
0.053000,0.004953,0.004953
0.054000,0.004953,0.004953
0.055000,0.004953,0.004953
0.056000,0.003497,0.003497
0.057000,0.004662,0.004662
0.058000,0.005245,0.005245
0.059000,0.006119,0.006119
0.060000,0.003497,0.003497
0.061000,0.002914,0.002914
0.062000,0.001748,0.001748
0.063000,0.004079,0.004079
0.064000,0.002914,0.002914
0.065000,0.002331,0.002331
0.066000,0.001748,0.001748
0.067000,0.001748,0.001748
0.068000,0.002331,0.002331
0.069000,0.001748,0.001748
0.070000,0.001166,0.001166
0.071000,0.000874,0.000874
0.072000,0.001457,0.001457
0.073000,0.000874,0.000874
0.075000,0.001166,0.001166
0.076000,0.000874,0.000874
0.077000,0.000291,0.000291
0.078000,0.000291,0.000291
0.079000,0.000291,0.000291
0.080000,0.000291,0.000291
0.081000,0.000583,0.000583
0.084000,0.000291,0.000291
0.086000,0.000291,0.000291
0.088000,0.000291,0.000291
0.089000,0.000291,0.000291
0.090000,0.000291,0.000291
0.092000,0.000583,0.000583
0.093000,0.000583,0.000583
0.095000,0.000291,0.000291
0.097000,0.000291,0.000291
0.098000,0.000291,0.000291
0.099000,0.000583,0.000583
0.104000,0.000291,0.000291
0.108000,0.000291,0.000291
0.110000,0.000291,0.000291
0.117000,0.000291,0.000291
0.127000,0.000291,0.000291
