Assistance_Navigation_SPAWN->Assistance_Navigation_START,Assistance_Navigation_SPAWN->Assistance_Navigation_START
0.002406,0.002406
0.000000,0.000000
0.004261,0.004261
0.000000,0.000000
0.007822,0.007822
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000904,0.000904
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.004222,0.004222
0.000889,0.000889
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.011203,0.011203
0.000050,0.000050
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.007624,0.007624
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.015052,0.015052
0.002124,0.002124
0.000000,0.000000
0.000623,0.000623
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.003618,0.003618
0.001784,0.001784
0.000000,0.000000
0.011499,0.011499
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.015788,0.015788
0.004339,0.004339
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000339,0.000339
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000590,0.000590
0.002474,0.002474
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.001263,0.001263
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000282,0.000282
0.000000,0.000000
0.000000,0.000000
0.000379,0.000379
0.000000,0.000000
0.000000,0.000000
0.005873,0.005873
0.000932,0.000932
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.001967,0.001967
0.000000,0.000000
0.005920,0.005920
0.000000,0.000000
0.000000,0.000000
0.008843,0.008843
0.000000,0.000000
0.014486,0.014486
0.008261,0.008261
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.001950,0.001950
0.000000,0.000000
0.004970,0.004970
0.000000,0.000000
0.000000,0.000000
0.003850,0.003850
0.000000,0.000000
0.000000,0.000000
0.000939,0.000939
0.000000,0.000000
0.004459,0.004459
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.003543,0.003543
0.011159,0.011159
0.011491,0.011491
0.000000,0.000000
0.001696,0.001696
0.003010,0.003010
0.000000,0.000000
0.000000,0.000000
0.003256,0.003256
0.005891,0.005891
0.000000,0.000000
0.022818,0.022818
0.009319,0.009319
0.000000,0.000000
0.000000,0.000000
0.000389,0.000389
0.000000,0.000000
0.001608,0.001608
0.000000,0.000000
0.005934,0.005934
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.008121,0.008121
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000109,0.000109
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.005154,0.005154
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.007090,0.007090
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.003468,0.003468
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000009,0.000009
0.004285,0.004285
0.000000,0.000000
0.015633,0.015633
0.018947,0.018947
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.010694,0.010694
0.000000,0.000000
0.001533,0.001533
0.001519,0.001519
0.000000,0.000000
0.000000,0.000000
0.004066,0.004066
0.003032,0.003032
0.000000,0.000000
0.008000,0.008000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.002630,0.002630
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.005961,0.005961
0.008620,0.008620
0.001767,0.001767
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.003961,0.003961
0.000811,0.000811
0.000000,0.000000
0.001368,0.001368
0.006908,0.006908
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.004291,0.004291
0.000000,0.000000
0.000000,0.000000
0.002821,0.002821
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
