bin,total,Assistance_Navigation_SPAWN->Assistance_Navigation_START
0.000000,0.037544,0.037544
0.001000,0.032305,0.032305
0.002000,0.027357,0.027357
0.003000,0.030559,0.030559
0.004000,0.027357,0.027357
0.005000,0.017171,0.017171
0.006000,0.012806,0.012806
0.007000,0.013097,0.013097
0.008000,0.011059,0.011059
0.009000,0.007567,0.007567
0.010000,0.008731,0.008731
0.011000,0.006403,0.006403
0.012000,0.005530,0.005530
0.013000,0.004366,0.004366
0.014000,0.003783,0.003783
0.015000,0.003492,0.003492
0.016000,0.001164,0.001164
0.017000,0.002910,0.002910
0.018000,0.001164,0.001164
0.019000,0.000582,0.000582
0.020000,0.000291,0.000291
0.021000,0.000873,0.000873
0.022000,0.000873,0.000873
0.023000,0.000873,0.000873
0.024000,0.000291,0.000291
0.025000,0.000291,0.000291
0.027000,0.000291,0.000291
0.029000,0.000291,0.000291
0.030000,0.000291,0.000291
0.031000,0.000582,0.000582
0.034000,0.000291,0.000291
0.035000,0.000291,0.000291
0.038000,0.000291,0.000291
