Assistance_PedestrianNotification_SPAWN->Assistance_PedestrianNotification_START,Assistance_PedestrianNotification_SPAWN->Assistance_PedestrianNotification_START
0.044542,0.044542
0.052562,0.052562
0.000000,0.000000
0.006278,0.006278
0.049291,0.049291
0.000000,0.000000
0.011906,0.011906
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.034234,0.034234
0.000000,0.000000
0.036534,0.036534
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.034629,0.034629
0.000000,0.000000
0.005674,0.005674
0.022452,0.022452
0.054735,0.054735
0.000000,0.000000
0.000000,0.000000
0.043842,0.043842
0.009783,0.009783
0.023114,0.023114
0.071329,0.071329
0.000000,0.000000
0.010372,0.010372
0.000000,0.000000
0.008686,0.008686
0.000000,0.000000
0.029050,0.029050
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.032250,0.032250
0.012987,0.012987
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.071057,0.071057
0.000000,0.000000
0.046155,0.046155
0.000000,0.000000
0.039450,0.039450
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.007670,0.007670
0.066175,0.066175
0.064470,0.064470
0.035723,0.035723
0.045337,0.045337
0.010450,0.010450
0.024142,0.024142
0.000254,0.000254
0.027695,0.027695
0.038352,0.038352
0.008177,0.008177
0.026422,0.026422
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.043543,0.043543
0.013530,0.013530
0.028905,0.028905
0.000000,0.000000
0.031224,0.031224
0.071799,0.071799
0.000000,0.000000
0.053365,0.053365
0.000000,0.000000
0.021202,0.021202
0.017020,0.017020
0.013525,0.013525
0.009637,0.009637
0.004892,0.004892
0.016682,0.016682
0.027148,0.027148
0.000000,0.000000
0.000000,0.000000
0.010936,0.010936
0.000000,0.000000
0.018876,0.018876
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.020888,0.020888
0.003801,0.003801
0.035642,0.035642
0.011519,0.011519
0.034430,0.034430
0.026730,0.026730
0.005532,0.005532
0.025712,0.025712
0.064180,0.064180
0.000000,0.000000
0.000000,0.000000
0.048092,0.048092
0.021707,0.021707
0.006143,0.006143
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.004729,0.004729
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.038001,0.038001
0.031927,0.031927
0.059333,0.059333
0.000000,0.000000
0.003025,0.003025
0.036592,0.036592
0.034312,0.034312
0.025975,0.025975
0.000000,0.000000
0.010787,0.010787
0.040045,0.040045
0.024930,0.024930
0.004317,0.004317
0.000000,0.000000
0.000000,0.000000
0.006206,0.006206
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.020694,0.020694
0.002602,0.002602
0.000000,0.000000
0.017160,0.017160
0.024878,0.024878
0.039967,0.039967
0.000000,0.000000
0.000000,0.000000
0.006928,0.006928
0.000000,0.000000
0.017779,0.017779
0.040257,0.040257
0.006493,0.006493
0.000000,0.000000
0.000000,0.000000
0.004473,0.004473
0.023636,0.023636
0.008947,0.008947
0.041754,0.041754
0.007431,0.007431
0.010322,0.010322
0.000000,0.000000
0.000000,0.000000
0.004264,0.004264
0.002882,0.002882
0.035119,0.035119
0.001087,0.001087
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.018026,0.018026
0.000000,0.000000
0.035862,0.035862
0.037719,0.037719
0.010652,0.010652
0.027947,0.027947
0.059555,0.059555
0.005919,0.005919
0.000000,0.000000
0.023234,0.023234
0.045542,0.045542
0.026983,0.026983
0.047111,0.047111
0.000000,0.000000
0.000000,0.000000
0.002922,0.002922
