bin,total,Assistance_PedestrianNotification_SPAWN->Assistance_PedestrianNotification_START
0.000000,0.005797,0.005797
0.001000,0.014493,0.014493
0.002000,0.014493,0.014493
0.003000,0.008696,0.008696
0.004000,0.026087,0.026087
0.005000,0.023188,0.023188
0.006000,0.017391,0.017391
0.007000,0.005797,0.005797
0.008000,0.017391,0.017391
0.009000,0.011594,0.011594
0.010000,0.023188,0.023188
0.011000,0.011594,0.011594
0.012000,0.011594,0.011594
0.013000,0.008696,0.008696
0.014000,0.002899,0.002899
0.015000,0.008696,0.008696
0.016000,0.005797,0.005797
0.017000,0.020290,0.020290
0.018000,0.008696,0.008696
0.019000,0.011594,0.011594
0.020000,0.020290,0.020290
0.021000,0.011594,0.011594
0.022000,0.002899,0.002899
0.023000,0.017391,0.017391
0.024000,0.011594,0.011594
0.025000,0.008696,0.008696
0.026000,0.011594,0.011594
0.027000,0.017391,0.017391
0.028000,0.002899,0.002899
0.029000,0.005797,0.005797
0.030000,0.005797,0.005797
0.031000,0.017391,0.017391
0.032000,0.002899,0.002899
0.033000,0.011594,0.011594
0.034000,0.011594,0.011594
0.035000,0.011594,0.011594
0.036000,0.008696,0.008696
0.037000,0.008696,0.008696
0.038000,0.008696,0.008696
0.039000,0.005797,0.005797
0.040000,0.008696,0.008696
0.041000,0.008696,0.008696
0.042000,0.002899,0.002899
0.043000,0.011594,0.011594
0.044000,0.002899,0.002899
0.045000,0.011594,0.011594
0.046000,0.005797,0.005797
0.047000,0.002899,0.002899
0.048000,0.005797,0.005797
0.049000,0.002899,0.002899
0.051000,0.008696,0.008696
0.052000,0.008696,0.008696
0.053000,0.008696,0.008696
0.054000,0.002899,0.002899
0.055000,0.002899,0.002899
0.057000,0.002899,0.002899
0.058000,0.002899,0.002899
0.059000,0.005797,0.005797
0.064000,0.008696,0.008696
0.065000,0.002899,0.002899
0.066000,0.002899,0.002899
0.067000,0.005797,0.005797
0.071000,0.008696,0.008696
0.075000,0.002899,0.002899
0.077000,0.002899,0.002899
0.079000,0.002899,0.002899
0.080000,0.002899,0.002899
0.105000,0.002899,0.002899
0.107000,0.002899,0.002899
