Assistance_Speeding_SPAWN->Assistance_Speeding_START,Assistance_Speeding_SPAWN->Assistance_Speeding_START
0.005090,0.005090
0.046132,0.046132
0.032630,0.032630
0.039849,0.039849
0.000000,0.000000
0.000000,0.000000
0.007646,0.007646
0.009091,0.009091
0.000000,0.000000
0.017018,0.017018
0.048490,0.048490
0.000000,0.000000
0.005794,0.005794
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.015599,0.015599
0.000000,0.000000
0.017254,0.017254
0.006643,0.006643
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.081630,0.081630
0.000000,0.000000
0.064392,0.064392
0.014653,0.014653
0.021369,0.021369
0.068339,0.068339
0.000000,0.000000
0.091277,0.091277
0.016410,0.016410
0.024778,0.024778
0.000000,0.000000
0.000000,0.000000
0.017098,0.017098
0.005026,0.005026
0.053513,0.053513
0.045774,0.045774
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.023269,0.023269
0.033981,0.033981
0.013183,0.013183
0.000000,0.000000
0.000000,0.000000
0.026840,0.026840
0.008564,0.008564
0.023519,0.023519
0.000000,0.000000
0.000000,0.000000
0.058385,0.058385
0.050678,0.050678
0.009314,0.009314
0.019676,0.019676
0.017154,0.017154
0.005093,0.005093
0.000000,0.000000
0.000000,0.000000
0.018344,0.018344
0.000000,0.000000
0.050944,0.050944
0.000000,0.000000
0.046125,0.046125
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.068673,0.068673
0.000000,0.000000
0.000000,0.000000
0.009517,0.009517
0.022552,0.022552
0.069843,0.069843
0.000000,0.000000
0.170361,0.170361
0.000000,0.000000
0.000000,0.000000
0.028184,0.028184
0.000000,0.000000
0.030351,0.030351
0.000000,0.000000
0.000000,0.000000
0.049443,0.049443
0.025255,0.025255
0.053592,0.053592
0.009047,0.009047
0.018576,0.018576
0.026430,0.026430
0.013970,0.013970
0.001012,0.001012
0.041781,0.041781
0.009119,0.009119
0.012158,0.012158
0.039412,0.039412
0.053081,0.053081
0.000000,0.000000
0.021380,0.021380
0.066279,0.066279
0.000000,0.000000
0.022110,0.022110
0.000000,0.000000
0.010917,0.010917
0.030253,0.030253
0.042084,0.042084
0.024894,0.024894
0.014658,0.014658
0.008567,0.008567
0.045861,0.045861
0.041710,0.041710
0.000000,0.000000
0.041525,0.041525
0.001012,0.001012
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.049262,0.049262
0.000000,0.000000
0.000000,0.000000
0.018148,0.018148
0.000000,0.000000
0.032843,0.032843
0.000000,0.000000
0.055668,0.055668
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.037390,0.037390
0.000000,0.000000
0.025681,0.025681
0.010454,0.010454
0.000000,0.000000
0.001947,0.001947
0.019439,0.019439
0.000000,0.000000
0.031322,0.031322
0.004949,0.004949
0.008431,0.008431
0.001220,0.001220
0.061563,0.061563
0.030150,0.030150
0.000000,0.000000
0.000000,0.000000
0.022123,0.022123
0.001275,0.001275
0.033347,0.033347
0.027917,0.027917
0.009822,0.009822
0.055233,0.055233
0.000711,0.000711
0.025219,0.025219
0.094620,0.094620
0.000000,0.000000
0.045667,0.045667
0.000000,0.000000
0.045413,0.045413
0.000000,0.000000
0.000000,0.000000
0.031428,0.031428
0.001286,0.001286
0.000000,0.000000
0.010870,0.010870
0.000000,0.000000
0.000000,0.000000
0.042464,0.042464
0.055255,0.055255
0.046212,0.046212
0.000000,0.000000
0.000000,0.000000
0.037095,0.037095
0.000000,0.000000
0.002586,0.002586
0.015189,0.015189
0.032370,0.032370
0.029256,0.029256
0.017726,0.017726
0.001081,0.001081
