bin,total,
0.000000,0.359124,0.359124
0.001000,0.023358,0.023358
0.002000,0.016058,0.016058
0.003000,0.016058,0.016058
0.004000,0.008759,0.008759
0.005000,0.024818,0.024818
0.006000,0.013139,0.013139
0.007000,0.011679,0.011679
0.008000,0.018978,0.018978
0.009000,0.021898,0.021898
0.010000,0.018978,0.018978
0.011000,0.008759,0.008759
0.012000,0.014599,0.014599
0.013000,0.005839,0.005839
0.014000,0.010219,0.010219
0.015000,0.010219,0.010219
0.016000,0.008759,0.008759
0.017000,0.013139,0.013139
0.018000,0.010219,0.010219
0.019000,0.008759,0.008759
0.020000,0.005839,0.005839
0.021000,0.017518,0.017518
0.022000,0.013139,0.013139
0.023000,0.010219,0.010219
0.024000,0.008759,0.008759
0.025000,0.007299,0.007299
0.026000,0.016058,0.016058
0.027000,0.011679,0.011679
0.028000,0.018978,0.018978
0.029000,0.008759,0.008759
0.030000,0.013139,0.013139
0.031000,0.005839,0.005839
0.032000,0.007299,0.007299
0.033000,0.010219,0.010219
0.034000,0.011679,0.011679
0.035000,0.014599,0.014599
0.036000,0.005839,0.005839
0.037000,0.010219,0.010219
0.038000,0.005839,0.005839
0.039000,0.013139,0.013139
0.040000,0.002920,0.002920
0.041000,0.016058,0.016058
0.042000,0.008759,0.008759
0.043000,0.007299,0.007299
0.044000,0.004380,0.004380
0.045000,0.011679,0.011679
0.046000,0.004380,0.004380
0.047000,0.004380,0.004380
0.048000,0.005839,0.005839
0.049000,0.008759,0.008759
0.050000,0.007299,0.007299
0.051000,0.002920,0.002920
0.052000,0.002920,0.002920
0.053000,0.007299,0.007299
0.054000,0.002920,0.002920
0.055000,0.008759,0.008759
0.056000,0.001460,0.001460
0.057000,0.002920,0.002920
0.058000,0.004380,0.004380
0.059000,0.001460,0.001460
0.061000,0.001460,0.001460
0.063000,0.001460,0.001460
0.064000,0.004380,0.004380
0.065000,0.001460,0.001460
0.066000,0.005839,0.005839
0.068000,0.005839,0.005839
0.069000,0.002920,0.002920
0.072000,0.001460,0.001460
0.073000,0.001460,0.001460
0.074000,0.001460,0.001460
0.076000,0.001460,0.001460
0.081000,0.002920,0.002920
0.085000,0.001460,0.001460
0.091000,0.001460,0.001460
0.094000,0.001460,0.001460
0.095000,0.001460,0.001460
0.096000,0.001460,0.001460
0.114000,0.001460,0.001460
0.125000,0.001460,0.001460
0.170000,0.001460,0.001460
