CollisionDetection_BrakingDecision_SPAWN->CollisionDetection_BrakingDecision_START,CollisionDetection_BrakingDecision_SPAWN->CollisionDetection_BrakingDecision_START
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009245,0.009245
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.010412,0.010412
0.010215,0.010215
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.010431,0.010431
0.010271,0.010271
0.000000,0.000000
0.010649,0.010649
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.011522,0.011522
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.011285,0.011285
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009005,0.009005
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.010372,0.010372
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009897,0.009897
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.011165,0.011165
0.009933,0.009933
0.000000,0.000000
0.000000,0.000000
0.009617,0.009617
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.008429,0.008429
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009632,0.009632
0.000000,0.000000
0.009693,0.009693
0.010081,0.010081
0.000000,0.000000
0.000000,0.000000
0.011114,0.011114
0.000000,0.000000
0.009303,0.009303
0.000000,0.000000
0.000000,0.000000
0.011292,0.011292
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.011038,0.011038
0.000000,0.000000
0.000000,0.000000
0.011542,0.011542
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.011791,0.011791
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.010163,0.010163
0.000000,0.000000
0.011088,0.011088
0.010151,0.010151
0.000000,0.000000
0.000000,0.000000
0.009400,0.009400
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.008995,0.008995
0.000000,0.000000
0.009793,0.009793
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009293,0.009293
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009068,0.009068
0.010948,0.010948
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.011092,0.011092
0.009899,0.009899
0.010583,0.010583
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009714,0.009714
0.010830,0.010830
0.000000,0.000000
0.000000,0.000000
0.011882,0.011882
0.011765,0.011765
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.008088,0.008088
0.010422,0.010422
0.009251,0.009251
0.000000,0.000000
0.000000,0.000000
0.010243,0.010243
0.000000,0.000000
0.009749,0.009749
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.010304,0.010304
0.000000,0.000000
0.010635,0.010635
0.000000,0.000000
0.010174,0.010174
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.010580,0.010580
0.009799,0.009799
0.011913,0.011913
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.010199,0.010199
0.000000,0.000000
0.008522,0.008522
0.009302,0.009302
0.011541,0.011541
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.011749,0.011749
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009863,0.009863
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.010547,0.010547
0.000000,0.000000
0.009065,0.009065
0.000000,0.000000
0.011198,0.011198
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.010593,0.010593
0.000000,0.000000
0.011767,0.011767
0.000000,0.000000
0.009584,0.009584
0.000000,0.000000
0.000000,0.000000
0.009420,0.009420
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009249,0.009249
0.010941,0.010941
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.011595,0.011595
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009455,0.009455
0.011002,0.011002
0.009977,0.009977
0.000000,0.000000
0.009542,0.009542
0.008442,0.008442
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009765,0.009765
0.000000,0.000000
0.010359,0.010359
