bin,total,
0.000000,0.715949,0.715949
0.001000,0.019499,0.019499
0.002000,0.025902,0.025902
0.003000,0.016880,0.016880
0.004000,0.022701,0.022701
0.005000,0.018626,0.018626
0.006000,0.020664,0.020664
0.007000,0.017462,0.017462
0.008000,0.016880,0.016880
0.009000,0.013097,0.013097
0.010000,0.007858,0.007858
0.011000,0.007858,0.007858
0.012000,0.006112,0.006112
0.013000,0.005821,0.005821
0.014000,0.004075,0.004075
0.015000,0.004948,0.004948
0.016000,0.005821,0.005821
0.017000,0.003492,0.003492
0.018000,0.004366,0.004366
0.019000,0.004366,0.004366
0.020000,0.002328,0.002328
0.021000,0.003201,0.003201
0.022000,0.002619,0.002619
0.023000,0.002619,0.002619
0.024000,0.002910,0.002910
0.025000,0.002910,0.002910
0.026000,0.004657,0.004657
0.027000,0.004366,0.004366
0.028000,0.004366,0.004366
0.029000,0.003783,0.003783
0.030000,0.002619,0.002619
0.031000,0.002328,0.002328
0.032000,0.001746,0.001746
0.033000,0.001455,0.001455
0.034000,0.001746,0.001746
0.035000,0.001455,0.001455
0.036000,0.002037,0.002037
0.037000,0.001164,0.001164
0.038000,0.001164,0.001164
0.039000,0.001164,0.001164
0.040000,0.001746,0.001746
0.041000,0.000582,0.000582
0.042000,0.000582,0.000582
0.043000,0.001164,0.001164
0.044000,0.000873,0.000873
0.045000,0.000582,0.000582
0.047000,0.000291,0.000291
0.048000,0.000582,0.000582
0.051000,0.000582,0.000582
