bin,total,
0.000000,0.902879,0.902879
0.001000,0.009014,0.009014
0.002000,0.016284,0.016284
0.003000,0.008433,0.008433
0.004000,0.007270,0.007270
0.005000,0.006688,0.006688
0.006000,0.009305,0.009305
0.007000,0.007560,0.007560
0.008000,0.005816,0.005816
0.009000,0.005816,0.005816
0.010000,0.005234,0.005234
0.011000,0.002908,0.002908
0.012000,0.003199,0.003199
0.013000,0.002035,0.002035
0.014000,0.001163,0.001163
0.015000,0.002035,0.002035
0.016000,0.001454,0.001454
0.017000,0.001163,0.001163
0.018000,0.000291,0.000291
0.019000,0.000872,0.000872
0.022000,0.000291,0.000291
0.023000,0.000291,0.000291
