bin,total,
0.000000,0.800465,0.800465
0.001000,0.022106,0.022106
0.002000,0.022978,0.022978
0.003000,0.023560,0.023560
0.004000,0.025305,0.025305
0.005000,0.024433,0.024433
0.006000,0.016289,0.016289
0.007000,0.011926,0.011926
0.008000,0.013380,0.013380
0.009000,0.011926,0.011926
0.010000,0.007853,0.007853
0.011000,0.007853,0.007853
0.012000,0.003200,0.003200
0.013000,0.003781,0.003781
0.014000,0.001745,0.001745
0.015000,0.000873,0.000873
0.016000,0.000291,0.000291
0.017000,0.000291,0.000291
0.018000,0.000291,0.000291
0.019000,0.000291,0.000291
0.020000,0.000582,0.000582
0.021000,0.000291,0.000291
0.023000,0.000291,0.000291
