Perception_RadarPerception_SPAWN->Perception_RadarPerception_START,Perception_RadarPerception_SPAWN->Perception_RadarPerception_START
0.005331,0.005331
0.004761,0.004761
0.013854,0.013854
0.000000,0.000000
0.008261,0.008261
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.005709,0.005709
0.006231,0.006231
0.003049,0.003049
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.012583,0.012583
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000006,0.000006
0.013047,0.013047
0.010238,0.010238
0.013429,0.013429
0.003015,0.003015
0.000000,0.000000
0.000280,0.000280
0.000000,0.000000
0.000120,0.000120
0.000000,0.000000
0.003630,0.003630
0.012968,0.012968
0.015476,0.015476
0.000000,0.000000
0.000000,0.000000
0.003230,0.003230
0.003207,0.003207
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.006917,0.006917
0.000000,0.000000
0.009251,0.009251
0.016216,0.016216
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.006575,0.006575
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.008765,0.008765
0.000000,0.000000
0.011615,0.011615
0.004945,0.004945
0.000308,0.000308
0.004179,0.004179
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000502,0.000502
0.001395,0.001395
0.015860,0.015860
0.008716,0.008716
0.000699,0.000699
0.000000,0.000000
0.000000,0.000000
0.012789,0.012789
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.010383,0.010383
0.004082,0.004082
0.000000,0.000000
0.014129,0.014129
0.000000,0.000000
0.006739,0.006739
0.000000,0.000000
0.003499,0.003499
0.000000,0.000000
0.009028,0.009028
0.004311,0.004311
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.002889,0.002889
0.011985,0.011985
0.022425,0.022425
0.005342,0.005342
0.000000,0.000000
0.006169,0.006169
0.001854,0.001854
0.005199,0.005199
0.000000,0.000000
0.007120,0.007120
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.016457,0.016457
0.006746,0.006746
0.000000,0.000000
0.000000,0.000000
0.009177,0.009177
0.016495,0.016495
0.012998,0.012998
0.000000,0.000000
0.012433,0.012433
0.006532,0.006532
0.000114,0.000114
0.011922,0.011922
0.000000,0.000000
0.013495,0.013495
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.007774,0.007774
0.014592,0.014592
0.000000,0.000000
0.000672,0.000672
0.004742,0.004742
0.001021,0.001021
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.004030,0.004030
0.005220,0.005220
0.000000,0.000000
0.005024,0.005024
0.001522,0.001522
0.000000,0.000000
0.010040,0.010040
0.000000,0.000000
0.008384,0.008384
0.000000,0.000000
0.000000,0.000000
0.007184,0.007184
0.000000,0.000000
0.000000,0.000000
0.018694,0.018694
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000883,0.000883
0.006420,0.006420
0.014861,0.014861
0.003170,0.003170
0.006710,0.006710
0.000000,0.000000
0.011871,0.011871
0.000000,0.000000
0.004424,0.004424
0.000000,0.000000
0.006725,0.006725
0.006970,0.006970
0.006182,0.006182
0.007347,0.007347
0.005588,0.005588
0.013804,0.013804
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.007445,0.007445
0.013724,0.013724
0.000000,0.000000
0.012886,0.012886
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.012466,0.012466
0.003480,0.003480
0.000000,0.000000
0.000000,0.000000
0.009524,0.009524
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.004170,0.004170
0.000000,0.000000
0.000000,0.000000
0.012918,0.012918
0.001870,0.001870
0.000000,0.000000
0.000000,0.000000
0.001636,0.001636
0.000000,0.000000
0.000000,0.000000
0.004798,0.004798
0.000693,0.000693
0.000000,0.000000
0.000000,0.000000
0.002753,0.002753
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.002832,0.002832
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.017658,0.017658
0.002854,0.002854
0.000000,0.000000
0.000000,0.000000
0.010853,0.010853
0.000000,0.000000
0.002226,0.002226
0.000000,0.000000
0.002576,0.002576
0.008488,0.008488
0.006188,0.006188
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.018166,0.018166
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.009286,0.009286
0.005635,0.005635
0.011101,0.011101
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000627,0.000627
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.006668,0.006668
0.000000,0.000000
0.000000,0.000000
0.010872,0.010872
0.008532,0.008532
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.011797,0.011797
0.000000,0.000000
0.015660,0.015660
0.001760,0.001760
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.012778,0.012778
0.000000,0.000000
0.000000,0.000000
0.001681,0.001681
0.000000,0.000000
0.003412,0.003412
0.000000,0.000000
0.002851,0.002851
0.005290,0.005290
0.012556,0.012556
0.000702,0.000702
0.004602,0.004602
0.005071,0.005071
0.000000,0.000000
0.012579,0.012579
0.000000,0.000000
0.000000,0.000000
0.005338,0.005338
0.010209,0.010209
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.002830,0.002830
0.003279,0.003279
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.020230,0.020230
0.000000,0.000000
0.000000,0.000000
0.007106,0.007106
0.010333,0.010333
0.000000,0.000000
0.000000,0.000000
0.000447,0.000447
0.000000,0.000000
0.000000,0.000000
0.008426,0.008426
0.000000,0.000000
0.003463,0.003463
0.000000,0.000000
0.005989,0.005989
0.001038,0.001038
0.013298,0.013298
0.000000,0.000000
0.000000,0.000000
0.012997,0.012997
0.001978,0.001978
0.000000,0.000000
0.001721,0.001721
0.000000,0.000000
0.001123,0.001123
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.008894,0.008894
0.000000,0.000000
0.000809,0.000809
0.004321,0.004321
0.000000,0.000000
0.003035,0.003035
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.002678,0.002678
0.000000,0.000000
0.010929,0.010929
0.000000,0.000000
0.006843,0.006843
0.000000,0.000000
0.000000,0.000000
0.027645,0.027645
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000141,0.000141
0.000000,0.000000
0.005535,0.005535
0.002034,0.002034
0.009109,0.009109
0.011333,0.011333
0.020083,0.020083
0.000000,0.000000
0.016880,0.016880
0.005103,0.005103
0.002455,0.002455
0.011196,0.011196
0.018564,0.018564
0.005098,0.005098
0.031190,0.031190
0.037226,0.037226
0.014428,0.014428
0.024368,0.024368
0.035235,0.035235
0.008157,0.008157
0.028212,0.028212
0.029114,0.029114
0.020443,0.020443
0.015449,0.015449
0.014071,0.014071
0.019633,0.019633
0.017397,0.017397
0.022577,0.022577
0.022418,0.022418
0.009979,0.009979
0.020704,0.020704
0.019196,0.019196
0.032620,0.032620
0.009329,0.009329
0.022071,0.022071
0.030429,0.030429
0.018315,0.018315
0.045293,0.045293
0.025926,0.025926
0.048795,0.048795
0.013777,0.013777
0.041561,0.041561
0.002841,0.002841
0.015056,0.015056
0.018924,0.018924
0.027642,0.027642
0.008532,0.008532
0.016257,0.016257
0.022731,0.022731
0.015777,0.015777
0.021385,0.021385
0.014901,0.014901
0.032933,0.032933
0.032902,0.032902
0.003068,0.003068
0.023511,0.023511
0.008446,0.008446
0.006933,0.006933
0.018946,0.018946
0.026337,0.026337
0.008524,0.008524
0.007551,0.007551
0.014850,0.014850
0.021240,0.021240
0.016612,0.016612
0.030851,0.030851
0.025381,0.025381
0.020620,0.020620
0.005563,0.005563
0.024772,0.024772
0.010602,0.010602
0.021930,0.021930
0.027462,0.027462
0.007447,0.007447
0.037036,0.037036
0.024561,0.024561
0.016571,0.016571
0.016451,0.016451
0.010544,0.010544
0.014015,0.014015
0.031138,0.031138
0.013096,0.013096
0.016095,0.016095
0.020151,0.020151
0.023744,0.023744
0.028382,0.028382
0.038815,0.038815
0.022174,0.022174
0.029133,0.029133
0.022314,0.022314
0.025615,0.025615
0.018335,0.018335
0.019415,0.019415
0.014553,0.014553
0.011297,0.011297
0.020605,0.020605
0.016800,0.016800
0.036586,0.036586
0.003769,0.003769
0.043918,0.043918
0.015215,0.015215
0.009105,0.009105
0.030950,0.030950
0.026234,0.026234
0.009847,0.009847
0.026915,0.026915
0.001315,0.001315
0.029414,0.029414
0.007997,0.007997
0.020209,0.020209
0.012090,0.012090
0.019337,0.019337
0.002948,0.002948
0.009907,0.009907
0.022400,0.022400
0.031478,0.031478
0.018198,0.018198
0.023511,0.023511
0.012943,0.012943
0.030433,0.030433
0.007995,0.007995
0.029145,0.029145
0.029368,0.029368
0.033276,0.033276
0.022196,0.022196
0.017657,0.017657
0.000387,0.000387
0.024934,0.024934
0.020709,0.020709
0.015105,0.015105
0.000000,0.000000
0.010496,0.010496
0.035149,0.035149
0.005519,0.005519
0.014869,0.014869
0.019331,0.019331
0.018015,0.018015
0.008836,0.008836
0.011407,0.011407
0.039363,0.039363
0.022358,0.022358
0.000000,0.000000
0.022016,0.022016
0.006125,0.006125
0.025708,0.025708
0.018779,0.018779
0.001826,0.001826
0.010850,0.010850
0.017251,0.017251
0.011029,0.011029
0.018576,0.018576
0.043406,0.043406
0.025251,0.025251
0.003544,0.003544
0.015261,0.015261
0.012339,0.012339
0.034327,0.034327
0.007688,0.007688
0.032353,0.032353
0.024777,0.024777
0.008689,0.008689
0.005140,0.005140
0.035186,0.035186
0.006336,0.006336
0.042681,0.042681
0.004278,0.004278
0.010804,0.010804
0.015623,0.015623
0.019595,0.019595
0.011921,0.011921
0.029217,0.029217
0.021840,0.021840
0.000000,0.000000
0.015438,0.015438
0.029275,0.029275
0.032903,0.032903
0.024991,0.024991
0.006783,0.006783
0.026666,0.026666
0.031916,0.031916
0.018827,0.018827
0.006152,0.006152
0.027312,0.027312
0.012891,0.012891
0.015973,0.015973
0.015234,0.015234
0.027764,0.027764
0.045141,0.045141
0.029544,0.029544
0.029779,0.029779
0.016959,0.016959
0.015706,0.015706
0.025663,0.025663
0.014214,0.014214
0.006956,0.006956
0.029115,0.029115
0.006244,0.006244
0.019880,0.019880
0.032506,0.032506
0.022964,0.022964
0.017500,0.017500
0.000000,0.000000
0.018811,0.018811
0.027123,0.027123
0.013580,0.013580
0.015116,0.015116
0.042593,0.042593
0.022697,0.022697
0.021124,0.021124
0.052591,0.052591
0.004188,0.004188
0.013154,0.013154
0.036296,0.036296
0.014691,0.014691
0.022185,0.022185
0.007401,0.007401
0.022208,0.022208
0.013244,0.013244
0.018128,0.018128
0.015527,0.015527
0.020449,0.020449
0.021014,0.021014
0.029055,0.029055
0.033182,0.033182
0.037624,0.037624
0.002142,0.002142
0.007104,0.007104
0.001030,0.001030
0.019316,0.019316
0.009223,0.009223
0.014038,0.014038
0.027957,0.027957
0.035360,0.035360
0.001746,0.001746
0.021351,0.021351
0.029439,0.029439
0.008575,0.008575
0.011418,0.011418
0.019715,0.019715
0.027560,0.027560
0.036185,0.036185
0.033950,0.033950
0.032039,0.032039
0.013150,0.013150
0.030246,0.030246
0.010010,0.010010
0.019060,0.019060
0.004993,0.004993
0.008823,0.008823
0.013308,0.013308
0.022306,0.022306
0.032085,0.032085
0.006659,0.006659
0.020309,0.020309
0.025924,0.025924
0.019343,0.019343
0.021744,0.021744
0.022051,0.022051
0.027342,0.027342
0.012783,0.012783
0.027030,0.027030
0.018415,0.018415
0.002435,0.002435
0.016390,0.016390
0.017395,0.017395
0.021403,0.021403
0.013595,0.013595
0.028407,0.028407
0.031484,0.031484
0.009838,0.009838
0.005143,0.005143
0.024782,0.024782
0.022786,0.022786
0.019591,0.019591
0.022624,0.022624
0.007403,0.007403
