bin,total,
0.000000,0.618314,0.618314
0.001000,0.015698,0.015698
0.002000,0.015698,0.015698
0.003000,0.015698,0.015698
0.004000,0.022965,0.022965
0.005000,0.016570,0.016570
0.006000,0.020640,0.020640
0.007000,0.015407,0.015407
0.008000,0.019186,0.019186
0.009000,0.015116,0.015116
0.010000,0.011919,0.011919
0.011000,0.010465,0.010465
0.012000,0.016570,0.016570
0.013000,0.010756,0.010756
0.014000,0.009302,0.009302
0.015000,0.013081,0.013081
0.016000,0.009012,0.009012
0.017000,0.008140,0.008140
0.018000,0.012209,0.012209
0.019000,0.011337,0.011337
0.020000,0.008721,0.008721
0.021000,0.008721,0.008721
0.022000,0.010465,0.010465
0.023000,0.005523,0.005523
0.024000,0.007849,0.007849
0.025000,0.004651,0.004651
0.026000,0.007558,0.007558
0.027000,0.007267,0.007267
0.028000,0.006105,0.006105
0.029000,0.009012,0.009012
0.030000,0.004360,0.004360
0.031000,0.003198,0.003198
0.032000,0.003779,0.003779
0.033000,0.003198,0.003198
0.034000,0.004070,0.004070
0.035000,0.002907,0.002907
0.036000,0.002326,0.002326
0.037000,0.001453,0.001453
0.038000,0.002326,0.002326
0.039000,0.000872,0.000872
0.040000,0.001163,0.001163
0.041000,0.000872,0.000872
0.042000,0.000872,0.000872
0.043000,0.001744,0.001744
0.044000,0.000581,0.000581
0.045000,0.000581,0.000581
0.046000,0.000291,0.000291
0.047000,0.000581,0.000581
0.048000,0.000291,0.000291
0.050000,0.000291,0.000291
0.052000,0.000291,0.000291
