bin,total,
0.000000,0.913246,0.913246
0.001000,0.000582,0.000582
0.002000,0.003202,0.003202
0.003000,0.003493,0.003493
0.004000,0.003202,0.003202
0.005000,0.005531,0.005531
0.006000,0.006987,0.006987
0.007000,0.006405,0.006405
0.008000,0.007569,0.007569
0.009000,0.006405,0.006405
0.010000,0.008151,0.008151
0.011000,0.007860,0.007860
0.012000,0.006114,0.006114
0.013000,0.004658,0.004658
0.014000,0.003785,0.003785
0.015000,0.003493,0.003493
0.016000,0.003785,0.003785
0.017000,0.002329,0.002329
0.018000,0.002038,0.002038
0.019000,0.001164,0.001164
