SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START,SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START
0.056078,0.056078
0.000000,0.000000
0.000000,0.000000
0.047070,0.047070
0.039668,0.039668
0.059338,0.059338
0.057081,0.057081
0.000000,0.000000
0.050215,0.050215
0.039684,0.039684
0.071231,0.071231
0.057353,0.057353
0.000000,0.000000
0.026756,0.026756
0.045645,0.045645
0.000000,0.000000
0.004219,0.004219
0.023033,0.023033
0.027214,0.027214
0.020385,0.020385
0.019760,0.019760
0.000000,0.000000
0.000559,0.000559
0.015712,0.015712
0.046285,0.046285
0.026182,0.026182
0.078815,0.078815
0.041093,0.041093
0.000920,0.000920
0.004603,0.004603
0.075151,0.075151
0.060357,0.060357
0.039701,0.039701
0.000000,0.000000
0.046201,0.046201
0.015048,0.015048
0.037126,0.037126
0.061866,0.061866
0.003655,0.003655
0.030235,0.030235
0.077238,0.077238
0.024438,0.024438
0.000000,0.000000
0.032323,0.032323
0.077513,0.077513
0.088248,0.088248
0.079923,0.079923
0.072427,0.072427
0.001507,0.001507
0.074388,0.074388
0.044935,0.044935
0.000000,0.000000
0.000000,0.000000
0.045941,0.045941
0.041835,0.041835
0.022523,0.022523
0.041675,0.041675
0.046236,0.046236
0.027959,0.027959
0.000000,0.000000
0.037651,0.037651
0.001807,0.001807
0.024893,0.024893
0.026751,0.026751
0.056544,0.056544
0.028080,0.028080
0.082588,0.082588
0.034776,0.034776
0.042489,0.042489
0.017487,0.017487
0.019799,0.019799
0.050280,0.050280
0.044889,0.044889
0.000000,0.000000
0.038262,0.038262
0.026300,0.026300
0.060693,0.060693
0.000000,0.000000
0.041784,0.041784
0.012157,0.012157
0.000000,0.000000
0.000000,0.000000
0.026764,0.026764
0.064178,0.064178
0.001420,0.001420
0.012764,0.012764
0.000000,0.000000
0.040983,0.040983
0.063414,0.063414
0.039837,0.039837
0.010933,0.010933
0.008072,0.008072
0.007208,0.007208
0.000000,0.000000
0.009685,0.009685
0.000000,0.000000
0.036217,0.036217
0.041241,0.041241
0.053578,0.053578
0.035665,0.035665
0.060537,0.060537
0.004802,0.004802
0.054762,0.054762
0.027778,0.027778
0.062246,0.062246
0.072704,0.072704
0.006158,0.006158
0.034386,0.034386
0.053665,0.053665
0.029602,0.029602
0.000000,0.000000
0.001532,0.001532
0.001454,0.001454
0.000000,0.000000
0.000000,0.000000
0.007243,0.007243
0.063131,0.063131
0.009531,0.009531
0.000000,0.000000
0.032401,0.032401
0.042332,0.042332
0.066999,0.066999
0.025077,0.025077
0.008462,0.008462
0.025116,0.025116
0.022248,0.022248
0.056690,0.056690
0.047214,0.047214
0.013757,0.013757
0.044100,0.044100
0.014433,0.014433
0.003425,0.003425
0.036686,0.036686
0.013953,0.013953
0.006226,0.006226
0.059383,0.059383
0.000000,0.000000
0.048343,0.048343
0.000000,0.000000
0.067170,0.067170
0.075915,0.075915
0.010387,0.010387
0.048073,0.048073
0.048837,0.048837
0.040906,0.040906
0.040074,0.040074
0.073284,0.073284
0.008169,0.008169
0.025377,0.025377
0.000000,0.000000
0.081046,0.081046
0.068984,0.068984
0.019229,0.019229
0.055540,0.055540
0.018770,0.018770
0.046370,0.046370
0.024116,0.024116
0.076154,0.076154
0.100011,0.100011
0.066864,0.066864
0.029712,0.029712
0.015813,0.015813
0.039231,0.039231
0.010478,0.010478
0.071797,0.071797
0.006256,0.006256
0.045174,0.045174
0.000000,0.000000
0.081589,0.081589
0.077031,0.077031
0.055432,0.055432
0.063253,0.063253
0.060759,0.060759
0.040685,0.040685
0.002029,0.002029
0.014885,0.014885
0.057132,0.057132
0.012239,0.012239
0.074573,0.074573
0.057580,0.057580
0.014245,0.014245
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.043772,0.043772
0.011882,0.011882
0.000000,0.000000
0.019500,0.019500
0.052666,0.052666
0.071192,0.071192
0.000433,0.000433
0.036055,0.036055
0.000000,0.000000
0.004097,0.004097
0.006951,0.006951
0.000376,0.000376
0.042702,0.042702
0.029345,0.029345
0.026379,0.026379
0.023266,0.023266
0.000000,0.000000
0.071708,0.071708
0.055759,0.055759
0.048678,0.048678
0.010207,0.010207
0.023493,0.023493
0.061972,0.061972
0.024803,0.024803
0.000000,0.000000
0.000000,0.000000
0.044284,0.044284
0.008252,0.008252
0.049181,0.049181
0.003967,0.003967
0.020776,0.020776
0.036911,0.036911
0.070408,0.070408
0.010963,0.010963
0.008957,0.008957
0.000000,0.000000
0.000000,0.000000
0.011323,0.011323
0.074803,0.074803
0.000000,0.000000
0.020345,0.020345
0.021481,0.021481
0.012734,0.012734
0.004409,0.004409
0.056524,0.056524
0.019409,0.019409
0.054082,0.054082
0.067482,0.067482
0.057885,0.057885
0.000201,0.000201
0.000000,0.000000
0.042253,0.042253
0.003609,0.003609
0.000000,0.000000
0.048709,0.048709
0.017921,0.017921
0.020709,0.020709
0.009369,0.009369
0.039286,0.039286
0.000000,0.000000
0.054284,0.054284
0.069353,0.069353
0.052561,0.052561
0.035398,0.035398
0.021243,0.021243
0.020204,0.020204
0.000091,0.000091
0.043668,0.043668
0.000000,0.000000
0.000000,0.000000
0.009290,0.009290
0.078484,0.078484
0.014106,0.014106
0.016329,0.016329
0.053386,0.053386
0.000000,0.000000
0.071231,0.071231
0.003288,0.003288
0.000000,0.000000
0.006640,0.006640
0.010501,0.010501
0.096505,0.096505
0.003834,0.003834
0.054268,0.054268
0.035086,0.035086
0.033235,0.033235
0.002157,0.002157
0.059038,0.059038
0.012440,0.012440
0.085948,0.085948
0.009204,0.009204
0.068455,0.068455
0.012822,0.012822
0.013403,0.013403
0.027210,0.027210
0.050556,0.050556
0.009948,0.009948
0.057764,0.057764
0.007248,0.007248
0.017051,0.017051
0.018017,0.018017
0.053720,0.053720
0.000000,0.000000
0.007038,0.007038
0.041397,0.041397
0.019869,0.019869
0.054004,0.054004
0.000000,0.000000
0.041504,0.041504
0.000216,0.000216
0.010827,0.010827
0.000000,0.000000
0.000000,0.000000
0.036977,0.036977
0.000000,0.000000
0.016796,0.016796
0.062531,0.062531
0.000000,0.000000
0.002259,0.002259
0.067449,0.067449
0.054505,0.054505
0.050959,0.050959
0.000000,0.000000
0.045080,0.045080
0.023951,0.023951
0.000000,0.000000
0.007692,0.007692
0.043114,0.043114
0.000726,0.000726
0.048960,0.048960
0.029669,0.029669
0.071719,0.071719
0.055291,0.055291
0.032569,0.032569
0.021430,0.021430
0.063079,0.063079
0.000000,0.000000
0.018917,0.018917
0.049887,0.049887
0.039893,0.039893
0.032260,0.032260
0.000000,0.000000
0.054146,0.054146
0.045268,0.045268
0.055595,0.055595
0.045403,0.045403
0.000000,0.000000
0.044561,0.044561
0.000000,0.000000
0.056061,0.056061
0.000840,0.000840
0.000000,0.000000
0.010098,0.010098
0.055917,0.055917
0.000000,0.000000
0.050820,0.050820
0.015723,0.015723
0.032698,0.032698
0.040754,0.040754
0.042405,0.042405
0.006351,0.006351
0.035836,0.035836
0.009074,0.009074
0.037108,0.037108
0.029264,0.029264
0.020451,0.020451
0.037360,0.037360
0.049406,0.049406
0.014826,0.014826
0.021759,0.021759
0.079167,0.079167
0.041914,0.041914
