bin,total,
0.000000,0.221899,0.221899
0.001000,0.012813,0.012813
0.002000,0.011066,0.011066
0.003000,0.012231,0.012231
0.004000,0.017472,0.017472
0.005000,0.008154,0.008154
0.006000,0.012813,0.012813
0.007000,0.015725,0.015725
0.008000,0.014560,0.014560
0.009000,0.018055,0.018055
0.010000,0.020384,0.020384
0.011000,0.009901,0.009901
0.012000,0.018637,0.018637
0.013000,0.013395,0.013395
0.014000,0.011648,0.011648
0.015000,0.009901,0.009901
0.016000,0.012813,0.012813
0.017000,0.013978,0.013978
0.018000,0.015143,0.015143
0.019000,0.016308,0.016308
0.020000,0.015725,0.015725
0.021000,0.016308,0.016308
0.022000,0.012813,0.012813
0.023000,0.012231,0.012231
0.024000,0.010483,0.010483
0.025000,0.010483,0.010483
0.026000,0.009319,0.009319
0.027000,0.013978,0.013978
0.028000,0.010483,0.010483
0.029000,0.016890,0.016890
0.030000,0.008154,0.008154
0.031000,0.009319,0.009319
0.032000,0.006989,0.006989
0.033000,0.010483,0.010483
0.034000,0.011648,0.011648
0.035000,0.008154,0.008154
0.036000,0.011648,0.011648
0.037000,0.011648,0.011648
0.038000,0.007571,0.007571
0.039000,0.009319,0.009319
0.040000,0.010483,0.010483
0.041000,0.011648,0.011648
0.042000,0.007571,0.007571
0.043000,0.009901,0.009901
0.044000,0.007571,0.007571
0.045000,0.010483,0.010483
0.046000,0.010483,0.010483
0.047000,0.011066,0.011066
0.048000,0.006989,0.006989
0.049000,0.009901,0.009901
0.050000,0.008154,0.008154
0.051000,0.005824,0.005824
0.052000,0.004659,0.004659
0.053000,0.006407,0.006407
0.054000,0.015725,0.015725
0.055000,0.010483,0.010483
0.056000,0.008154,0.008154
0.057000,0.005824,0.005824
0.058000,0.006989,0.006989
0.059000,0.007571,0.007571
0.060000,0.004659,0.004659
0.061000,0.005824,0.005824
0.062000,0.006407,0.006407
0.063000,0.007571,0.007571
0.064000,0.002330,0.002330
0.065000,0.006407,0.006407
0.066000,0.005824,0.005824
0.067000,0.008736,0.008736
0.068000,0.006407,0.006407
0.069000,0.004659,0.004659
0.070000,0.002912,0.002912
0.071000,0.007571,0.007571
0.072000,0.003494,0.003494
0.073000,0.001747,0.001747
0.074000,0.003494,0.003494
0.075000,0.005824,0.005824
0.076000,0.002912,0.002912
0.077000,0.005824,0.005824
0.078000,0.002330,0.002330
0.079000,0.002330,0.002330
0.080000,0.002912,0.002912
0.081000,0.001747,0.001747
0.082000,0.001165,0.001165
0.084000,0.000582,0.000582
0.085000,0.000582,0.000582
0.086000,0.000582,0.000582
0.087000,0.001747,0.001747
0.088000,0.001165,0.001165
0.089000,0.000582,0.000582
0.091000,0.000582,0.000582
0.092000,0.000582,0.000582
0.094000,0.000582,0.000582
0.096000,0.001165,0.001165
0.100000,0.000582,0.000582
0.105000,0.000582,0.000582
0.106000,0.000582,0.000582
0.115000,0.000582,0.000582
