name,release,start,finish,deadline
GPS,GPS_SPAWN,GPS_START,GPS_FINISH,GPS_FINISH
Inertial,Inertial_SPAWN,Inertial_START,Inertial_FINISH,Inertial_FINISH
SteeringWheelPosition,SteeringWheelPosition_SPAWN,SteeringWheelPosition_START,SteeringWheelPosition_FINISH,SteeringWheelPosition_FINISH
BrakePedalPosition,BrakePedalPosition_SPAWN,BrakePedalPosition_START,BrakePedalPosition_FINISH,BrakePedalPosition_FINISH
AccelerationPedalPosition,AccelerationPedalPosition_SPAWN,AccelerationPedalPosition_START,AccelerationPedalPosition_FINISH,AccelerationPedalPosition_FINISH
Camera1,Camera1_SPAWN,Camera1_START,Camera1_FINISH,Camera1_FINISH
Camera2,Camera2_SPAWN,Camera2_START,Camera2_FINISH,Camera2_FINISH
Camera3,Camera3_SPAWN,Camera3_START,Camera3_FINISH,Camera3_FINISH
Camera4,Camera4_SPAWN,Camera4_START,Camera4_FINISH,Camera4_FINISH
Camera5,Camera5_SPAWN,Camera5_START,Camera5_FINISH,Camera5_FINISH
Camera6,Camera6_SPAWN,Camera6_START,Camera6_FINISH,Camera6_FINISH
Camera7,Camera7_SPAWN,Camera7_START,Camera7_FINISH,Camera7_FINISH
LiDAR,LiDAR_SPAWN,LiDAR_START,LiDAR_FINISH,LiDAR_FINISH
Radar,Radar_SPAWN,Radar_START,Radar_FINISH,Radar_FINISH
Wheel1Speed,Wheel1Speed_SPAWN,Wheel1Speed_START,Wheel1Speed_FINISH,Wheel1Speed_FINISH
Wheel2Speed,Wheel2Speed_SPAWN,Wheel2Speed_START,Wheel2Speed_FINISH,Wheel2Speed_FINISH
Wheel3Speed,Wheel3Speed_SPAWN,Wheel3Speed_START,Wheel3Speed_FINISH,Wheel3Speed_FINISH
Wheel4Speed,Wheel4Speed_SPAWN,Wheel4Speed_START,Wheel4Speed_FINISH,Wheel4Speed_FINISH
Braking,Braking_SPAWN,Braking_START,Braking_FINISH,Braking_FINISH
CollisionAlert,CollisionAlert_SPAWN,CollisionAlert_START,CollisionAlert_FINISH,CollisionAlert_FINISH
PassingVehicleIndicator,PassingVehicleIndicator_SPAWN,PassingVehicleIndicator_START,PassingVehicleIndicator_FINISH,PassingVehicleIndicator_FINISH
NavigationHint,NavigationHint_SPAWN,NavigationHint_START,NavigationHint_FINISH,NavigationHint_FINISH
SpeedingAlert,SpeedingAlert_SPAWN,SpeedingAlert_START,SpeedingAlert_FINISH,SpeedingAlert_FINISH
LaneDepartureAlert,LaneDepartureAlert_SPAWN,LaneDepartureAlert_START,LaneDepartureAlert_FINISH,LaneDepartureAlert_FINISH
AwarenessAlert,AwarenessAlert_SPAWN,AwarenessAlert_START,AwarenessAlert_FINISH,AwarenessAlert_FINISH
Fusion_Positioning,Fusion_Positioning_SPAWN,Fusion_Positioning_START,Fusion_Positioning_FINISH,Fusion_Positioning_FINISH
Fusion_Speed,Fusion_Speed_SPAWN,Fusion_Speed_START,Fusion_Speed_FINISH,Fusion_Speed_FINISH
Perception_CameraPerception,Perception_CameraPerception_SPAWN,Perception_CameraPerception_START,Perception_CameraPerception_FINISH,Perception_CameraPerception_FINISH
Perception_LiDARPerception,Perception_LiDARPerception_SPAWN,Perception_LiDARPerception_START,Perception_LiDARPerception_FINISH,Perception_LiDARPerception_FINISH
Perception_RadarPerception,Perception_RadarPerception_SPAWN,Perception_RadarPerception_START,Perception_RadarPerception_FINISH,Perception_RadarPerception_FINISH
Perception_Fusion,Perception_Fusion_SPAWN,Perception_Fusion_START,Perception_Fusion_FINISH,Perception_Fusion_FINISH
SemanticExtraction_ObjectDetection,SemanticExtraction_ObjectDetection_SPAWN,SemanticExtraction_ObjectDetection_START,SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_ObjectDetection_FINISH
SemanticExtraction_Prediction,SemanticExtraction_Prediction_SPAWN,SemanticExtraction_Prediction_START,SemanticExtraction_Prediction_FINISH,SemanticExtraction_Prediction_FINISH
SemanticExtraction_SignInterpretation,SemanticExtraction_SignInterpretation_SPAWN,SemanticExtraction_SignInterpretation_START,SemanticExtraction_SignInterpretation_FINISH,SemanticExtraction_SignInterpretation_FINISH
CollisionDetection_TimeToCollision,CollisionDetection_TimeToCollision_SPAWN,CollisionDetection_TimeToCollision_START,CollisionDetection_TimeToCollision_FINISH,CollisionDetection_TimeToCollision_FINISH
CollisionDetection_BrakingDecision,CollisionDetection_BrakingDecision_SPAWN,CollisionDetection_BrakingDecision_START,CollisionDetection_BrakingDecision_FINISH,CollisionDetection_BrakingDecision_FINISH
Assistance_BlindSpot,Assistance_BlindSpot_SPAWN,Assistance_BlindSpot_START,Assistance_BlindSpot_FINISH,Assistance_BlindSpot_FINISH
Assistance_Navigation,Assistance_Navigation_SPAWN,Assistance_Navigation_START,Assistance_Navigation_FINISH,Assistance_Navigation_FINISH
Assistance_Speeding,Assistance_Speeding_SPAWN,Assistance_Speeding_START,Assistance_Speeding_FINISH,Assistance_Speeding_FINISH
Assistance_LaneMonitoring,Assistance_LaneMonitoring_SPAWN,Assistance_LaneMonitoring_START,Assistance_LaneMonitoring_FINISH,Assistance_LaneMonitoring_FINISH
Assistance_PedestrianNotification,Assistance_PedestrianNotification_SPAWN,Assistance_PedestrianNotification_START,Assistance_PedestrianNotification_FINISH,Assistance_PedestrianNotification_FINISH
