start1->finish3,start1->finish1,finish1->start2,start2->finish2,finish2->start3,start3->finish3,start3
0.027999,0.000000,0.000000,0.000000,0.015785,0.012214,0
0.040782,0.000000,0.009826,0.008826,0.022130,0.000000,1
0.027105,0.006857,0.015343,0.000000,0.004905,0.000000,1
0.044080,0.005518,0.014342,0.001000,0.000000,0.023220,2
0.045483,0.009437,0.001000,0.018006,0.015809,0.001231,3
0.016810,0.000000,0.000000,0.008414,0.000000,0.008396,1
0.028576,0.000000,0.008396,0.004843,0.003808,0.011529,2
0.027555,0.000000,0.008000,0.014771,0.002954,0.001830,2
0.038805,0.002455,0.002388,0.017167,0.000000,0.016795,2
0.046641,0.006196,0.032845,0.000000,0.000000,0.007600,4
0.086755,0.000000,0.031870,0.035055,0.000000,0.019830,8
0.086987,0.000000,0.050148,0.010939,0.006313,0.019587,7
0.076326,0.000000,0.050205,0.008908,0.010679,0.006534,7
0.028813,0.000000,0.010679,0.005120,0.001414,0.011600,1
0.029957,0.000000,0.010929,0.007014,0.000000,0.012014,2
0.089102,0.000000,0.018134,0.033027,0.000000,0.037941,7
0.105410,0.000000,0.023293,0.034699,0.010549,0.036869,7
0.104302,0.000000,0.058216,0.000000,0.000000,0.046086,6
0.102257,0.000000,0.060689,0.001753,0.013486,0.026329,6
0.096296,0.000000,0.072919,0.000000,0.000000,0.023377,6
0.110016,0.009123,0.058015,0.028775,0.000000,0.014103,9
0.126079,0.002380,0.077046,0.018639,0.005107,0.022907,10
0.135118,0.016872,0.064710,0.034920,0.018616,0.000000,11
0.153444,0.027444,0.035794,0.068508,0.000000,0.021698,10
0.174017,0.000000,0.047759,0.099843,0.000000,0.026415,11
0.190349,0.000000,0.072160,0.076633,0.007095,0.034461,12
0.188209,0.004536,0.064607,0.082452,0.000000,0.036614,11
0.183451,0.000000,0.065184,0.081307,0.018215,0.018745,10
0.180076,0.002232,0.059192,0.104555,0.003591,0.010506,11
0.189914,0.002875,0.078015,0.096954,0.009418,0.002652,12
0.209752,0.000000,0.082332,0.081800,0.012103,0.033517,12
0.207896,0.011071,0.082452,0.072569,0.004324,0.037480,13
0.194501,0.007737,0.082578,0.061855,0.000000,0.042331,11
0.195279,0.009930,0.076518,0.062068,0.038897,0.007866,11
0.157605,0.026572,0.065659,0.065374,0.000000,0.000000,9
0.147124,0.011948,0.068196,0.061569,0.000000,0.005411,10
0.144377,0.010388,0.079153,0.049226,0.000000,0.005610,10
0.146164,0.010506,0.081732,0.045738,0.000000,0.008188,11
0.155303,0.027882,0.074152,0.037333,0.000000,0.015936,11
0.179262,0.029983,0.076479,0.026408,0.000000,0.046392,12
0.174390,0.033287,0.041492,0.034658,0.008688,0.056265,10
0.163870,0.015015,0.045199,0.036901,0.002243,0.064512,11
0.153253,0.029655,0.065314,0.004201,0.000000,0.054083,12
0.163178,0.034211,0.067999,0.000000,0.000000,0.060968,13
0.160730,0.043963,0.051769,0.007215,0.015275,0.042508,13
0.144742,0.055543,0.043691,0.000000,0.000000,0.045508,11
0.155253,0.061781,0.044448,0.000000,0.000000,0.049024,12
0.157659,0.065199,0.046645,0.000000,0.000000,0.045815,12
