start1->finish3,start1->finish1,finish1->start2,start2->finish2,finish2->start3,start3->finish3,start3
0.721760,0.000000,0.000000,0.450778,0.225540,0.045442,4
0.670477,0.000000,0.185770,0.453457,0.031250,0.000000,3
0.635962,0.000000,0.320414,0.310465,0.000000,0.005083,4
0.749502,0.000000,0.456736,0.123853,0.000000,0.168913,4
0.931935,0.000000,0.453457,0.134373,0.167006,0.177099,5
0.804239,0.096167,0.206202,0.438995,0.000000,0.062875,5
0.804278,0.166719,0.324484,0.218565,0.000000,0.094510,7
0.663282,0.008233,0.501870,0.011093,0.085113,0.056973,7
0.682743,0.285001,0.241384,0.128664,0.027694,0.000000,7
0.383982,0.083041,0.300941,0.000000,0.000000,0.000000,5
0.403219,0.000000,0.380157,0.000000,0.000000,0.023062,7
0.764992,0.000000,0.398692,0.231063,0.029164,0.106073,10
0.810359,0.156358,0.376417,0.134019,0.143565,0.000000,9
0.777570,0.104503,0.479616,0.193451,0.000000,0.000000,10
0.756895,0.193431,0.481235,0.082229,0.000000,0.000000,10
0.671016,0.000000,0.541591,0.129425,0.000000,0.000000,9
0.725610,0.000000,0.541433,0.140712,0.000000,0.043465,9
0.937145,0.000000,0.568741,0.125399,0.000000,0.243005,11
0.896286,0.000000,0.590043,0.085519,0.013752,0.206972,11
0.842385,0.012125,0.534719,0.152060,0.000000,0.143481,11
0.866233,0.175955,0.342169,0.230436,0.000000,0.117673,12
1.153705,0.188618,0.436607,0.143481,0.150799,0.234200,13
1.126806,0.129425,0.372147,0.239672,0.000000,0.385562,12
1.022046,0.016000,0.506946,0.119062,0.000000,0.380038,10
1.325805,0.043465,0.582543,0.115138,0.000000,0.584659,11
1.417594,0.017141,0.655758,0.067180,0.107486,0.570029,11
1.410386,0.068378,0.762046,0.090351,0.083448,0.406163,11
1.555468,0.000000,0.863310,0.200193,0.119566,0.372399,12
1.683949,0.000000,0.852163,0.300298,0.095932,0.435556,12
1.768783,0.065137,0.784955,0.264753,0.000000,0.653938,10
1.723233,0.000000,0.731787,0.459471,0.000000,0.531975,12
1.731204,0.000000,0.769308,0.460000,0.000000,0.501896,12
1.757833,0.090356,0.744695,0.435556,0.000000,0.487226,12
1.937109,0.024782,0.744270,0.556014,0.083500,0.528543,13
1.848850,0.160216,0.540237,0.854835,0.000000,0.293562,13
1.779263,0.010224,0.627309,0.798931,0.000000,0.342799,13
