start1->finish3,start1->finish1,finish1->start2,start2->finish2,finish2->start3,start3->finish3,start3
1.595001,0.000000,0.000000,1.595001,0.000000,0.000000,1
1.244989,0.000000,1.027012,0.217977,0.000000,0.000000,1
4.147555,0.000000,1.651096,0.874230,0.480112,1.142117,2
3.747279,1.354342,0.289752,1.239890,0.518514,0.344781,2
5.888605,3.569607,0.000000,0.905038,0.514806,0.899154,3
4.612046,1.419844,1.200912,1.660112,0.331178,0.000000,2
2.430753,1.245009,1.048039,0.137705,0.000000,0.000000,2
4.243920,0.000000,0.137705,0.698831,2.066934,1.340450,2
7.101936,1.667396,1.320898,0.167988,0.251102,3.694552,2
6.363668,1.089348,0.251102,0.800698,0.000000,4.222520,3
5.301156,1.051800,0.000000,0.653868,2.239986,1.355502,2
7.408943,2.893854,1.355502,0.000000,0.000000,3.159587,4
6.395504,0.523857,1.212895,0.000000,0.000000,4.658752,4
7.137670,0.647715,1.484749,1.144783,0.000000,3.860423,4
10.160325,0.000000,2.162302,2.005332,0.000000,5.992691,5
10.327182,1.076663,1.144783,2.437306,3.699873,1.968557,5
8.976023,1.449916,1.605512,3.421820,0.000000,2.498775,3
13.241316,1.747493,1.423117,7.702539,0.000000,2.368167,6
12.614310,0.118116,4.817170,6.851700,0.827324,0.000000,9
12.855662,1.420450,5.334772,4.141933,0.000000,1.958507,12
11.877889,0.000000,5.334801,4.391704,2.151384,0.000000,11
8.691575,1.516899,2.076898,3.067820,1.309452,0.720506,7
7.589054,1.331402,1.861848,3.466655,0.000000,0.929149,6
7.442854,1.917958,1.268815,3.871849,0.000000,0.384232,6
6.880710,2.269913,0.330141,3.013198,0.541588,0.725870,4
8.175831,3.466655,1.313381,1.839315,0.000000,1.556480,6
9.751693,4.068420,0.925820,2.058836,0.000000,2.698617,7
10.854803,4.072345,0.854790,1.808179,0.000000,4.119489,8
11.502759,4.729326,1.332966,0.360498,0.933656,4.146313,9
5.365273,0.434873,1.009077,0.574602,0.000000,3.346721,1
5.629057,0.000000,0.574602,1.204682,0.686933,3.162840,2
5.401821,0.000000,0.000000,1.793639,0.690115,2.918067,2
8.064954,0.000000,0.686933,1.703498,0.045400,5.629123,4
9.690528,0.000000,0.000000,2.126275,0.000000,7.564253,6
10.273359,0.000000,0.000000,2.624492,0.857286,6.791581,7
11.764961,0.000000,2.338685,2.326091,0.000000,7.100185,8
13.678843,0.000000,4.186476,0.678540,0.000000,8.813827,8
15.317666,0.000000,3.639981,1.015224,0.000000,10.662461,8
18.109813,0.000000,4.445609,3.182082,0.582332,9.899790,9
17.817535,2.147345,4.644236,0.474288,0.730808,9.820858,8
16.377627,0.000000,5.680064,0.363765,0.998613,9.335185,5
19.926575,0.000000,5.379174,4.171340,0.000000,10.376061,7
19.021137,2.623643,1.823308,4.603583,1.453781,8.516822,7
21.388338,1.862302,2.772040,5.387988,2.391638,8.974370,7
19.066937,0.790065,3.813518,5.521667,0.869796,8.071891,6
17.248515,0.000000,4.464725,5.019914,0.000000,7.763876,6
15.841842,1.453781,1.171140,4.867357,2.242992,6.106572,4
16.720376,1.600867,1.675836,6.041443,1.796420,5.605810,5
13.760776,0.000000,3.226410,4.077234,0.794021,5.663111,5
15.829667,1.100815,2.478325,4.492751,0.573760,7.184016,6
15.795430,1.474839,1.317092,6.686827,0.000000,6.316672,6
17.116274,2.242992,3.884062,5.506389,0.000000,5.482831,8
17.752037,2.620109,4.565152,5.013573,0.000000,5.553203,10
16.646701,2.648420,3.222819,5.190514,0.000000,5.584948,10
18.312299,3.554163,3.753501,4.293046,0.000000,6.711589,12
16.471460,3.222819,2.381315,3.997973,1.155922,5.713431,12
12.561454,0.000000,1.917726,4.370361,0.000000,6.273367,9
13.097734,1.224518,0.981669,3.576196,0.000000,7.315351,9
12.959270,2.036654,0.223000,4.131873,0.000000,6.567743,9
12.962015,0.509741,1.526571,3.548636,0.134200,7.242867,8
12.034836,0.000000,1.315912,2.436986,0.000000,8.281938,6
13.880044,0.000000,1.943068,4.348843,0.000000,7.588133,7
13.908364,0.000000,2.008752,4.362037,0.771833,6.765742,7
13.427238,0.070080,2.703498,3.546435,2.587885,4.519340,7
10.025430,0.000000,2.289980,3.705960,0.000000,4.029490,5
10.186401,0.000000,4.432547,1.765022,0.000000,3.988832,5
9.568371,0.000000,4.692136,1.096556,0.000000,3.779679,6
11.089916,2.270075,2.665122,1.340006,0.000000,4.814713,7
9.787073,1.417517,2.127978,1.491262,0.946035,3.804281,8
10.958776,4.069202,0.127932,0.000000,0.000000,6.761642,7
12.662934,3.463534,0.525298,0.909847,1.256040,6.508215,8
11.104634,4.300501,0.000000,0.043815,0.000000,6.760318,5
10.951286,3.894198,0.406000,0.000000,0.970922,5.680166,6
12.368930,4.524453,0.000000,1.926061,3.412167,2.506249,9
8.423959,2.449285,1.834122,0.295918,0.000000,3.844634,2
10.886096,2.504947,1.203138,1.916940,0.000000,5.261071,3
11.580433,3.022667,0.592688,2.698437,0.000000,5.266641,5
11.721385,3.961966,0.000000,3.853850,0.000000,3.905569,7
11.061347,3.413469,0.784876,2.439853,0.000000,4.423149,8
10.708355,3.291125,1.137341,1.582772,0.000000,4.697117,9
15.672289,3.844634,1.590426,1.742951,0.554344,7.939934,10
18.023497,3.853850,2.935141,0.244567,0.000000,10.989939,11
17.375781,4.967680,0.869591,1.810607,2.412398,7.315505,12
15.892803,3.272389,2.251756,2.140656,0.000000,8.228002,9
15.114092,2.125854,1.707085,2.264653,0.000000,9.016500,8
16.136239,2.249971,2.003355,2.554910,0.846772,8.481231,9
16.499395,2.150589,2.967684,3.320101,0.066628,7.994393,8
17.345631,2.003355,3.401682,2.666911,0.912587,8.361096,9
17.660409,1.814827,2.823582,3.677232,2.215262,7.129506,11
17.858032,3.397212,0.118643,5.327303,0.228399,8.786475,8
17.040601,2.484937,3.823059,0.217592,0.000000,10.515013,7
20.199923,1.005757,5.416286,0.843490,0.000000,12.934390,6
19.741348,1.372812,5.236671,0.000000,0.000000,13.131865,6
19.635330,2.022011,4.846817,0.057019,3.254027,9.455456,6
17.120994,3.608493,2.770763,1.678129,2.903619,6.159990,6
