bin,total,start3=0,start3=1,start3=2,start3=3,start3=4,start3=5,start3=6,start3=7
0.000000,0.229121,0.034751,0.154842,0.034249,0.004807,0.000408,0.000063,0.000000,0.000000
0.001000,0.017250,0.002451,0.009992,0.003865,0.000848,0.000094,0.000000,0.000000,0.000000
0.002000,0.014045,0.001917,0.008766,0.002891,0.000440,0.000031,0.000000,0.000000,0.000000
0.003000,0.012128,0.001728,0.007824,0.002011,0.000503,0.000031,0.000000,0.000031,0.000000
0.004000,0.013668,0.002137,0.008892,0.002105,0.000534,0.000000,0.000000,0.000000,0.000000
0.005000,0.012443,0.001540,0.007918,0.002199,0.000660,0.000126,0.000000,0.000000,0.000000
0.006000,0.011092,0.001602,0.006347,0.002577,0.000471,0.000063,0.000031,0.000000,0.000000
0.007000,0.011814,0.001477,0.006944,0.002639,0.000723,0.000031,0.000000,0.000000,0.000000
0.008000,0.013134,0.001320,0.007478,0.003456,0.000786,0.000094,0.000000,0.000000,0.000000
0.009000,0.012663,0.001571,0.007572,0.002859,0.000566,0.000031,0.000063,0.000000,0.000000
0.010000,0.017250,0.001351,0.010337,0.004556,0.000943,0.000031,0.000031,0.000000,0.000000
0.011000,0.015113,0.001194,0.008484,0.004556,0.000754,0.000126,0.000000,0.000000,0.000000
0.012000,0.016653,0.001320,0.008735,0.005279,0.001163,0.000094,0.000063,0.000000,0.000000
0.013000,0.014893,0.001037,0.008232,0.004556,0.001037,0.000031,0.000000,0.000000,0.000000
0.014000,0.015490,0.001288,0.008515,0.004525,0.001037,0.000094,0.000031,0.000000,0.000000
0.015000,0.016904,0.000974,0.008861,0.006033,0.000880,0.000126,0.000031,0.000000,0.000000
0.016000,0.017187,0.001068,0.008766,0.006096,0.001037,0.000220,0.000000,0.000000,0.000000
0.017000,0.017250,0.000786,0.007792,0.006850,0.001257,0.000503,0.000063,0.000000,0.000000
0.018000,0.018601,0.000660,0.008075,0.008138,0.001634,0.000094,0.000000,0.000000,0.000000
0.019000,0.017344,0.000786,0.007164,0.007478,0.001760,0.000126,0.000031,0.000000,0.000000
0.020000,0.016339,0.000408,0.006378,0.007415,0.001822,0.000251,0.000063,0.000000,0.000000
0.021000,0.013919,0.000408,0.005122,0.006567,0.001445,0.000314,0.000063,0.000000,0.000000
0.022000,0.012631,0.000314,0.004902,0.006190,0.001068,0.000157,0.000000,0.000000,0.000000
0.023000,0.011280,0.000314,0.004179,0.005373,0.001131,0.000251,0.000031,0.000000,0.000000
0.024000,0.011437,0.000251,0.004933,0.005561,0.000597,0.000094,0.000000,0.000000,0.000000
0.025000,0.012254,0.000314,0.004525,0.006347,0.000848,0.000220,0.000000,0.000000,0.000000
0.026000,0.011783,0.000189,0.003771,0.006630,0.000974,0.000220,0.000000,0.000000,0.000000
0.027000,0.011720,0.000189,0.004116,0.006033,0.001288,0.000094,0.000000,0.000000,0.000000
0.028000,0.015396,0.000157,0.004367,0.008892,0.001760,0.000220,0.000000,0.000000,0.000000
0.029000,0.015365,0.000157,0.005027,0.008075,0.001822,0.000251,0.000031,0.000000,0.000000
0.030000,0.018444,0.000220,0.005467,0.010337,0.002105,0.000314,0.000000,0.000000,0.000000
0.031000,0.014422,0.000189,0.005059,0.007415,0.001414,0.000346,0.000000,0.000000,0.000000
0.032000,0.015522,0.000314,0.005750,0.007887,0.001351,0.000126,0.000094,0.000000,0.000000
