bin,total,start3=0,start3=1,start3=2,start3=3,start3=4,start3=5,start3=6,start3=7
0.010000,0.159555,0.010997,0.076981,0.054515,0.013762,0.002702,0.000566,0.000031,0.000000
0.011000,0.105763,0.007227,0.049928,0.035851,0.010652,0.001697,0.000408,0.000000,0.000000
0.012000,0.096776,0.007101,0.042858,0.034406,0.009929,0.002231,0.000189,0.000031,0.000031
0.013000,0.083422,0.006284,0.037831,0.028153,0.009143,0.001791,0.000189,0.000031,0.000000
0.014000,0.078552,0.006096,0.034029,0.027588,0.008829,0.001822,0.000157,0.000031,0.000000
0.015000,0.080657,0.006881,0.033589,0.029221,0.008892,0.001854,0.000126,0.000063,0.000031
0.016000,0.078835,0.005750,0.033432,0.029536,0.008264,0.001540,0.000283,0.000031,0.000000
0.017000,0.083234,0.005499,0.034751,0.030730,0.009772,0.002231,0.000220,0.000031,0.000000
0.018000,0.087758,0.006378,0.038365,0.030258,0.010275,0.002011,0.000408,0.000063,0.000000
0.019000,0.095268,0.005593,0.043926,0.032960,0.010149,0.002231,0.000283,0.000126,0.000000
0.020000,0.050179,0.000000,0.015176,0.024068,0.008515,0.001948,0.000408,0.000063,0.000000
