bin,total,start3=0,start3=1,start3=2,start3=3,start3=4,start3=5,start3=6,start3=7,start3=8
0.000000,0.232402,0.038098,0.155797,0.033619,0.004510,0.000315,0.000063,0.000000,0.000000,0.000000
0.001000,0.016747,0.002744,0.009493,0.003785,0.000631,0.000095,0.000000,0.000000,0.000000,0.000000
0.002000,0.014192,0.001955,0.009051,0.002744,0.000378,0.000063,0.000000,0.000000,0.000000,0.000000
0.003000,0.013624,0.002145,0.008168,0.002870,0.000378,0.000063,0.000000,0.000000,0.000000,0.000000
0.004000,0.013057,0.001955,0.007758,0.002523,0.000662,0.000095,0.000063,0.000000,0.000000,0.000000
0.005000,0.012268,0.001514,0.007411,0.002870,0.000347,0.000126,0.000000,0.000000,0.000000,0.000000
0.006000,0.012237,0.001640,0.007506,0.002460,0.000599,0.000000,0.000032,0.000000,0.000000,0.000000
0.007000,0.013687,0.001829,0.007948,0.003311,0.000505,0.000063,0.000032,0.000000,0.000000,0.000000
0.008000,0.013687,0.001672,0.007632,0.003343,0.000883,0.000158,0.000000,0.000000,0.000000,0.000000
0.009000,0.012111,0.001009,0.007601,0.002807,0.000568,0.000095,0.000032,0.000000,0.000000,0.000000
0.010000,0.014980,0.001293,0.008515,0.004352,0.000757,0.000063,0.000000,0.000000,0.000000,0.000000
0.011000,0.015990,0.001325,0.009556,0.004131,0.000978,0.000000,0.000000,0.000000,0.000000,0.000000
0.012000,0.016021,0.001262,0.009020,0.004541,0.001072,0.000126,0.000000,0.000000,0.000000,0.000000
0.013000,0.015233,0.000852,0.008641,0.004541,0.000915,0.000221,0.000000,0.000063,0.000000,0.000000
0.014000,0.016084,0.001009,0.008831,0.004951,0.001135,0.000126,0.000032,0.000000,0.000000,0.000000
0.015000,0.016210,0.001072,0.008988,0.004888,0.000915,0.000284,0.000063,0.000000,0.000000,0.000000
0.016000,0.016368,0.001104,0.008168,0.005708,0.001262,0.000126,0.000000,0.000000,0.000000,0.000000
0.017000,0.016368,0.000568,0.007884,0.006213,0.001419,0.000284,0.000000,0.000000,0.000000,0.000000
0.018000,0.016242,0.000694,0.006181,0.007474,0.001577,0.000252,0.000063,0.000000,0.000000,0.000000
0.019000,0.017661,0.000599,0.007758,0.007254,0.001703,0.000284,0.000063,0.000000,0.000000,0.000000
0.020000,0.016683,0.000252,0.006308,0.008042,0.001608,0.000442,0.000032,0.000000,0.000000,0.000000
0.021000,0.013940,0.000473,0.006244,0.005834,0.001230,0.000158,0.000000,0.000000,0.000000,0.000000
0.022000,0.012710,0.000378,0.004857,0.006181,0.001104,0.000189,0.000000,0.000000,0.000000,0.000000
0.023000,0.011227,0.000252,0.004573,0.005267,0.000978,0.000158,0.000000,0.000000,0.000000,0.000000
0.024000,0.010786,0.000221,0.003974,0.005488,0.000946,0.000126,0.000000,0.000000,0.000032,0.000000
0.025000,0.011385,0.000158,0.003627,0.006623,0.000820,0.000158,0.000000,0.000000,0.000000,0.000000
0.026000,0.011259,0.000189,0.003974,0.005929,0.001041,0.000126,0.000000,0.000000,0.000000,0.000000
0.027000,0.012678,0.000126,0.004447,0.006434,0.001482,0.000189,0.000000,0.000000,0.000000,0.000000
0.028000,0.015359,0.000126,0.004983,0.008200,0.001892,0.000158,0.000000,0.000000,0.000000,0.000000
0.029000,0.014602,0.000126,0.004636,0.008042,0.001545,0.000252,0.000000,0.000000,0.000000,0.000000
