bin,total,start3=0,start3=1,start3=2,start3=3,start3=4,start3=5,start3=6,start3=8
0.000000,0.226987,0.036517,0.153133,0.032607,0.004036,0.000694,0.000000,0.000000,0.000000
0.001000,0.016083,0.002397,0.009524,0.003374,0.000725,0.000063,0.000000,0.000000,0.000000
0.002000,0.013497,0.002081,0.008168,0.002838,0.000378,0.000032,0.000000,0.000000,0.000000
0.003000,0.013749,0.002018,0.008798,0.002680,0.000252,0.000000,0.000000,0.000000,0.000000
0.004000,0.012803,0.001514,0.008231,0.002649,0.000315,0.000095,0.000000,0.000000,0.000000
0.005000,0.012299,0.001577,0.007884,0.002460,0.000315,0.000032,0.000032,0.000000,0.000000
0.006000,0.011857,0.001734,0.007285,0.002334,0.000410,0.000095,0.000000,0.000000,0.000000
0.007000,0.012393,0.001545,0.007442,0.002712,0.000631,0.000063,0.000000,0.000000,0.000000
0.008000,0.014065,0.001293,0.008294,0.003658,0.000725,0.000095,0.000000,0.000000,0.000000
0.009000,0.012488,0.001545,0.007442,0.002964,0.000473,0.000063,0.000000,0.000000,0.000000
0.010000,0.017723,0.001545,0.010375,0.004226,0.001388,0.000189,0.000000,0.000000,0.000000
0.011000,0.016903,0.001671,0.008924,0.005329,0.000820,0.000158,0.000000,0.000000,0.000000
0.012000,0.016177,0.001482,0.008861,0.004825,0.000851,0.000158,0.000000,0.000000,0.000000
0.013000,0.015862,0.000946,0.008546,0.005109,0.001009,0.000189,0.000063,0.000000,0.000000
0.014000,0.015957,0.001072,0.008704,0.004762,0.001167,0.000252,0.000000,0.000000,0.000000
0.015000,0.016114,0.001104,0.007915,0.005519,0.001388,0.000126,0.000063,0.000000,0.000000
0.016000,0.016934,0.001041,0.008294,0.005865,0.001451,0.000252,0.000032,0.000000,0.000000
0.017000,0.016587,0.000946,0.007348,0.006717,0.001419,0.000126,0.000032,0.000000,0.000000
0.018000,0.018353,0.000820,0.007821,0.007411,0.002050,0.000221,0.000032,0.000000,0.000000
0.019000,0.018448,0.000568,0.007600,0.008325,0.001640,0.000252,0.000032,0.000032,0.000000
0.020000,0.016966,0.000536,0.006181,0.008073,0.001955,0.000158,0.000063,0.000000,0.000000
0.021000,0.014128,0.000441,0.005519,0.006843,0.001072,0.000252,0.000000,0.000000,0.000000
0.022000,0.013024,0.000347,0.005109,0.006496,0.000915,0.000126,0.000032,0.000000,0.000000
0.023000,0.012772,0.000126,0.005550,0.005834,0.001072,0.000189,0.000000,0.000000,0.000000
0.024000,0.012519,0.000221,0.004636,0.005992,0.001482,0.000189,0.000000,0.000000,0.000000
0.025000,0.011416,0.000189,0.004068,0.006086,0.000851,0.000189,0.000032,0.000000,0.000000
0.026000,0.010880,0.000063,0.003469,0.005802,0.001198,0.000284,0.000063,0.000000,0.000000
0.027000,0.012551,0.000095,0.004005,0.006812,0.001451,0.000189,0.000000,0.000000,0.000000
0.028000,0.014916,0.000126,0.005140,0.008104,0.001356,0.000126,0.000063,0.000000,0.000000
0.029000,0.014601,0.000158,0.005077,0.007442,0.001577,0.000347,0.000000,0.000000,0.000000
0.030000,0.017596,0.000063,0.004415,0.011132,0.001892,0.000095,0.000000,0.000000,0.000000
0.031000,0.014727,0.000221,0.005235,0.007978,0.001104,0.000158,0.000032,0.000000,0.000000
0.032000,0.014443,0.000284,0.005140,0.007663,0.001230,0.000095,0.000032,0.000000,0.000000
0.033000,0.015200,0.000284,0.005676,0.007884,0.001167,0.000095,0.000095,0.000000,0.000000
0.034000,0.014601,0.000252,0.004509,0.008325,0.001230,0.000252,0.000032,0.000000,0.000000
0.035000,0.014380,0.000158,0.005109,0.007758,0.001198,0.000158,0.000000,0.000000,0.000000
0.036000,0.013245,0.000126,0.004226,0.007694,0.001041,0.000126,0.000032,0.000000,0.000000
0.037000,0.012362,0.000252,0.004257,0.006654,0.001041,0.000158,0.000000,0.000000,0.000000
0.038000,0.011353,0.000252,0.003406,0.006402,0.001104,0.000126,0.000063,0.000000,0.000000
0.039000,0.011952,0.000095,0.003374,0.006969,0.001293,0.000189,0.000032,0.000000,0.000000
0.040000,0.006212,0.000063,0.002428,0.003122,0.000473,0.000063,0.000063,0.000000,0.000000
0.041000,0.005582,0.000032,0.001703,0.003027,0.000725,0.000063,0.000032,0.000000,0.000000
0.042000,0.004320,0.000032,0.000851,0.002807,0.000599,0.000000,0.000032,0.000000,0.000000
0.043000,0.004068,0.000000,0.001198,0.002207,0.000473,0.000189,0.000000,0.000000,0.000000
0.044000,0.004131,0.000000,0.001104,0.002271,0.000568,0.000189,0.000000,0.000000,0.000000
0.045000,0.004856,0.000032,0.001198,0.002964,0.000473,0.000158,0.000032,0.000000,0.000000
0.046000,0.005014,0.000063,0.001356,0.002554,0.000820,0.000189,0.000032,0.000000,0.000000
0.047000,0.004730,0.000063,0.001261,0.002838,0.000473,0.000063,0.000032,0.000000,0.000000
0.048000,0.005645,0.000095,0.001419,0.003406,0.000599,0.000126,0.000000,0.000000,0.000000
0.049000,0.004919,0.000000,0.001293,0.002901,0.000599,0.000126,0.000000,0.000000,0.000000
0.050000,0.005487,0.000221,0.001324,0.003280,0.000599,0.000063,0.000000,0.000000,0.000000
0.051000,0.004825,0.000063,0.001135,0.002996,0.000441,0.000158,0.000000,0.000032,0.000000
0.052000,0.004793,0.000000,0.000978,0.003217,0.000536,0.000063,0.000000,0.000000,0.000000
0.053000,0.004289,0.000000,0.001009,0.002775,0.000410,0.000095,0.000000,0.000000,0.000000
0.054000,0.003311,0.000032,0.000757,0.002050,0.000284,0.000126,0.000032,0.000032,0.000000
0.055000,0.003563,0.000032,0.000978,0.001987,0.000473,0.000063,0.000032,0.000000,0.000000
0.056000,0.002649,0.000032,0.000410,0.001671,0.000378,0.000158,0.000000,0.000000,0.000000
0.057000,0.003248,0.000032,0.000725,0.002018,0.000441,0.000032,0.000000,0.000000,0.000000
0.058000,0.003185,0.000000,0.000441,0.001861,0.000757,0.000126,0.000000,0.000000,0.000000
0.059000,0.003816,0.000063,0.000662,0.002302,0.000568,0.000158,0.000063,0.000000,0.000000
0.060000,0.003090,0.000000,0.000347,0.001955,0.000631,0.000126,0.000032,0.000000,0.000000
0.061000,0.003027,0.000032,0.000505,0.001545,0.000820,0.000126,0.000000,0.000000,0.000000
0.062000,0.002554,0.000000,0.000378,0.001419,0.000662,0.000095,0.000000,0.000000,0.000000
0.063000,0.003280,0.000032,0.000441,0.001671,0.000757,0.000315,0.000063,0.000000,0.000000
0.064000,0.003374,0.000000,0.000378,0.001892,0.000978,0.000126,0.000000,0.000000,0.000000
0.065000,0.003532,0.000032,0.000599,0.001545,0.001104,0.000221,0.000000,0.000032,0.000000
0.066000,0.003185,0.000000,0.000252,0.002018,0.000788,0.000126,0.000000,0.000000,0.000000
0.067000,0.003721,0.000063,0.000410,0.001514,0.001356,0.000315,0.000032,0.000032,0.000000
0.068000,0.003153,0.000063,0.000441,0.001482,0.001009,0.000095,0.000063,0.000000,0.000000
0.069000,0.002838,0.000032,0.000410,0.001324,0.000851,0.000189,0.000032,0.000000,0.000000
0.070000,0.003027,0.000032,0.000315,0.001261,0.001198,0.000158,0.000063,0.000000,0.000000
0.071000,0.002491,0.000000,0.000347,0.000978,0.001041,0.000126,0.000000,0.000000,0.000000
0.072000,0.002144,0.000000,0.000378,0.000788,0.000915,0.000032,0.000032,0.000000,0.000000
0.073000,0.002113,0.000000,0.000189,0.001041,0.000757,0.000126,0.000000,0.000000,0.000000
0.074000,0.002523,0.000000,0.000347,0.000820,0.001293,0.000063,0.000000,0.000000,0.000000
0.075000,0.002302,0.000000,0.000315,0.000694,0.001104,0.000158,0.000032,0.000000,0.000000
0.076000,0.002617,0.000000,0.000189,0.001230,0.001009,0.000189,0.000000,0.000000,0.000000
0.077000,0.003027,0.000000,0.000473,0.001261,0.001135,0.000158,0.000000,0.000000,0.000000
0.078000,0.003153,0.000000,0.000473,0.000915,0.001451,0.000284,0.000032,0.000000,0.000000
0.079000,0.003090,0.000000,0.000378,0.000851,0.001608,0.000221,0.000032,0.000000,0.000000
0.080000,0.003343,0.000000,0.000505,0.001167,0.001388,0.000252,0.000032,0.000000,0.000000
0.081000,0.002838,0.000000,0.000347,0.001230,0.001104,0.000158,0.000000,0.000000,0.000000
0.082000,0.003627,0.000000,0.000378,0.001135,0.001829,0.000252,0.000032,0.000000,0.000000
0.083000,0.002680,0.000000,0.000189,0.000915,0.001388,0.000189,0.000000,0.000000,0.000000
0.084000,0.002239,0.000000,0.000221,0.000915,0.000978,0.000126,0.000000,0.000000,0.000000
0.085000,0.002838,0.000000,0.000378,0.000915,0.001388,0.000158,0.000000,0.000000,0.000000
0.086000,0.002964,0.000000,0.000441,0.001104,0.001198,0.000221,0.000000,0.000000,0.000000
0.087000,0.002996,0.000063,0.000410,0.000883,0.001451,0.000063,0.000095,0.000032,0.000000
0.088000,0.001892,0.000032,0.000189,0.000378,0.001104,0.000189,0.000000,0.000000,0.000000
0.089000,0.002018,0.000000,0.000221,0.000662,0.000978,0.000126,0.000032,0.000000,0.000000
0.090000,0.001892,0.000000,0.000189,0.000568,0.000915,0.000126,0.000063,0.000032,0.000000
0.091000,0.001419,0.000000,0.000221,0.000473,0.000599,0.000126,0.000000,0.000000,0.000000
0.092000,0.000851,0.000000,0.000032,0.000284,0.000473,0.000063,0.000000,0.000000,0.000000
0.093000,0.000757,0.000000,0.000063,0.000284,0.000410,0.000000,0.000000,0.000000,0.000000
0.094000,0.000883,0.000000,0.000000,0.000315,0.000568,0.000000,0.000000,0.000000,0.000000
0.095000,0.000946,0.000000,0.000095,0.000284,0.000473,0.000063,0.000032,0.000000,0.000000
0.096000,0.000757,0.000000,0.000032,0.000221,0.000347,0.000095,0.000063,0.000000,0.000000
0.097000,0.000946,0.000032,0.000032,0.000158,0.000662,0.000063,0.000000,0.000000,0.000000
0.098000,0.000883,0.000000,0.000126,0.000189,0.000473,0.000063,0.000032,0.000000,0.000000
0.099000,0.001041,0.000000,0.000095,0.000441,0.000473,0.000000,0.000000,0.000032,0.000000
0.100000,0.000978,0.000000,0.000032,0.000315,0.000441,0.000189,0.000000,0.000000,0.000000
0.101000,0.001198,0.000000,0.000189,0.000441,0.000536,0.000000,0.000000,0.000032,0.000000
0.102000,0.000915,0.000000,0.000000,0.000221,0.000505,0.000158,0.000000,0.000032,0.000000
0.103000,0.000694,0.000000,0.000063,0.000221,0.000378,0.000032,0.000000,0.000000,0.000000
0.104000,0.000568,0.000000,0.000032,0.000221,0.000284,0.000032,0.000000,0.000000,0.000000
0.105000,0.000757,0.000000,0.000000,0.000189,0.000505,0.000063,0.000000,0.000000,0.000000
0.106000,0.000599,0.000000,0.000032,0.000189,0.000378,0.000000,0.000000,0.000000,0.000000
0.107000,0.000599,0.000000,0.000032,0.000126,0.000378,0.000063,0.000000,0.000000,0.000000
0.108000,0.000694,0.000000,0.000032,0.000126,0.000410,0.000095,0.000032,0.000000,0.000000
0.109000,0.000378,0.000000,0.000000,0.000095,0.000221,0.000032,0.000032,0.000000,0.000000
0.110000,0.000788,0.000000,0.000032,0.000126,0.000410,0.000189,0.000032,0.000000,0.000000
0.111000,0.000441,0.000000,0.000032,0.000158,0.000189,0.000063,0.000000,0.000000,0.000000
0.112000,0.000410,0.000000,0.000000,0.000032,0.000284,0.000095,0.000000,0.000000,0.000000
0.113000,0.000473,0.000000,0.000063,0.000095,0.000221,0.000095,0.000000,0.000000,0.000000
0.114000,0.000725,0.000000,0.000032,0.000095,0.000284,0.000315,0.000000,0.000000,0.000000
0.115000,0.000536,0.000032,0.000063,0.000032,0.000221,0.000158,0.000032,0.000000,0.000000
0.116000,0.000315,0.000000,0.000000,0.000032,0.000189,0.000063,0.000032,0.000000,0.000000
0.117000,0.000694,0.000032,0.000095,0.000063,0.000284,0.000189,0.000032,0.000000,0.000000
0.118000,0.000788,0.000032,0.000000,0.000189,0.000347,0.000221,0.000000,0.000000,0.000000
0.119000,0.000505,0.000000,0.000000,0.000095,0.000158,0.000252,0.000000,0.000000,0.000000
0.120000,0.000410,0.000000,0.000032,0.000032,0.000158,0.000126,0.000032,0.000032,0.000000
0.121000,0.000441,0.000000,0.000032,0.000032,0.000158,0.000158,0.000032,0.000032,0.000000
0.122000,0.000315,0.000000,0.000000,0.000032,0.000158,0.000095,0.000032,0.000000,0.000000
0.123000,0.000315,0.000000,0.000032,0.000000,0.000189,0.000095,0.000000,0.000000,0.000000
0.124000,0.000378,0.000000,0.000032,0.000063,0.000189,0.000063,0.000032,0.000000,0.000000
0.125000,0.000505,0.000000,0.000032,0.000063,0.000095,0.000315,0.000000,0.000000,0.000000
0.126000,0.000315,0.000000,0.000063,0.000032,0.000095,0.000095,0.000032,0.000000,0.000000
0.127000,0.000378,0.000000,0.000032,0.000126,0.000063,0.000095,0.000063,0.000000,0.000000
0.128000,0.000315,0.000000,0.000032,0.000000,0.000158,0.000095,0.000032,0.000000,0.000000
0.129000,0.000473,0.000000,0.000000,0.000032,0.000095,0.000347,0.000000,0.000000,0.000000
0.130000,0.000725,0.000000,0.000032,0.000095,0.000063,0.000473,0.000063,0.000000,0.000000
0.131000,0.000568,0.000000,0.000000,0.000063,0.000252,0.000252,0.000000,0.000000,0.000000
