bin,total,start3=0,start3=1,start3=2,start3=3,start3=4,start3=5,start3=6,start3=8
0.020000,0.207404,0.018227,0.089590,0.071521,0.022642,0.004415,0.000946,0.000032,0.000032
0.021000,0.091482,0.006969,0.041500,0.031724,0.008609,0.002271,0.000315,0.000095,0.000000
0.022000,0.079941,0.006307,0.035130,0.027561,0.008420,0.002113,0.000315,0.000095,0.000000
0.023000,0.072656,0.005613,0.031535,0.026931,0.006875,0.001514,0.000189,0.000000,0.000000
0.024000,0.066475,0.005361,0.029170,0.022957,0.007348,0.001356,0.000221,0.000063,0.000000
0.025000,0.064331,0.004730,0.028823,0.023367,0.006055,0.001072,0.000189,0.000095,0.000000
0.026000,0.065908,0.004226,0.028539,0.023872,0.007411,0.001577,0.000252,0.000032,0.000000
0.027000,0.066633,0.004131,0.029927,0.023935,0.007190,0.001230,0.000189,0.000032,0.000000
0.028000,0.085585,0.005992,0.036517,0.032323,0.008609,0.001671,0.000441,0.000032,0.000000
0.029000,0.110340,0.007505,0.049636,0.038788,0.011289,0.002680,0.000441,0.000000,0.000000
0.030000,0.089243,0.000000,0.039608,0.035067,0.011826,0.002397,0.000284,0.000063,0.000000
