bin,total,start3=0,start3=1,start3=2,start3=3,start3=4,start3=5,start3=6,start3=8,start3=9
0.000000,0.147138,0.024976,0.077453,0.034290,0.008651,0.001452,0.000284,0.000032,0.000000,0.000000
0.001000,0.007546,0.001231,0.003789,0.001958,0.000474,0.000095,0.000000,0.000000,0.000000,0.000000
0.002000,0.008052,0.001010,0.003915,0.002400,0.000663,0.000063,0.000000,0.000000,0.000000,0.000000
0.003000,0.007641,0.001231,0.003947,0.002084,0.000284,0.000095,0.000000,0.000000,0.000000,0.000000
0.004000,0.008683,0.001105,0.004831,0.002021,0.000631,0.000063,0.000032,0.000000,0.000000,0.000000
0.005000,0.010451,0.001295,0.006157,0.002305,0.000474,0.000158,0.000063,0.000000,0.000000,0.000000
0.006000,0.010546,0.001074,0.005873,0.002747,0.000758,0.000095,0.000000,0.000000,0.000000,0.000000
0.007000,0.011493,0.000758,0.006852,0.003094,0.000726,0.000063,0.000000,0.000000,0.000000,0.000000
0.008000,0.012219,0.000853,0.006852,0.003378,0.000979,0.000158,0.000000,0.000000,0.000000,0.000000
0.009000,0.011935,0.001010,0.006757,0.003252,0.000695,0.000189,0.000000,0.000000,0.000032,0.000000
0.010000,0.015693,0.001673,0.008399,0.004389,0.000947,0.000284,0.000000,0.000000,0.000000,0.000000
0.011000,0.015282,0.001389,0.008494,0.004294,0.000979,0.000095,0.000032,0.000000,0.000000,0.000000
0.012000,0.014177,0.001263,0.007673,0.004105,0.000947,0.000189,0.000000,0.000000,0.000000,0.000000
0.013000,0.012946,0.001231,0.007483,0.003442,0.000663,0.000063,0.000063,0.000000,0.000000,0.000000
0.014000,0.012409,0.001295,0.006568,0.003694,0.000631,0.000189,0.000032,0.000000,0.000000,0.000000
0.015000,0.014209,0.001768,0.007199,0.003947,0.001074,0.000221,0.000000,0.000000,0.000000,0.000000
0.016000,0.012188,0.000884,0.006378,0.003852,0.000884,0.000158,0.000032,0.000000,0.000000,0.000000
0.017000,0.013198,0.001105,0.006094,0.004736,0.001137,0.000095,0.000032,0.000000,0.000000,0.000000
0.018000,0.018376,0.000916,0.007957,0.007010,0.002052,0.000379,0.000063,0.000000,0.000000,0.000000
0.019000,0.021944,0.000631,0.009157,0.009315,0.001989,0.000537,0.000253,0.000063,0.000000,0.000000
0.020000,0.019071,0.000663,0.008020,0.007325,0.002558,0.000442,0.000063,0.000000,0.000000,0.000000
0.021000,0.014840,0.000474,0.005810,0.006252,0.001926,0.000316,0.000063,0.000000,0.000000,0.000000
0.022000,0.014651,0.000189,0.006410,0.006031,0.001831,0.000189,0.000000,0.000000,0.000000,0.000000
0.023000,0.016798,0.000505,0.007262,0.006536,0.002084,0.000347,0.000032,0.000032,0.000000,0.000000
0.024000,0.018282,0.000379,0.007199,0.007767,0.002242,0.000537,0.000158,0.000000,0.000000,0.000000
0.025000,0.017208,0.000568,0.007136,0.006883,0.002179,0.000347,0.000095,0.000000,0.000000,0.000000
0.026000,0.017808,0.000568,0.006536,0.008020,0.002115,0.000442,0.000095,0.000032,0.000000,0.000000
0.027000,0.017682,0.000568,0.007073,0.007388,0.002021,0.000537,0.000063,0.000032,0.000000,0.000000
0.028000,0.020808,0.000631,0.008494,0.008841,0.002210,0.000474,0.000158,0.000000,0.000000,0.000000
0.029000,0.025544,0.000663,0.009283,0.010104,0.004105,0.001137,0.000221,0.000032,0.000000,0.000000
0.030000,0.017113,0.000474,0.006441,0.007294,0.002210,0.000537,0.000158,0.000000,0.000000,0.000000
0.031000,0.015724,0.000442,0.005968,0.006946,0.001863,0.000379,0.000095,0.000032,0.000000,0.000000
0.032000,0.014682,0.000316,0.005494,0.006062,0.002210,0.000537,0.000032,0.000032,0.000000,0.000000
0.033000,0.014935,0.000316,0.004957,0.006852,0.002305,0.000410,0.000095,0.000000,0.000000,0.000000
0.034000,0.014272,0.000316,0.005747,0.005904,0.001768,0.000410,0.000095,0.000000,0.000000,0.000032
0.035000,0.015282,0.000253,0.006062,0.006062,0.002242,0.000568,0.000095,0.000000,0.000000,0.000000
0.036000,0.013546,0.000474,0.005052,0.005747,0.001673,0.000505,0.000063,0.000032,0.000000,0.000000
0.037000,0.014651,0.000158,0.005084,0.006694,0.002052,0.000600,0.000032,0.000032,0.000000,0.000000
0.038000,0.014335,0.000253,0.005241,0.006410,0.001926,0.000505,0.000000,0.000000,0.000000,0.000000
0.039000,0.013956,0.000063,0.005652,0.005841,0.002021,0.000347,0.000000,0.000032,0.000000,0.000000
0.040000,0.012725,0.000221,0.005084,0.004673,0.002115,0.000505,0.000126,0.000000,0.000000,0.000000
