bin,total,start3=0,start3=1,start3=2,start3=3,start3=4,start3=5,start3=6,start3=8,start3=9
0.020000,0.206688,0.016545,0.090966,0.071517,0.022450,0.004326,0.000853,0.000032,0.000000,0.000000
0.021000,0.087272,0.007073,0.038900,0.029901,0.008715,0.002179,0.000442,0.000063,0.000000,0.000000
0.022000,0.080294,0.005589,0.036058,0.027975,0.008683,0.001768,0.000158,0.000032,0.000032,0.000000
0.023000,0.070506,0.005147,0.032617,0.024533,0.006694,0.001295,0.000158,0.000063,0.000000,0.000000
0.024000,0.066875,0.005336,0.030185,0.022576,0.007073,0.001484,0.000221,0.000000,0.000000,0.000000
0.025000,0.065044,0.004578,0.029775,0.023081,0.006062,0.001326,0.000189,0.000000,0.000000,0.000032
0.026000,0.064760,0.003821,0.028764,0.023207,0.006978,0.001579,0.000410,0.000000,0.000000,0.000000
0.027000,0.070980,0.004547,0.032396,0.025133,0.007704,0.000947,0.000189,0.000063,0.000000,0.000000
0.028000,0.081810,0.004926,0.036153,0.030122,0.008651,0.001642,0.000284,0.000032,0.000000,0.000000
0.029000,0.116574,0.009820,0.050583,0.041521,0.011588,0.002337,0.000537,0.000189,0.000000,0.000000
0.030000,0.089198,0.000000,0.041900,0.034195,0.010262,0.002368,0.000442,0.000032,0.000000,0.000000
