bin,total,start3=0,start3=1,start3=2,start3=3,start3=4
0.030000,0.035354,0.004485,0.025012,0.005731,0.000125,0.000000
0.031000,0.053202,0.006759,0.037659,0.008628,0.000156,0.000000
0.032000,0.074352,0.008722,0.053327,0.012023,0.000280,0.000000
0.033000,0.093135,0.010466,0.067499,0.014889,0.000280,0.000000
0.034000,0.113132,0.013487,0.081361,0.018035,0.000249,0.000000
0.035000,0.127336,0.015574,0.092076,0.019343,0.000311,0.000031
0.036000,0.130825,0.015232,0.094630,0.020683,0.000280,0.000000
0.037000,0.134563,0.015637,0.095378,0.023175,0.000343,0.000031
0.038000,0.128084,0.015232,0.092418,0.020122,0.000311,0.000000
0.039000,0.109986,0.012491,0.080395,0.016883,0.000218,0.000000
0.040000,0.000031,0.000000,0.000000,0.000031,0.000000,0.000000
