bin,total,finish1->start2,finish2->start3,start1->finish1,start2->finish2,start3->finish3
0.075000,0.000093,0.000000,0.000012,0.000016,0.000027,0.000038
0.076000,0.000467,0.000001,0.000045,0.000090,0.000145,0.000187
0.077000,0.001837,0.000005,0.000174,0.000338,0.000581,0.000740
0.078000,0.003737,0.000036,0.000339,0.000706,0.001154,0.001502
0.079000,0.006322,0.000070,0.000625,0.001151,0.001935,0.002541
0.080000,0.009405,0.000079,0.000957,0.001691,0.002871,0.003807
0.081000,0.014481,0.000179,0.001548,0.002560,0.004298,0.005897
0.082000,0.018623,0.000160,0.001979,0.003318,0.005548,0.007618
0.083000,0.021426,0.000213,0.002376,0.003709,0.006246,0.008882
0.084000,0.026813,0.000273,0.003014,0.004607,0.007774,0.011144
0.085000,0.028993,0.000339,0.003322,0.004917,0.008277,0.012138
0.086000,0.027218,0.000275,0.003267,0.004553,0.007672,0.011452
0.087000,0.028152,0.000331,0.003392,0.004658,0.007865,0.011907
0.088000,0.025038,0.000309,0.003080,0.004106,0.006966,0.010578
0.089000,0.019588,0.000220,0.002519,0.003172,0.005377,0.008300
0.090000,0.015384,0.000227,0.002034,0.002461,0.004152,0.006510
0.091000,0.008813,0.000156,0.001176,0.001392,0.002357,0.003732
0.092000,0.004609,0.000079,0.000665,0.000729,0.001192,0.001944
0.093000,0.002118,0.000022,0.000331,0.000327,0.000548,0.000890
0.094000,0.000436,0.000007,0.000071,0.000065,0.000115,0.000179
0.095000,0.000062,0.000005,0.000009,0.000008,0.000018,0.000023
0.096000,0.000218,0.000013,0.000041,0.000033,0.000054,0.000076
0.097000,0.000062,0.000005,0.000010,0.000008,0.000017,0.000023
0.098000,0.000156,0.000010,0.000032,0.000023,0.000040,0.000051
0.099000,0.000405,0.000018,0.000098,0.000056,0.000097,0.000135
0.100000,0.000374,0.000012,0.000099,0.000055,0.000089,0.000119
0.101000,0.000716,0.000049,0.000163,0.000099,0.000170,0.000235
0.102000,0.001121,0.000040,0.000303,0.000158,0.000261,0.000359
0.103000,0.001526,0.000079,0.000371,0.000223,0.000362,0.000490
0.104000,0.002055,0.000106,0.000516,0.000295,0.000490,0.000648
0.105000,0.003176,0.000146,0.000832,0.000435,0.000755,0.001009
0.106000,0.004952,0.000212,0.001357,0.000684,0.001132,0.001566
0.107000,0.005855,0.000300,0.001518,0.000823,0.001342,0.001872
0.108000,0.007350,0.000338,0.002037,0.000988,0.001645,0.002341
0.109000,0.008066,0.000400,0.002225,0.001056,0.001813,0.002572
0.110000,0.009062,0.000409,0.002561,0.001207,0.002012,0.002873
0.111000,0.010993,0.000507,0.003185,0.001432,0.002417,0.003453
0.112000,0.012986,0.000617,0.003731,0.001707,0.002838,0.004092
0.113000,0.013142,0.000738,0.003787,0.001693,0.002848,0.004077
0.114000,0.014419,0.000701,0.004389,0.001821,0.003086,0.004422
0.115000,0.015228,0.000866,0.004505,0.001922,0.003256,0.004679
0.116000,0.017222,0.000836,0.005314,0.002173,0.003658,0.005240
0.117000,0.018311,0.000925,0.005738,0.002299,0.003831,0.005518
0.118000,0.019464,0.001021,0.006099,0.002420,0.004081,0.005843
0.119000,0.020398,0.001029,0.006592,0.002514,0.004227,0.006037
0.120000,0.021831,0.001475,0.006743,0.002672,0.004527,0.006414
0.121000,0.020678,0.001338,0.006529,0.002528,0.004236,0.006047
0.122000,0.022889,0.001635,0.007112,0.002782,0.004676,0.006685
0.123000,0.023761,0.001694,0.007447,0.002896,0.004838,0.006887
0.124000,0.021986,0.001742,0.006783,0.002672,0.004475,0.006314
0.125000,0.021488,0.001834,0.006613,0.002559,0.004287,0.006194
0.126000,0.022485,0.002041,0.006902,0.002671,0.004455,0.006415
0.127000,0.022640,0.002368,0.006824,0.002645,0.004456,0.006347
0.128000,0.022049,0.002596,0.006500,0.002555,0.004303,0.006096
