bin,total,start3=0,start3=1,start3=2,start3=3,start3=4
0.000000,0.006459,0.003027,0.003308,0.000125,0.000000,0.000000
0.001000,0.007770,0.003027,0.004306,0.000437,0.000000,0.000000
0.002000,0.008612,0.003994,0.004368,0.000250,0.000000,0.000000
0.003000,0.011857,0.004431,0.007021,0.000406,0.000000,0.000000
0.004000,0.014385,0.005367,0.008581,0.000437,0.000000,0.000000
0.005000,0.017848,0.006802,0.010391,0.000655,0.000000,0.000000
0.006000,0.018535,0.007926,0.010110,0.000499,0.000000,0.000000
0.007000,0.019564,0.007551,0.011202,0.000811,0.000000,0.000000
0.008000,0.024838,0.009361,0.014229,0.001248,0.000000,0.000000
0.009000,0.025399,0.007770,0.016226,0.001373,0.000031,0.000000
0.010000,0.027864,0.009798,0.016631,0.001435,0.000000,0.000000
0.011000,0.026335,0.009236,0.015758,0.001311,0.000031,0.000000
0.012000,0.025587,0.008768,0.015321,0.001498,0.000000,0.000000
0.013000,0.022248,0.007582,0.013917,0.000718,0.000031,0.000000
0.014000,0.018316,0.006085,0.011358,0.000874,0.000000,0.000000
0.015000,0.019284,0.006958,0.011264,0.001061,0.000000,0.000000
0.016000,0.012637,0.004212,0.007614,0.000811,0.000000,0.000000
0.017000,0.010047,0.002590,0.006709,0.000749,0.000000,0.000000
0.018000,0.008362,0.002215,0.005492,0.000655,0.000000,0.000000
0.019000,0.005585,0.000936,0.004181,0.000437,0.000031,0.000000
0.020000,0.005804,0.000530,0.004368,0.000905,0.000000,0.000000
0.021000,0.005710,0.000156,0.004462,0.001061,0.000031,0.000000
0.022000,0.006927,0.000031,0.005648,0.001248,0.000000,0.000000
0.023000,0.008737,0.000062,0.006709,0.001966,0.000000,0.000000
0.024000,0.009611,0.000000,0.007863,0.001747,0.000000,0.000000
0.025000,0.011670,0.000000,0.009330,0.002309,0.000031,0.000000
0.026000,0.013480,0.000000,0.010391,0.003089,0.000000,0.000000
0.027000,0.015290,0.000000,0.011202,0.004025,0.000062,0.000000
0.028000,0.015196,0.000000,0.010952,0.004244,0.000000,0.000000
0.029000,0.015290,0.000000,0.011358,0.003869,0.000062,0.000000
0.030000,0.016506,0.000000,0.011452,0.005055,0.000000,0.000000
0.031000,0.019003,0.000000,0.013261,0.005679,0.000062,0.000000
0.032000,0.019627,0.000000,0.013293,0.006303,0.000031,0.000000
0.033000,0.022966,0.000000,0.015570,0.007395,0.000000,0.000000
0.034000,0.024931,0.000000,0.016943,0.007988,0.000000,0.000000
0.035000,0.026055,0.000000,0.018254,0.007707,0.000094,0.000000
0.036000,0.030017,0.000000,0.020813,0.009049,0.000156,0.000000
0.037000,0.031172,0.000000,0.022778,0.008331,0.000062,0.000000
0.038000,0.032701,0.000000,0.023309,0.009392,0.000000,0.000000
0.039000,0.033419,0.000000,0.024432,0.008987,0.000000,0.000000
0.040000,0.033450,0.000000,0.026367,0.006990,0.000062,0.000031
0.041000,0.032982,0.000000,0.026086,0.006709,0.000187,0.000000
0.042000,0.033169,0.000000,0.027334,0.005773,0.000062,0.000000
0.043000,0.032795,0.000000,0.027209,0.005523,0.000062,0.000000
0.044000,0.030860,0.000000,0.026772,0.003994,0.000094,0.000000
0.045000,0.030361,0.000000,0.025649,0.004524,0.000187,0.000000
0.046000,0.025275,0.000000,0.021842,0.003401,0.000031,0.000000
0.047000,0.021374,0.000000,0.019128,0.002215,0.000031,0.000000
0.048000,0.017661,0.000000,0.015851,0.001747,0.000062,0.000000
0.049000,0.016132,0.000000,0.014603,0.001498,0.000031,0.000000
0.050000,0.010859,0.000000,0.009923,0.000905,0.000031,0.000000
0.051000,0.008893,0.000000,0.008238,0.000655,0.000000,0.000000
0.052000,0.004680,0.000000,0.004150,0.000530,0.000000,0.000000
0.053000,0.003370,0.000000,0.002839,0.000468,0.000062,0.000000
0.054000,0.001623,0.000000,0.001435,0.000156,0.000031,0.000000
0.055000,0.000562,0.000000,0.000374,0.000187,0.000000,0.000000
0.056000,0.000281,0.000000,0.000125,0.000156,0.000000,0.000000
0.057000,0.000031,0.000000,0.000000,0.000031,0.000000,0.000000
