bin,total,start3=0,start3=1,start3=2,start3=3,start3=4
0.030000,0.036490,0.004491,0.026010,0.005988,0.000000,0.000000
0.031000,0.051023,0.006331,0.036115,0.008452,0.000125,0.000000
0.032000,0.073977,0.009232,0.053268,0.011290,0.000156,0.000031
0.033000,0.094000,0.010916,0.067895,0.014939,0.000218,0.000031
0.034000,0.111652,0.013754,0.080371,0.017372,0.000156,0.000000
0.035000,0.125561,0.014315,0.090101,0.020771,0.000374,0.000000
0.036000,0.133920,0.015781,0.095964,0.021987,0.000187,0.000000
0.037000,0.134200,0.015563,0.097680,0.020709,0.000250,0.000000
0.038000,0.127807,0.014596,0.092378,0.020459,0.000374,0.000000
0.039000,0.111371,0.013005,0.080059,0.018151,0.000156,0.000000
