bin,total,finish1->start2,finish2->start3,start1->finish1,start2->finish2,start3->finish3
0.075000,0.000156,0.000000,0.000015,0.000030,0.000048,0.000063
0.076000,0.000406,0.000002,0.000037,0.000076,0.000129,0.000163
0.077000,0.001560,0.000011,0.000150,0.000287,0.000483,0.000629
0.078000,0.003620,0.000019,0.000363,0.000668,0.001111,0.001459
0.079000,0.006178,0.000052,0.000588,0.001130,0.001919,0.002490
0.080000,0.010079,0.000093,0.001035,0.001812,0.003069,0.004070
0.081000,0.013199,0.000139,0.001411,0.002318,0.003981,0.005350
0.082000,0.018004,0.000198,0.001943,0.003172,0.005315,0.007375
0.083000,0.022654,0.000184,0.002507,0.003953,0.006698,0.009312
0.084000,0.026648,0.000292,0.002987,0.004573,0.007716,0.011080
0.085000,0.029331,0.000258,0.003335,0.005008,0.008422,0.012307
0.086000,0.028457,0.000346,0.003288,0.004816,0.008026,0.011982
0.087000,0.027677,0.000281,0.003339,0.004596,0.007750,0.011711
0.088000,0.023621,0.000263,0.002927,0.003887,0.006561,0.009983
0.089000,0.019408,0.000269,0.002484,0.003176,0.005272,0.008207
0.090000,0.013636,0.000199,0.001822,0.002188,0.003672,0.005755
0.091000,0.008206,0.000117,0.001102,0.001306,0.002217,0.003463
0.092000,0.004649,0.000079,0.000663,0.000732,0.001223,0.001952
0.093000,0.002091,0.000042,0.000311,0.000309,0.000549,0.000879
0.094000,0.000593,0.000038,0.000075,0.000091,0.000148,0.000241
0.095000,0.000187,0.000018,0.000022,0.000029,0.000047,0.000072
0.096000,0.000250,0.000028,0.000033,0.000039,0.000063,0.000087
0.097000,0.000062,0.000008,0.000004,0.000010,0.000016,0.000023
0.098000,0.000343,0.000039,0.000046,0.000050,0.000089,0.000120
0.099000,0.000281,0.000015,0.000057,0.000043,0.000072,0.000094
0.100000,0.000530,0.000022,0.000131,0.000078,0.000125,0.000175
0.101000,0.000718,0.000042,0.000172,0.000103,0.000175,0.000225
0.102000,0.000811,0.000026,0.000206,0.000121,0.000198,0.000261
0.103000,0.001841,0.000080,0.000468,0.000266,0.000435,0.000592
0.104000,0.002652,0.000164,0.000632,0.000371,0.000631,0.000855
0.105000,0.003214,0.000159,0.000832,0.000441,0.000751,0.001031
0.106000,0.004774,0.000212,0.001289,0.000655,0.001105,0.001512
0.107000,0.005336,0.000231,0.001483,0.000722,0.001209,0.001691
0.108000,0.007426,0.000326,0.002074,0.001015,0.001666,0.002346
0.109000,0.008113,0.000459,0.002192,0.001093,0.001809,0.002560
0.110000,0.010859,0.000593,0.002947,0.001426,0.002439,0.003453
0.111000,0.010359,0.000441,0.003023,0.001347,0.002303,0.003246
0.112000,0.013137,0.000546,0.003928,0.001695,0.002879,0.004089
0.113000,0.013979,0.000717,0.004057,0.001821,0.003028,0.004356
0.114000,0.013573,0.000690,0.004062,0.001716,0.002915,0.004190
0.115000,0.016382,0.000886,0.004905,0.002058,0.003496,0.005036
0.116000,0.018223,0.000965,0.005555,0.002303,0.003856,0.005544
0.117000,0.018254,0.000894,0.005715,0.002276,0.003869,0.005501
0.118000,0.019814,0.001107,0.006179,0.002431,0.004154,0.005943
0.119000,0.019783,0.001018,0.006318,0.002473,0.004096,0.005878
0.120000,0.020937,0.001288,0.006573,0.002601,0.004295,0.006181
0.121000,0.021249,0.001353,0.006730,0.002593,0.004354,0.006219
0.122000,0.022154,0.001444,0.007035,0.002703,0.004476,0.006496
0.123000,0.021905,0.001493,0.006949,0.002660,0.004434,0.006369
0.124000,0.022061,0.001670,0.006931,0.002658,0.004437,0.006365
0.125000,0.022279,0.001971,0.006797,0.002683,0.004452,0.006376
0.126000,0.020594,0.001970,0.006238,0.002418,0.004098,0.005871
0.127000,0.021374,0.002175,0.006469,0.002494,0.004220,0.006015
0.128000,0.022872,0.002713,0.006721,0.002675,0.004448,0.006315
0.129000,0.023278,0.003139,0.006575,0.002670,0.004536,0.006358
0.130000,0.026117,0.004061,0.007075,0.002962,0.005005,0.007013
0.131000,0.027740,0.004702,0.007269,0.003124,0.005252,0.007393
0.132000,0.029674,0.005305,0.007662,0.003316,0.005535,0.007856
0.133000,0.032514,0.005865,0.008425,0.003585,0.006040,0.008599
0.134000,0.033356,0.006143,0.008580,0.003672,0.006141,0.008820
0.135000,0.035384,0.006499,0.009134,0.003847,0.006476,0.009429
0.136000,0.032857,0.006047,0.008465,0.003514,0.006005,0.008826
0.137000,0.030860,0.005858,0.007834,0.003291,0.005574,0.008302
0.138000,0.025774,0.004714,0.006797,0.002712,0.004590,0.006961
0.139000,0.020438,0.003757,0.005383,0.002139,0.003615,0.005544
0.140000,0.012981,0.002415,0.003355,0.001359,0.002309,0.003543
