bin,total,start3=0,start3=1,start3=2,start3=3
0.000000,0.006294,0.003085,0.003085,0.000093,0.000031
0.001000,0.007634,0.003085,0.004331,0.000218,0.000000
0.002000,0.009161,0.003801,0.005141,0.000218,0.000000
0.003000,0.009846,0.004206,0.005453,0.000187,0.000000
0.004000,0.013585,0.005764,0.007478,0.000343,0.000000
0.005000,0.016109,0.006824,0.008693,0.000592,0.000000
0.006000,0.019287,0.006917,0.011529,0.000841,0.000000
0.007000,0.022372,0.008350,0.013118,0.000904,0.000000
0.008000,0.024678,0.009566,0.014177,0.000935,0.000000
0.009000,0.026017,0.009753,0.014863,0.001309,0.000093
0.010000,0.027233,0.009410,0.016826,0.000997,0.000000
0.011000,0.026796,0.010127,0.015423,0.001215,0.000031
0.012000,0.025425,0.009597,0.014426,0.001340,0.000062
0.013000,0.023680,0.007540,0.014644,0.001496,0.000000
0.014000,0.019848,0.006387,0.012526,0.000935,0.000000
0.015000,0.016140,0.005235,0.009908,0.000997,0.000000
0.016000,0.012432,0.004206,0.007727,0.000499,0.000000
0.017000,0.009441,0.002804,0.006169,0.000467,0.000000
0.018000,0.007852,0.001963,0.005422,0.000467,0.000000
0.019000,0.005951,0.000997,0.004393,0.000561,0.000000
0.020000,0.006232,0.000654,0.004580,0.000997,0.000000
0.021000,0.006543,0.000405,0.005203,0.000935,0.000000
0.022000,0.008226,0.000062,0.006387,0.001776,0.000000
0.023000,0.008413,0.000062,0.006574,0.001776,0.000000
0.024000,0.009192,0.000031,0.007385,0.001776,0.000000
0.025000,0.011747,0.000000,0.008911,0.002804,0.000031
0.026000,0.012588,0.000000,0.009503,0.003054,0.000031
0.027000,0.016015,0.000000,0.011591,0.004331,0.000093
0.028000,0.014052,0.000000,0.010033,0.003988,0.000031
0.029000,0.017542,0.000000,0.012837,0.004674,0.000031
0.030000,0.017168,0.000000,0.011996,0.005141,0.000031
0.031000,0.018477,0.000000,0.012993,0.005484,0.000000
0.032000,0.020253,0.000000,0.013803,0.006387,0.000062
0.033000,0.022060,0.000000,0.015112,0.006948,0.000000
0.034000,0.022901,0.000000,0.015610,0.007198,0.000093
0.035000,0.026952,0.000000,0.019194,0.007634,0.000125
0.036000,0.029601,0.000000,0.021499,0.008008,0.000093
0.037000,0.033090,0.000000,0.023462,0.009379,0.000249
0.038000,0.031564,0.000000,0.023493,0.007977,0.000093
0.039000,0.034555,0.000000,0.026547,0.007852,0.000156
0.040000,0.033869,0.000000,0.026080,0.007696,0.000093
0.041000,0.034804,0.000000,0.027887,0.006761,0.000156
0.042000,0.032779,0.000000,0.026859,0.005858,0.000062
0.043000,0.032561,0.000000,0.027201,0.005266,0.000093
0.044000,0.029881,0.000000,0.025083,0.004643,0.000156
0.045000,0.029227,0.000000,0.025643,0.003490,0.000093
0.046000,0.024459,0.000000,0.021437,0.002929,0.000093
0.047000,0.021904,0.000000,0.019661,0.002243,0.000000
0.048000,0.018352,0.000000,0.016514,0.001745,0.000093
0.049000,0.015268,0.000000,0.013180,0.001932,0.000156
0.050000,0.010719,0.000000,0.009348,0.001277,0.000093
0.051000,0.008164,0.000000,0.007353,0.000779,0.000031
0.052000,0.005484,0.000000,0.004767,0.000685,0.000031
0.053000,0.003209,0.000000,0.002773,0.000436,0.000000
0.054000,0.001464,0.000000,0.001277,0.000187,0.000000
0.055000,0.000654,0.000000,0.000592,0.000062,0.000000
0.056000,0.000218,0.000000,0.000156,0.000062,0.000000
0.057000,0.000031,0.000000,0.000000,0.000031,0.000000
