bin,total,start3=0,start3=1,start3=2,start3=3
0.020000,0.097246,0.015392,0.065184,0.016452,0.000218
0.021000,0.106313,0.013710,0.074905,0.017511,0.000187
0.022000,0.113230,0.016140,0.078021,0.018851,0.000218
0.023000,0.113105,0.013866,0.081199,0.017729,0.000312
0.024000,0.112763,0.012588,0.081822,0.018165,0.000187
0.025000,0.109055,0.011560,0.081261,0.016015,0.000218
0.026000,0.102169,0.012713,0.073752,0.015361,0.000343
0.027000,0.092946,0.009192,0.068393,0.015112,0.000249
0.028000,0.083318,0.008724,0.061476,0.012868,0.000249
0.029000,0.069795,0.006948,0.051785,0.010750,0.000312
0.030000,0.000062,0.000000,0.000062,0.000000,0.000000
