bin,total,start3=0,start3=1,start3=2,start3=3
0.000000,0.431854,0.072798,0.359056,0.000000,0.000000
0.001000,0.035525,0.001998,0.033527,0.000000,0.000000
0.002000,0.029906,0.001686,0.028220,0.000000,0.000000
0.003000,0.026534,0.001436,0.025098,0.000000,0.000000
0.004000,0.023912,0.001061,0.022851,0.000000,0.000000
0.005000,0.025286,0.000312,0.024973,0.000000,0.000000
0.006000,0.026472,0.000437,0.026035,0.000000,0.000000
0.007000,0.025348,0.000250,0.025098,0.000000,0.000000
0.008000,0.025473,0.000125,0.025348,0.000000,0.000000
0.009000,0.026285,0.000125,0.026160,0.000000,0.000000
0.010000,0.022539,0.000062,0.022476,0.000000,0.000000
0.011000,0.020853,0.000000,0.020853,0.000000,0.000000
0.012000,0.020041,0.000000,0.020041,0.000000,0.000000
0.013000,0.019354,0.000000,0.019292,0.000062,0.000000
0.014000,0.017731,0.000000,0.017669,0.000062,0.000000
0.015000,0.014859,0.000000,0.014859,0.000000,0.000000
0.016000,0.012736,0.000000,0.012674,0.000062,0.000000
0.017000,0.011987,0.000000,0.011800,0.000187,0.000000
0.018000,0.010114,0.000000,0.010052,0.000062,0.000000
0.019000,0.010614,0.000000,0.010551,0.000062,0.000000
0.020000,0.012424,0.000000,0.012175,0.000250,0.000000
0.021000,0.010302,0.000000,0.010177,0.000125,0.000000
0.022000,0.014547,0.000000,0.014485,0.000062,0.000000
0.023000,0.011675,0.000000,0.011363,0.000312,0.000000
0.024000,0.011987,0.000000,0.011862,0.000125,0.000000
0.025000,0.009677,0.000000,0.009490,0.000187,0.000000
0.026000,0.007742,0.000000,0.007679,0.000062,0.000000
0.027000,0.007679,0.000000,0.007492,0.000187,0.000000
0.028000,0.006181,0.000000,0.005869,0.000312,0.000000
0.029000,0.006181,0.000000,0.005869,0.000312,0.000000
0.030000,0.004745,0.000000,0.004308,0.000437,0.000000
0.031000,0.004183,0.000000,0.003871,0.000312,0.000000
0.032000,0.003559,0.000000,0.002997,0.000562,0.000000
0.033000,0.003184,0.000000,0.002747,0.000437,0.000000
0.034000,0.002872,0.000000,0.002310,0.000562,0.000000
0.035000,0.002810,0.000000,0.002185,0.000624,0.000000
0.036000,0.002622,0.000000,0.002248,0.000375,0.000000
0.037000,0.002560,0.000000,0.002123,0.000437,0.000000
0.038000,0.002560,0.000000,0.002123,0.000437,0.000000
0.039000,0.001186,0.000000,0.000937,0.000250,0.000000
0.040000,0.001061,0.000000,0.000749,0.000312,0.000000
0.041000,0.001061,0.000000,0.000687,0.000375,0.000000
0.042000,0.001186,0.000000,0.000937,0.000250,0.000000
0.043000,0.001124,0.000000,0.000562,0.000562,0.000000
0.044000,0.001561,0.000000,0.000999,0.000562,0.000000
0.045000,0.001811,0.000000,0.001124,0.000687,0.000000
0.046000,0.002248,0.000000,0.001186,0.001061,0.000000
0.047000,0.002435,0.000000,0.001374,0.001061,0.000000
0.048000,0.002185,0.000000,0.001374,0.000812,0.000000
0.049000,0.002310,0.000000,0.001124,0.001186,0.000000
0.050000,0.002248,0.000000,0.000999,0.001249,0.000000
0.051000,0.001561,0.000000,0.000312,0.001249,0.000000
0.052000,0.002497,0.000000,0.000624,0.001873,0.000000
0.053000,0.001686,0.000000,0.000562,0.001124,0.000000
0.054000,0.001061,0.000000,0.000187,0.000874,0.000000
0.055000,0.000874,0.000000,0.000125,0.000749,0.000000
0.056000,0.000874,0.000000,0.000125,0.000749,0.000000
0.057000,0.000562,0.000000,0.000062,0.000499,0.000000
0.058000,0.000624,0.000000,0.000000,0.000624,0.000000
0.059000,0.000624,0.000000,0.000000,0.000624,0.000000
0.060000,0.000375,0.000000,0.000000,0.000375,0.000000
0.061000,0.000437,0.000000,0.000000,0.000437,0.000000
0.062000,0.000312,0.000000,0.000000,0.000312,0.000000
0.063000,0.000250,0.000000,0.000000,0.000250,0.000000
0.064000,0.000125,0.000000,0.000000,0.000125,0.000000
0.065000,0.000437,0.000000,0.000000,0.000437,0.000000
0.066000,0.000062,0.000000,0.000000,0.000062,0.000000
0.067000,0.000187,0.000000,0.000000,0.000187,0.000000
0.068000,0.000250,0.000000,0.000000,0.000250,0.000000
0.069000,0.000125,0.000000,0.000000,0.000125,0.000000
0.070000,0.000125,0.000000,0.000000,0.000125,0.000000
0.071000,0.000250,0.000000,0.000000,0.000250,0.000000
0.072000,0.000187,0.000000,0.000000,0.000187,0.000000
0.073000,0.000125,0.000000,0.000000,0.000062,0.000062
0.075000,0.000062,0.000000,0.000000,0.000062,0.000000
0.076000,0.000187,0.000000,0.000000,0.000187,0.000000
0.077000,0.000062,0.000000,0.000000,0.000062,0.000000
0.078000,0.000187,0.000000,0.000000,0.000187,0.000000
0.079000,0.000062,0.000000,0.000000,0.000062,0.000000
0.082000,0.000125,0.000000,0.000000,0.000062,0.000062
0.084000,0.000062,0.000000,0.000000,0.000062,0.000000
0.087000,0.000062,0.000000,0.000000,0.000000,0.000062
0.096000,0.000062,0.000000,0.000000,0.000000,0.000062
0.099000,0.000062,0.000000,0.000000,0.000062,0.000000
0.101000,0.000062,0.000000,0.000000,0.000000,0.000062
0.104000,0.000062,0.000000,0.000000,0.000000,0.000062
