bin,total,start3=0,start3=1,start3=2,start3=3
0.020000,0.092901,0.013298,0.077667,0.001935,0.000000
0.021000,0.098708,0.012050,0.085284,0.001374,0.000000
0.022000,0.106886,0.011987,0.092339,0.002560,0.000000
0.023000,0.111194,0.011862,0.096273,0.003059,0.000000
0.024000,0.114691,0.010863,0.101143,0.002622,0.000062
0.025000,0.110757,0.007117,0.100581,0.003059,0.000000
0.026000,0.106762,0.004807,0.098957,0.002997,0.000000
0.027000,0.098645,0.004620,0.089904,0.004058,0.000062
0.028000,0.086096,0.002248,0.081039,0.002810,0.000000
0.029000,0.073297,0.001436,0.068802,0.002810,0.000250
0.030000,0.000062,0.000000,0.000062,0.000000,0.000000
