bin,total,finish1->start2,finish2->start3,start1->finish1,start2->finish2,start3->finish3
0.067000,0.000250,0.000000,0.000006,0.000049,0.000081,0.000114
0.068000,0.000687,0.000000,0.000011,0.000125,0.000239,0.000312
0.069000,0.001249,0.000001,0.000040,0.000236,0.000404,0.000567
0.070000,0.002872,0.000016,0.000095,0.000530,0.000919,0.001312
0.071000,0.002934,0.000010,0.000110,0.000532,0.000951,0.001332
0.072000,0.004870,0.000011,0.000194,0.000885,0.001560,0.002220
0.073000,0.004370,0.000028,0.000173,0.000790,0.001378,0.002002
0.074000,0.006930,0.000031,0.000315,0.001215,0.002183,0.003186
0.075000,0.007617,0.000033,0.000323,0.001372,0.002363,0.003526
0.076000,0.007367,0.000021,0.000321,0.001311,0.002250,0.003464
0.077000,0.009989,0.000037,0.000485,0.001750,0.003031,0.004687
0.078000,0.009490,0.000036,0.000437,0.001658,0.002863,0.004497
0.079000,0.007742,0.000033,0.000385,0.001333,0.002324,0.003667
0.080000,0.005120,0.000031,0.000309,0.000856,0.001500,0.002423
0.081000,0.004745,0.000020,0.000269,0.000799,0.001403,0.002254
0.082000,0.002810,0.000025,0.000156,0.000478,0.000824,0.001327
0.083000,0.000999,0.000004,0.000067,0.000164,0.000292,0.000471
0.084000,0.000250,0.000000,0.000018,0.000039,0.000075,0.000118
0.088000,0.000062,0.000000,0.000014,0.000012,0.000014,0.000022
0.089000,0.000125,0.000012,0.000013,0.000022,0.000032,0.000045
0.090000,0.000375,0.000015,0.000077,0.000050,0.000099,0.000132
0.091000,0.000250,0.000000,0.000053,0.000037,0.000066,0.000094
0.092000,0.000499,0.000016,0.000090,0.000080,0.000132,0.000182
0.093000,0.000562,0.000018,0.000103,0.000091,0.000148,0.000202
0.094000,0.000937,0.000036,0.000205,0.000136,0.000240,0.000319
0.095000,0.001623,0.000028,0.000357,0.000251,0.000420,0.000567
0.096000,0.001374,0.000051,0.000284,0.000210,0.000352,0.000478
0.097000,0.001623,0.000038,0.000370,0.000242,0.000406,0.000566
0.098000,0.002810,0.000080,0.000634,0.000418,0.000710,0.000968
0.099000,0.003746,0.000152,0.000803,0.000561,0.000934,0.001297
0.100000,0.003746,0.000149,0.000865,0.000534,0.000929,0.001269
0.101000,0.006368,0.000185,0.001563,0.000887,0.001551,0.002182
0.102000,0.005744,0.000199,0.001417,0.000833,0.001368,0.001927
0.103000,0.007430,0.000254,0.001869,0.001058,0.001751,0.002498
0.104000,0.008179,0.000336,0.002076,0.001131,0.001902,0.002734
0.105000,0.009989,0.000339,0.002695,0.001340,0.002343,0.003274
0.106000,0.012674,0.000582,0.003208,0.001730,0.002969,0.004185
0.107000,0.012299,0.000550,0.003244,0.001674,0.002795,0.004036
0.108000,0.011613,0.000463,0.003168,0.001542,0.002665,0.003774
0.109000,0.015671,0.000678,0.004311,0.002112,0.003521,0.005049
0.110000,0.016920,0.000810,0.004709,0.002225,0.003742,0.005433
0.111000,0.016670,0.000710,0.004803,0.002176,0.003689,0.005292
0.112000,0.017918,0.000727,0.005349,0.002255,0.003890,0.005697
0.113000,0.017419,0.000880,0.005068,0.002231,0.003765,0.005475
0.114000,0.018855,0.000930,0.005614,0.002395,0.004015,0.005902
0.115000,0.020041,0.000899,0.006121,0.002564,0.004257,0.006201
0.116000,0.021290,0.001170,0.006476,0.002671,0.004507,0.006467
0.117000,0.021352,0.001217,0.006635,0.002676,0.004465,0.006359
0.118000,0.026409,0.001445,0.008380,0.003288,0.005521,0.007775
0.119000,0.031154,0.001988,0.009867,0.003880,0.006462,0.008958
0.120000,0.038085,0.002669,0.011982,0.004657,0.007901,0.010875
0.121000,0.045951,0.003497,0.014298,0.005618,0.009487,0.013050
0.122000,0.051196,0.004025,0.015920,0.006234,0.010393,0.014624
0.123000,0.056752,0.004027,0.018107,0.006911,0.011542,0.016165
0.124000,0.062434,0.004977,0.019528,0.007569,0.012568,0.017791
0.125000,0.067428,0.005019,0.021376,0.008020,0.013572,0.019442
0.126000,0.060186,0.004618,0.019030,0.007221,0.011874,0.017444
0.127000,0.058813,0.004904,0.018252,0.006892,0.011661,0.017103
0.128000,0.048261,0.003896,0.015111,0.005654,0.009511,0.014089
0.129000,0.035587,0.002849,0.011282,0.004162,0.006868,0.010426
0.130000,0.024224,0.002133,0.007481,0.002797,0.004687,0.007127
0.131000,0.014922,0.001463,0.004550,0.001662,0.002846,0.004401
0.132000,0.008741,0.000918,0.002601,0.000980,0.001662,0.002578
0.133000,0.003122,0.000305,0.000954,0.000353,0.000591,0.000918
0.134000,0.000499,0.000053,0.000148,0.000055,0.000096,0.000148
0.135000,0.000062,0.000003,0.000023,0.000008,0.000010,0.000018
0.137000,0.000187,0.000024,0.000061,0.000022,0.000035,0.000045
0.138000,0.000062,0.000008,0.000019,0.000007,0.000011,0.000017
0.139000,0.000062,0.000010,0.000022,0.000006,0.000009,0.000015
0.140000,0.000125,0.000019,0.000040,0.000013,0.000022,0.000031
0.142000,0.000125,0.000015,0.000044,0.000012,0.000024,0.000031
0.143000,0.000125,0.000022,0.000041,0.000011,0.000022,0.000029
0.144000,0.000125,0.000015,0.000038,0.000017,0.000025,0.000031
0.145000,0.000187,0.000031,0.000059,0.000021,0.000034,0.000042
0.146000,0.000187,0.000037,0.000048,0.000022,0.000035,0.000045
0.147000,0.000125,0.000021,0.000041,0.000012,0.000021,0.000029
0.148000,0.000250,0.000055,0.000069,0.000025,0.000043,0.000057
0.149000,0.000312,0.000081,0.000077,0.000030,0.000052,0.000072
0.150000,0.000312,0.000072,0.000087,0.000031,0.000049,0.000073
0.151000,0.000375,0.000070,0.000118,0.000035,0.000061,0.000091
0.152000,0.000312,0.000079,0.000078,0.000033,0.000047,0.000075
0.153000,0.000624,0.000132,0.000186,0.000060,0.000098,0.000148
0.154000,0.000312,0.000081,0.000080,0.000029,0.000052,0.000070
0.155000,0.000375,0.000083,0.000104,0.000042,0.000060,0.000086
0.156000,0.000624,0.000143,0.000175,0.000062,0.000104,0.000139
0.157000,0.000125,0.000030,0.000036,0.000010,0.000022,0.000027
0.158000,0.000312,0.000082,0.000079,0.000030,0.000052,0.000069
0.159000,0.000624,0.000156,0.000177,0.000055,0.000100,0.000137
0.160000,0.000499,0.000139,0.000120,0.000053,0.000077,0.000111
0.161000,0.000687,0.000174,0.000184,0.000071,0.000105,0.000152
0.162000,0.000499,0.000131,0.000135,0.000044,0.000076,0.000114
0.163000,0.000749,0.000220,0.000179,0.000072,0.000115,0.000163
0.164000,0.000437,0.000099,0.000126,0.000045,0.000070,0.000097
0.165000,0.000562,0.000157,0.000142,0.000053,0.000086,0.000124
0.166000,0.000562,0.000150,0.000153,0.000053,0.000086,0.000120
0.167000,0.000375,0.000100,0.000106,0.000036,0.000055,0.000077
0.168000,0.000624,0.000176,0.000166,0.000053,0.000099,0.000131
0.169000,0.000749,0.000224,0.000203,0.000063,0.000107,0.000152
0.170000,0.000874,0.000266,0.000224,0.000077,0.000134,0.000172
0.171000,0.000874,0.000259,0.000234,0.000077,0.000135,0.000169
0.172000,0.001249,0.000413,0.000301,0.000102,0.000188,0.000245
0.173000,0.001686,0.000521,0.000431,0.000149,0.000244,0.000341
0.174000,0.001374,0.000440,0.000328,0.000121,0.000205,0.000280
0.175000,0.002497,0.000794,0.000620,0.000204,0.000366,0.000514
0.176000,0.001935,0.000593,0.000505,0.000155,0.000282,0.000400
0.177000,0.001561,0.000506,0.000384,0.000127,0.000214,0.000329
0.178000,0.001311,0.000417,0.000320,0.000109,0.000188,0.000277
0.179000,0.000812,0.000259,0.000193,0.000075,0.000113,0.000171
0.180000,0.000812,0.000234,0.000211,0.000074,0.000121,0.000173
0.181000,0.000375,0.000115,0.000101,0.000029,0.000052,0.000079
0.182000,0.000250,0.000070,0.000070,0.000021,0.000035,0.000053
0.183000,0.000062,0.000026,0.000011,0.000004,0.000008,0.000013
0.184000,0.000062,0.000016,0.000019,0.000006,0.000008,0.000014
0.197000,0.000062,0.000023,0.000015,0.000005,0.000009,0.000011
0.207000,0.000062,0.000025,0.000015,0.000004,0.000009,0.000010
0.212000,0.000062,0.000026,0.000013,0.000004,0.000008,0.000012
0.223000,0.000125,0.000058,0.000025,0.000007,0.000016,0.000019
0.226000,0.000062,0.000027,0.000014,0.000005,0.000007,0.000010
