bin,total,start3=0,start3=1,start3=2,start3=3
0.000000,0.434802,0.074674,0.360128,0.000000,0.000000
0.001000,0.036333,0.001820,0.034513,0.000000,0.000000
0.002000,0.029869,0.001443,0.028426,0.000000,0.000000
0.003000,0.027171,0.001192,0.025979,0.000000,0.000000
0.004000,0.025414,0.001004,0.024410,0.000000,0.000000
0.005000,0.025163,0.000502,0.024661,0.000000,0.000000
0.006000,0.023971,0.000377,0.023594,0.000000,0.000000
0.007000,0.026167,0.000314,0.025853,0.000000,0.000000
0.008000,0.025163,0.000063,0.025100,0.000000,0.000000
0.009000,0.023469,0.000063,0.023406,0.000000,0.000000
0.010000,0.024222,0.000000,0.024222,0.000000,0.000000
0.011000,0.022779,0.000000,0.022716,0.000063,0.000000
0.012000,0.018825,0.000000,0.018825,0.000000,0.000000
0.013000,0.019327,0.000000,0.019327,0.000000,0.000000
0.014000,0.018512,0.000000,0.018512,0.000000,0.000000
0.015000,0.015248,0.000000,0.015248,0.000000,0.000000
0.016000,0.013742,0.000000,0.013742,0.000000,0.000000
0.017000,0.010793,0.000000,0.010668,0.000126,0.000000
0.018000,0.009789,0.000000,0.009789,0.000000,0.000000
0.019000,0.010040,0.000000,0.009977,0.000063,0.000000
0.020000,0.012487,0.000000,0.012362,0.000126,0.000000
0.021000,0.010668,0.000000,0.010605,0.000063,0.000000
0.022000,0.012487,0.000000,0.012425,0.000063,0.000000
0.023000,0.010730,0.000000,0.010605,0.000126,0.000000
0.024000,0.009726,0.000000,0.009601,0.000126,0.000000
0.025000,0.011609,0.000000,0.011295,0.000314,0.000000
0.026000,0.008346,0.000000,0.008032,0.000314,0.000000
0.027000,0.008283,0.000000,0.007969,0.000314,0.000000
0.028000,0.006714,0.000000,0.006526,0.000188,0.000000
0.029000,0.005648,0.000000,0.005334,0.000314,0.000000
0.030000,0.004957,0.000000,0.004393,0.000565,0.000000
0.031000,0.004393,0.000000,0.004016,0.000377,0.000000
0.032000,0.002761,0.000000,0.002385,0.000377,0.000000
0.033000,0.003577,0.000000,0.003200,0.000377,0.000000
0.034000,0.003075,0.000000,0.002071,0.001004,0.000000
0.035000,0.002573,0.000000,0.001883,0.000690,0.000000
0.036000,0.002322,0.000000,0.001569,0.000753,0.000000
0.037000,0.002322,0.000000,0.001381,0.000941,0.000000
0.038000,0.002134,0.000000,0.001318,0.000816,0.000000
0.039000,0.001883,0.000000,0.001130,0.000753,0.000000
0.040000,0.001067,0.000000,0.000816,0.000251,0.000000
0.041000,0.001004,0.000000,0.000439,0.000565,0.000000
0.042000,0.001067,0.000000,0.000502,0.000565,0.000000
0.043000,0.001318,0.000000,0.000565,0.000753,0.000000
0.044000,0.001569,0.000000,0.001067,0.000502,0.000000
0.045000,0.001443,0.000000,0.000816,0.000628,0.000000
0.046000,0.001569,0.000000,0.001192,0.000377,0.000000
0.047000,0.001883,0.000000,0.000941,0.000941,0.000000
0.048000,0.002447,0.000000,0.000879,0.001569,0.000000
0.049000,0.002761,0.000000,0.001694,0.001067,0.000000
0.050000,0.002385,0.000000,0.000879,0.001506,0.000000
0.051000,0.002008,0.000000,0.001067,0.000941,0.000000
0.052000,0.001192,0.000000,0.000502,0.000690,0.000000
0.053000,0.001883,0.000000,0.001004,0.000879,0.000000
0.054000,0.001004,0.000000,0.000251,0.000753,0.000000
0.055000,0.001067,0.000000,0.000314,0.000753,0.000000
0.056000,0.001192,0.000000,0.000126,0.001067,0.000000
0.057000,0.000628,0.000000,0.000000,0.000628,0.000000
0.058000,0.000628,0.000000,0.000063,0.000565,0.000000
0.059000,0.000502,0.000000,0.000000,0.000502,0.000000
0.060000,0.000188,0.000000,0.000000,0.000188,0.000000
0.061000,0.000439,0.000000,0.000000,0.000439,0.000000
0.062000,0.000502,0.000000,0.000000,0.000502,0.000000
0.063000,0.000314,0.000000,0.000000,0.000314,0.000000
0.064000,0.000314,0.000000,0.000000,0.000314,0.000000
0.065000,0.000251,0.000000,0.000000,0.000251,0.000000
0.066000,0.000251,0.000000,0.000000,0.000251,0.000000
0.068000,0.000063,0.000000,0.000000,0.000063,0.000000
0.069000,0.000251,0.000000,0.000000,0.000251,0.000000
0.070000,0.000063,0.000000,0.000000,0.000063,0.000000
0.071000,0.000126,0.000000,0.000000,0.000063,0.000063
0.072000,0.000251,0.000000,0.000000,0.000251,0.000000
0.073000,0.000251,0.000000,0.000000,0.000251,0.000000
0.074000,0.000063,0.000000,0.000000,0.000063,0.000000
0.077000,0.000126,0.000000,0.000000,0.000126,0.000000
0.078000,0.000063,0.000000,0.000000,0.000063,0.000000
0.080000,0.000063,0.000000,0.000000,0.000063,0.000000
0.082000,0.000063,0.000000,0.000000,0.000063,0.000000
0.083000,0.000063,0.000000,0.000000,0.000063,0.000000
0.088000,0.000063,0.000000,0.000000,0.000063,0.000000
0.100000,0.000063,0.000000,0.000000,0.000000,0.000063
0.102000,0.000063,0.000000,0.000000,0.000000,0.000063
