bin,total,finish1->start2,finish2->start3,start1->finish1,start2->finish2,start3->finish3
0.066000,0.000063,0.000000,0.000002,0.000010,0.000022,0.000029
0.067000,0.000251,0.000000,0.000012,0.000045,0.000081,0.000114
0.068000,0.000565,0.000003,0.000013,0.000105,0.000184,0.000259
0.069000,0.001318,0.000008,0.000039,0.000245,0.000422,0.000605
0.070000,0.002510,0.000006,0.000116,0.000440,0.000804,0.001145
0.071000,0.003075,0.000000,0.000122,0.000566,0.000967,0.001420
0.072000,0.004330,0.000007,0.000209,0.000751,0.001358,0.002005
0.073000,0.006777,0.000008,0.000320,0.001216,0.002130,0.003102
0.074000,0.008785,0.000025,0.000394,0.001611,0.002676,0.004079
0.075000,0.007844,0.000040,0.000367,0.001401,0.002384,0.003651
0.076000,0.009162,0.000045,0.000449,0.001623,0.002781,0.004264
0.077000,0.008158,0.000039,0.000425,0.001422,0.002447,0.003825
0.078000,0.008722,0.000030,0.000400,0.001548,0.002624,0.004120
0.079000,0.006903,0.000030,0.000376,0.001180,0.002049,0.003268
0.080000,0.005961,0.000026,0.000357,0.001025,0.001717,0.002836
0.081000,0.004267,0.000025,0.000252,0.000729,0.001229,0.002033
0.082000,0.001945,0.000003,0.000135,0.000326,0.000563,0.000919
0.083000,0.000690,0.000003,0.000055,0.000116,0.000191,0.000325
0.084000,0.000126,0.000005,0.000011,0.000016,0.000034,0.000059
0.088000,0.000063,0.000004,0.000010,0.000010,0.000018,0.000022
0.089000,0.000188,0.000000,0.000026,0.000028,0.000059,0.000075
0.090000,0.000314,0.000023,0.000036,0.000054,0.000086,0.000115
0.091000,0.000377,0.000016,0.000064,0.000059,0.000099,0.000139
0.092000,0.000251,0.000017,0.000036,0.000037,0.000067,0.000094
0.093000,0.000502,0.000005,0.000116,0.000068,0.000133,0.000180
0.094000,0.000816,0.000045,0.000155,0.000122,0.000205,0.000289
0.095000,0.001443,0.000065,0.000287,0.000228,0.000372,0.000491
0.096000,0.001067,0.000017,0.000249,0.000166,0.000265,0.000369
0.097000,0.001883,0.000048,0.000411,0.000298,0.000470,0.000656
0.098000,0.002698,0.000088,0.000636,0.000382,0.000659,0.000934
0.099000,0.002949,0.000107,0.000644,0.000439,0.000748,0.001011
0.100000,0.004142,0.000092,0.001019,0.000606,0.001004,0.001420
0.101000,0.005836,0.000206,0.001373,0.000845,0.001420,0.001992
0.102000,0.004832,0.000140,0.001194,0.000685,0.001162,0.001650
