bin,total,start3=0,start3=1,start3=2,start3=3
0.000000,0.416953,0.199809,0.215797,0.001347,0.000000
0.001000,0.008260,0.004042,0.004077,0.000142,0.000000
0.002000,0.006949,0.003403,0.003368,0.000177,0.000000
0.003000,0.009111,0.004077,0.004715,0.000319,0.000000
0.004000,0.006807,0.002801,0.003333,0.000674,0.000000
0.005000,0.008686,0.002907,0.004751,0.001028,0.000000
0.006000,0.008509,0.003191,0.004148,0.001170,0.000000
0.007000,0.008899,0.002694,0.005034,0.001170,0.000000
0.008000,0.010423,0.002659,0.005637,0.002127,0.000000
0.009000,0.009430,0.002127,0.004751,0.002553,0.000000
0.010000,0.011806,0.001914,0.007020,0.002872,0.000000
0.011000,0.011274,0.001737,0.006346,0.003191,0.000000
0.012000,0.012515,0.001170,0.007339,0.004006,0.000000
0.013000,0.013933,0.001205,0.008189,0.004538,0.000000
0.014000,0.015174,0.000851,0.008969,0.005353,0.000000
0.015000,0.017053,0.000461,0.010210,0.006381,0.000000
0.016000,0.017903,0.000390,0.011203,0.006310,0.000000
0.017000,0.021661,0.000496,0.012798,0.008367,0.000000
0.018000,0.023328,0.000177,0.013755,0.009395,0.000000
0.019000,0.022406,0.000035,0.011947,0.010423,0.000000
0.020000,0.025809,0.000071,0.012976,0.012763,0.000000
0.021000,0.024887,0.000071,0.012054,0.012763,0.000000
0.022000,0.021874,0.000000,0.010104,0.011770,0.000000
0.023000,0.022477,0.000000,0.009678,0.012798,0.000000
0.024000,0.018612,0.000000,0.007197,0.011416,0.000000
0.025000,0.018152,0.000000,0.006133,0.012018,0.000000
0.026000,0.015103,0.000000,0.005034,0.010068,0.000000
0.027000,0.013791,0.000000,0.004325,0.009466,0.000000
0.028000,0.012231,0.000000,0.003687,0.008544,0.000000
0.029000,0.012763,0.000000,0.004715,0.008048,0.000000
0.030000,0.012160,0.000000,0.005601,0.006559,0.000000
0.031000,0.013720,0.000000,0.006310,0.007410,0.000000
0.032000,0.013826,0.000000,0.006736,0.007090,0.000000
0.033000,0.015103,0.000000,0.006807,0.008296,0.000000
