bin,total,start3=0,start3=1,start3=2,start3=3
0.030000,0.036055,0.008890,0.017886,0.009208,0.000071
0.031000,0.052559,0.012573,0.025323,0.014521,0.000142
0.032000,0.072038,0.018134,0.034815,0.018842,0.000248
0.033000,0.093111,0.022384,0.046750,0.023517,0.000460
0.034000,0.111032,0.026634,0.054932,0.029219,0.000248
0.035000,0.125553,0.028050,0.063680,0.033398,0.000425
0.036000,0.134195,0.031627,0.067115,0.035205,0.000248
0.037000,0.133451,0.032548,0.066726,0.033682,0.000496
0.038000,0.130547,0.030175,0.065097,0.034886,0.000390
0.039000,0.111457,0.025854,0.055534,0.029821,0.000248
