bin,total,start3=0,start3=1,start3=2,start3=3,start3=4
0.066000,0.000056,0.000000,0.000056,0.000000,0.000000,0.000000
0.069000,0.000168,0.000112,0.000056,0.000000,0.000000,0.000000
0.071000,0.000335,0.000056,0.000279,0.000000,0.000000,0.000000
0.072000,0.000614,0.000335,0.000279,0.000000,0.000000,0.000000
0.073000,0.000782,0.000559,0.000223,0.000000,0.000000,0.000000
0.074000,0.000894,0.000279,0.000614,0.000000,0.000000,0.000000
0.075000,0.001117,0.000670,0.000447,0.000000,0.000000,0.000000
0.076000,0.001676,0.001005,0.000670,0.000000,0.000000,0.000000
0.077000,0.002290,0.000614,0.001676,0.000000,0.000000,0.000000
0.078000,0.002681,0.001117,0.001564,0.000000,0.000000,0.000000
0.079000,0.004245,0.001620,0.002625,0.000000,0.000000,0.000000
0.080000,0.003575,0.001396,0.002178,0.000000,0.000000,0.000000
0.081000,0.004524,0.001564,0.002960,0.000000,0.000000,0.000000
0.082000,0.005921,0.001899,0.004022,0.000000,0.000000,0.000000
0.083000,0.007038,0.002234,0.004804,0.000000,0.000000,0.000000
0.084000,0.007596,0.002178,0.005362,0.000056,0.000000,0.000000
0.085000,0.007485,0.002234,0.005251,0.000000,0.000000,0.000000
0.086000,0.008546,0.001620,0.006815,0.000112,0.000000,0.000000
0.087000,0.008434,0.001843,0.006535,0.000056,0.000000,0.000000
0.088000,0.007932,0.002123,0.005809,0.000000,0.000000,0.000000
0.089000,0.007820,0.001732,0.006033,0.000056,0.000000,0.000000
0.090000,0.007708,0.001564,0.005977,0.000168,0.000000,0.000000
0.091000,0.008658,0.001843,0.006815,0.000000,0.000000,0.000000
0.092000,0.007708,0.001173,0.006479,0.000056,0.000000,0.000000
0.093000,0.007708,0.001061,0.006591,0.000056,0.000000,0.000000
0.094000,0.006591,0.001564,0.004915,0.000112,0.000000,0.000000
0.095000,0.006647,0.001620,0.005027,0.000000,0.000000,0.000000
0.096000,0.006926,0.001452,0.005474,0.000000,0.000000,0.000000
0.097000,0.006479,0.001061,0.005306,0.000112,0.000000,0.000000
0.098000,0.005697,0.001005,0.004692,0.000000,0.000000,0.000000
0.099000,0.006200,0.000782,0.005195,0.000223,0.000000,0.000000
0.100000,0.005418,0.001061,0.004357,0.000000,0.000000,0.000000
0.101000,0.006256,0.000838,0.005418,0.000000,0.000000,0.000000
0.102000,0.005642,0.001117,0.004413,0.000112,0.000000,0.000000
0.103000,0.006033,0.000670,0.005139,0.000223,0.000000,0.000000
0.104000,0.005530,0.000503,0.004915,0.000112,0.000000,0.000000
0.105000,0.005586,0.000670,0.004915,0.000000,0.000000,0.000000
0.106000,0.006033,0.000335,0.005642,0.000056,0.000000,0.000000
0.107000,0.006033,0.000894,0.004915,0.000223,0.000000,0.000000
0.108000,0.006479,0.000503,0.005753,0.000223,0.000000,0.000000
0.109000,0.006815,0.000614,0.005921,0.000279,0.000000,0.000000
0.110000,0.005306,0.000223,0.004748,0.000335,0.000000,0.000000
0.111000,0.008155,0.000670,0.006926,0.000559,0.000000,0.000000
0.112000,0.007485,0.000391,0.006479,0.000614,0.000000,0.000000
0.113000,0.007987,0.000223,0.007094,0.000670,0.000000,0.000000
0.114000,0.008993,0.000335,0.008043,0.000614,0.000000,0.000000
0.115000,0.008658,0.000223,0.007485,0.000950,0.000000,0.000000
0.116000,0.009384,0.000168,0.008323,0.000894,0.000000,0.000000
0.117000,0.009887,0.000168,0.008043,0.001676,0.000000,0.000000
0.118000,0.011283,0.000279,0.010054,0.000950,0.000000,0.000000
0.119000,0.012009,0.000223,0.010278,0.001508,0.000000,0.000000
0.120000,0.012512,0.000112,0.010780,0.001620,0.000000,0.000000
0.121000,0.012400,0.000168,0.010669,0.001564,0.000000,0.000000
0.122000,0.013573,0.000223,0.011171,0.002178,0.000000,0.000000
0.123000,0.016143,0.000112,0.012791,0.003240,0.000000,0.000000
0.124000,0.016645,0.000279,0.012959,0.003407,0.000000,0.000000
0.125000,0.017818,0.000112,0.012903,0.004804,0.000000,0.000000
0.126000,0.019047,0.000056,0.013629,0.005306,0.000056,0.000000
0.127000,0.019326,0.000056,0.012568,0.006703,0.000000,0.000000
0.128000,0.021114,0.000112,0.014243,0.006759,0.000000,0.000000
0.129000,0.023683,0.000056,0.014132,0.009496,0.000000,0.000000
0.130000,0.024633,0.000056,0.014634,0.009942,0.000000,0.000000
0.131000,0.025973,0.000112,0.014746,0.011115,0.000000,0.000000
0.132000,0.026923,0.000056,0.013629,0.013238,0.000000,0.000000
0.133000,0.029101,0.000056,0.016087,0.012903,0.000056,0.000000
0.134000,0.027593,0.000112,0.014132,0.013350,0.000000,0.000000
0.135000,0.028766,0.000000,0.012847,0.015919,0.000000,0.000000
0.136000,0.026308,0.000000,0.011115,0.015081,0.000112,0.000000
0.137000,0.026308,0.000056,0.008937,0.017316,0.000000,0.000000
0.138000,0.025973,0.000000,0.010780,0.015193,0.000000,0.000000
0.139000,0.024186,0.000000,0.008825,0.015249,0.000112,0.000000
0.140000,0.024577,0.000000,0.010333,0.014188,0.000056,0.000000
0.141000,0.021561,0.000000,0.006982,0.014467,0.000112,0.000000
0.142000,0.018433,0.000000,0.007596,0.010724,0.000112,0.000000
0.143000,0.017930,0.000000,0.007429,0.010445,0.000056,0.000000
0.144000,0.014690,0.000000,0.005306,0.009272,0.000112,0.000000
0.145000,0.014188,0.000000,0.005753,0.008434,0.000000,0.000000
0.146000,0.012959,0.000000,0.004692,0.008267,0.000000,0.000000
0.147000,0.010669,0.000000,0.003631,0.006982,0.000056,0.000000
0.148000,0.011171,0.000000,0.004301,0.006870,0.000000,0.000000
0.149000,0.008993,0.000000,0.003351,0.005642,0.000000,0.000000
0.150000,0.008546,0.000000,0.003072,0.005362,0.000112,0.000000
0.151000,0.008434,0.000000,0.002960,0.005474,0.000000,0.000000
0.152000,0.006982,0.000000,0.002290,0.004692,0.000000,0.000000
0.153000,0.007150,0.000000,0.002458,0.004692,0.000000,0.000000
0.154000,0.006312,0.000000,0.002011,0.004301,0.000000,0.000000
0.155000,0.005027,0.000000,0.001843,0.003184,0.000000,0.000000
0.156000,0.004357,0.000000,0.001676,0.002681,0.000000,0.000000
0.157000,0.004245,0.000000,0.001676,0.002514,0.000056,0.000000
0.158000,0.003966,0.000000,0.001452,0.002458,0.000056,0.000000
0.159000,0.003687,0.000000,0.001396,0.002290,0.000000,0.000000
0.160000,0.002681,0.000000,0.001061,0.001620,0.000000,0.000000
0.161000,0.002514,0.000000,0.000559,0.001899,0.000056,0.000000
0.162000,0.002569,0.000000,0.000894,0.001676,0.000000,0.000000
0.163000,0.002681,0.000000,0.000670,0.001955,0.000056,0.000000
0.164000,0.001843,0.000000,0.000782,0.000950,0.000112,0.000000
0.165000,0.002234,0.000000,0.000670,0.001564,0.000000,0.000000
0.166000,0.002346,0.000000,0.000726,0.001620,0.000000,0.000000
0.167000,0.001564,0.000000,0.000670,0.000838,0.000056,0.000000
0.168000,0.002011,0.000000,0.000670,0.001285,0.000056,0.000000
0.169000,0.001508,0.000000,0.000447,0.001061,0.000000,0.000000
0.170000,0.001229,0.000000,0.000391,0.000838,0.000000,0.000000
0.171000,0.001396,0.000000,0.000335,0.001061,0.000000,0.000000
0.172000,0.001676,0.000000,0.000726,0.000950,0.000000,0.000000
0.173000,0.000894,0.000000,0.000391,0.000503,0.000000,0.000000
0.174000,0.001061,0.000000,0.000447,0.000559,0.000056,0.000000
0.175000,0.001285,0.000000,0.000223,0.000894,0.000168,0.000000
0.176000,0.001396,0.000000,0.000447,0.000894,0.000056,0.000000
0.177000,0.000503,0.000000,0.000056,0.000335,0.000112,0.000000
0.178000,0.000894,0.000000,0.000056,0.000559,0.000279,0.000000
0.179000,0.000838,0.000000,0.000112,0.000503,0.000223,0.000000
0.180000,0.001005,0.000000,0.000223,0.000614,0.000168,0.000000
0.181000,0.000950,0.000000,0.000168,0.000782,0.000000,0.000000
0.182000,0.000670,0.000000,0.000056,0.000447,0.000168,0.000000
0.183000,0.000782,0.000000,0.000056,0.000279,0.000447,0.000000
0.184000,0.000782,0.000000,0.000056,0.000447,0.000279,0.000000
0.185000,0.001005,0.000000,0.000112,0.000559,0.000335,0.000000
0.186000,0.000726,0.000000,0.000056,0.000335,0.000279,0.000056
0.187000,0.000614,0.000000,0.000112,0.000335,0.000168,0.000000
0.188000,0.000279,0.000000,0.000000,0.000112,0.000168,0.000000
0.189000,0.000838,0.000000,0.000112,0.000223,0.000503,0.000000
0.190000,0.000503,0.000000,0.000000,0.000335,0.000168,0.000000
0.191000,0.000279,0.000000,0.000000,0.000112,0.000168,0.000000
0.192000,0.000335,0.000000,0.000000,0.000168,0.000168,0.000000
0.193000,0.000168,0.000000,0.000000,0.000056,0.000112,0.000000
0.194000,0.000279,0.000000,0.000000,0.000056,0.000223,0.000000
0.195000,0.000168,0.000000,0.000000,0.000112,0.000056,0.000000
0.196000,0.000279,0.000000,0.000000,0.000112,0.000168,0.000000
0.197000,0.000223,0.000000,0.000000,0.000168,0.000056,0.000000
0.198000,0.000391,0.000000,0.000000,0.000168,0.000223,0.000000
0.199000,0.000279,0.000000,0.000000,0.000112,0.000168,0.000000
0.200000,0.000056,0.000000,0.000000,0.000056,0.000000,0.000000
0.201000,0.000223,0.000000,0.000000,0.000056,0.000168,0.000000
0.202000,0.000056,0.000000,0.000000,0.000000,0.000056,0.000000
0.203000,0.000056,0.000000,0.000000,0.000000,0.000056,0.000000
0.204000,0.000056,0.000000,0.000000,0.000056,0.000000,0.000000
0.205000,0.000056,0.000000,0.000000,0.000000,0.000056,0.000000
0.206000,0.000056,0.000000,0.000000,0.000000,0.000056,0.000000
0.207000,0.000112,0.000000,0.000000,0.000000,0.000112,0.000000
0.208000,0.000056,0.000000,0.000000,0.000000,0.000056,0.000000
0.209000,0.000056,0.000000,0.000000,0.000000,0.000056,0.000000
0.210000,0.000112,0.000000,0.000000,0.000056,0.000056,0.000000
0.213000,0.000056,0.000000,0.000000,0.000000,0.000056,0.000000
0.215000,0.000056,0.000000,0.000000,0.000056,0.000000,0.000000
0.216000,0.000112,0.000000,0.000000,0.000056,0.000056,0.000000
0.218000,0.000056,0.000000,0.000000,0.000056,0.000000,0.000000
0.225000,0.000056,0.000000,0.000000,0.000056,0.000000,0.000000
0.227000,0.000168,0.000000,0.000000,0.000112,0.000056,0.000000
