bin,total,finish1->start2,finish2->start3,start1->finish1,start2->finish2,start3->finish3
0.066000,0.000056,0.000002,0.000001,0.000009,0.000019,0.000025
0.069000,0.000168,0.000005,0.000004,0.000030,0.000053,0.000076
0.071000,0.000335,0.000009,0.000006,0.000063,0.000099,0.000159
0.072000,0.000614,0.000023,0.000020,0.000100,0.000188,0.000283
0.073000,0.000782,0.000014,0.000038,0.000132,0.000239,0.000359
0.074000,0.000894,0.000039,0.000039,0.000148,0.000266,0.000402
0.075000,0.001117,0.000037,0.000039,0.000208,0.000340,0.000494
0.076000,0.001676,0.000054,0.000080,0.000290,0.000506,0.000746
0.077000,0.002290,0.000095,0.000117,0.000384,0.000687,0.001006
0.078000,0.002681,0.000099,0.000133,0.000449,0.000831,0.001168
0.079000,0.004245,0.000184,0.000249,0.000710,0.001279,0.001824
0.080000,0.003575,0.000187,0.000176,0.000640,0.001044,0.001528
0.081000,0.004524,0.000205,0.000306,0.000772,0.001312,0.001929
0.082000,0.005921,0.000340,0.000414,0.000964,0.001702,0.002500
0.083000,0.007038,0.000406,0.000458,0.001187,0.002037,0.002950
0.084000,0.007596,0.000449,0.000597,0.001269,0.002138,0.003143
0.085000,0.007485,0.000449,0.000608,0.001235,0.002096,0.003097
0.086000,0.008546,0.000545,0.000750,0.001374,0.002362,0.003514
0.087000,0.008434,0.000518,0.000809,0.001372,0.002316,0.003419
0.088000,0.007932,0.000555,0.000722,0.001255,0.002169,0.003230
0.089000,0.007820,0.000543,0.000753,0.001253,0.002133,0.003138
0.090000,0.007708,0.000530,0.000841,0.001218,0.002021,0.003099
0.091000,0.008658,0.000721,0.000834,0.001350,0.002322,0.003431
0.092000,0.007708,0.000654,0.000854,0.001176,0.002018,0.003006
0.093000,0.007708,0.000586,0.000931,0.001212,0.001982,0.002998
0.094000,0.006591,0.000522,0.000861,0.000994,0.001703,0.002511
0.095000,0.006647,0.000630,0.000845,0.000972,0.001665,0.002535
0.096000,0.006926,0.000706,0.000863,0.001039,0.001726,0.002592
0.097000,0.006479,0.000698,0.000838,0.000930,0.001622,0.002392
0.098000,0.005697,0.000488,0.000842,0.000849,0.001419,0.002099
0.099000,0.006200,0.000499,0.001049,0.000888,0.001520,0.002244
0.100000,0.005418,0.000509,0.000846,0.000780,0.001334,0.001949
0.101000,0.006256,0.000585,0.001027,0.000927,0.001509,0.002207
0.102000,0.005642,0.000622,0.000921,0.000787,0.001331,0.001981
